# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Upernavik Isstroem N, Mouginot region: NW, Mankoff discharge gate (2021): 134, closest NSIDC/MEASUREs ID: 23, distance to closest NSIDC/MEASUREs ID: 4056m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,553199454,20231960,573431413
2010-02,0,498264347,20231960,518496307
2010-03,0,549336986,20231960,569568946
2010-04,0,524219178,20231960,544451138
2010-05,51694594,523517808,20788698,596001100
2010-06,613055539,516410959,31780391,1161246890
2010-07,843219279,539315068,36203253,1418737601
2010-08,679487067,629172603,35149438,1343809108
2010-09,22634148,611260274,20634147,654528569
2010-10,2094295,633928767,20255559,656278620
2010-11,3507531,615765474,20255712,639528716
2010-12,2257,638578267,20231994,658812517
2011-01,0,640928371,20231960,661160331
2011-02,0,580999897,20231960,601231856
2011-03,0,645309589,20231960,665541549
2011-04,0,626630137,20231960,646862097
2011-05,0,649641096,20231960,669873056
2011-06,327135336,630821918,26303210,984260464
2011-07,1185213378,656435616,44215399,1885864393
2011-08,431325598,647602740,27884692,1106813030
2011-09,3445964,621369863,20278723,645094550
2011-10,0,636731507,20231960,656963466
2011-11,0,610897315,20231960,631129275
2011-12,0,626000213,20231960,646232173
2012-01,0,620594521,20231960,640826480
2012-02,0,575539212,20231960,595771172
2012-03,0,610232877,20231960,630464836
2012-04,0,585369863,20231960,605601823
2012-05,21103742,564115068,20484902,605703712
2012-06,853805885,577561644,36782686,1468150214
2012-07,1427892197,640553425,50139970,2118585591
2012-08,658497516,625605479,33614251,1317717246
2012-09,7493573,593589041,20320961,621403575
2012-10,2014148,601484932,20247113,623746192
2012-11,0,572136986,20231960,592368946
2012-12,0,584558161,20231960,604790121
2013-01,359,578980911,20231960,599213229
2013-02,324,518038356,20231960,538270640
2013-03,524,568446575,20231960,588679059
2013-04,348,544602740,20231960,564835047
2013-05,359,572438356,20231960,592670675
2013-06,256543130,556438356,23847145,836828631
2013-07,630067762,591547945,33173973,1254789680
2013-08,201798761,608619178,23832256,834250194
2013-09,15693508,559808219,20410859,595912586
2013-10,359,575665753,20231960,595898072
2013-11,348,554301370,20231960,574533677
2013-12,359,570060274,20231960,590292593
2014-01,0,567172603,20231960,587404562
2014-02,0,509753425,20231960,529985384
2014-03,0,561906849,20231960,582138809
2014-04,0,543616438,20231960,563848398
2014-05,0,611082192,20231960,631314151
2014-06,272232381,572301370,25352030,869885781
2014-07,939871506,589254795,40190440,1569316741
2014-08,455249283,560972603,29351672,1045573558
2014-09,4605364,546821918,20307740,571735021
2014-10,5811,549761644,20231960,569999414
2014-11,0,541479452,20231960,561711412
2014-12,0,569210959,20231960,589442919
2015-01,0,574052055,20231960,594284014
2015-02,0,517002740,20231960,537234699
2015-03,0,572098630,20231960,592330590
2015-04,0,555014272,20231960,575246231
2015-05,849946,576600000,20235452,597685398
2015-06,349468394,566665202,27163158,943296753
2015-07,1290548696,592397260,48315266,1931261222
2015-08,160552080,563775342,22793978,747121401
2015-09,4939360,554054795,20261732,579255886
2015-10,0,553583562,20231960,573815521
2015-11,0,548147402,20231960,568379362
2015-12,0,578638356,20231960,598870316
2016-01,0,561991781,20231960,582223740
2016-02,0,508372775,20231960,528604735
