# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Upernavik Isstroem C, Mouginot region: NW, Mankoff discharge gate (2021): 135, closest NSIDC/MEASUREs ID: 22, distance to closest NSIDC/MEASUREs ID: 6614m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,423713191,10130465,433843656
2010-02,0,386433774,10130465,396564239
2010-03,0,432471233,10130465,442601698
2010-04,0,428301370,10130465,438431835
2010-05,43915946,446230137,10806983,500953065
2010-06,605071510,435205479,19638258,1059915247
2010-07,840050822,437142466,23548326,1300741613
2010-08,638865564,442153425,21424136,1102443125
2010-09,22162193,430602740,10521065,463285998
2010-10,1822985,447758904,10161244,459743133
2010-11,2685243,436061047,10172528,448918818
2010-12,2417,453314327,10130524,463447268
2011-01,0,456098691,10130465,466229157
2011-02,0,414457308,10130465,424587773
2011-03,0,461347945,10130465,471478410
2011-04,0,449095890,10130465,459226356
2011-05,0,466613699,10133100,476746798
2011-06,308251069,454191781,15325401,777768252
2011-07,1170760774,471879452,29334063,1671974289
2011-08,383371755,458375342,16347375,858094473
2011-09,2979945,444904110,10179631,458063685
2011-10,0,461093151,10130465,471223616
2011-11,0,447523785,10130465,457654250
2011-12,0,463724060,10130465,473854525
2012-01,0,465084932,10130465,475215397
2012-02,0,436423777,10130465,446554242
2012-03,0,467887671,10130465,478018136
2012-04,0,454191781,10130465,464322246
2012-05,21121056,491753425,10480456,523354936
2012-06,875257163,498246575,23660475,1397164213
2012-07,1431442371,499736986,34367443,1965546801
2012-08,660955760,484109589,20755647,1165820996
2012-09,5759197,474821918,10238254,490819368
2012-10,1541565,495150685,10147451,506839701
2012-11,0,482958904,10130465,493089369
2012-12,0,500608712,10130465,510739177
2013-01,0,501663753,10130465,511794219
2013-02,0,454060274,10130465,464190739
2013-03,1610,503813699,10130465,513945774
2013-04,0,488630137,10130465,498760602
2013-05,0,486742466,10130465,496872931
2013-06,222152319,460602740,13250086,696005144
2013-07,618085700,478079452,20282476,1116447628
2013-08,197340937,480287671,13112466,690741074
2013-09,12433166,471369863,10304172,494107201
2013-10,0,487761644,10130465,497892109
2013-11,0,472767123,10130465,482897588
2013-12,0,489205479,10130465,499335945
2014-01,0,490054795,10130465,500185260
2014-02,0,443397260,10130465,453527725
2014-03,0,491668493,10130465,501798958
2014-04,0,481726027,10130465,491856493
2014-05,0,544750685,10132275,554882960
2014-06,294487436,520273973,14663604,829425012
2014-07,943449992,530821918,26604870,1500876779
2014-08,447935845,484619178,17415660,949970684
2014-09,4254712,477328767,10199483,491782963
2014-10,27777,486997260,10130505,497155542
2014-11,0,473589041,10130465,483719506
2014-12,0,491710959,10130465,501841424
2015-01,0,505852055,10130465,515982520
2015-02,0,450838356,10130465,460968821
2015-03,0,506743836,10130465,516874301
2015-04,0,493073955,10130465,503204420
2015-05,1056515,512434247,10144825,523635587
2015-06,356341645,515924189,16057250,888323084
2015-07,1356303177,550441096,34062580,1940806852
2015-08,141455456,518294521,12288700,672038677
2015-09,3388179,515917808,10169624,529475612
2015-10,0,542500000,10130465,552630465
2015-11,0,527911842,10130465,538042307
2015-12,0,546619178,10130465,556749643
2016-01,0,537743836,10130465,547874301
2016-02,0,499846653,10130465,509977118
2016-03,0,533030137,10130465,543160602
2016-04,2416893,517453106,10202578,530072577
2016-05,9410386,538890411,10312711,558613508
2016-06,230231433,547238000,14074286,791543720
2016-07,1038939196,588278082,30371846,1657589124
2016-08,463826638,588150685,17352102,1069329425
2016-09,1020072,578383562,10151267,589554901
2016-10,8259,621885479,10131362,632025100
2016-11,0,607438356,10130465,617568821
2016-12,0,614207671,10130465,624338136
2017-01,0,614904110,10130465,625034575
2017-02,0,535893151,10130465,546023616
2017-03,0,579360274,10130465,589490739
2017-04,0,558170414,10130465,568300879
2017-05,1339658,575948858,10202229,587490746
2017-06,133549994,570780822,12050037,716380853
2017-07,514872311,576288584,18478697,1109639593
2017-08,310142065,575538356,14095675,899776096
2017-09,11275086,556931507,10373747,578580340
2017-10,7787,587980822,10132282,598120891
2017-11,1194,596630137,10130843,606762174
2017-12,0,600593151,10130465,610723616
2018-01,0,603336438,10130465,613466904
2018-02,0,543410959,10130465,553541424
2018-03,0,581135342,10130465,591265808
2018-04,0,582493151,10130465,592623616
2018-05,1057145,583003836,10167449,594228430
2018-06,156755157,542589041,12733555,712077753
2018-07,284901922,555848402,15267182,856017505
2018-08,428502230,554836301,16970825,1000309356
2018-09,6729001,537287671,10223261,554239933
2018-10,0,570017808,10130465,580148273
2018-11,0,540493151,10130465,550623616
2018-12,0,558700685,10130465,568831150
2019-01,0,548020548,10130465,558151013
2019-02,0,484284932,10130465,494415397
2019-03,0,527113242,10130465,537243707
2019-04,1794087,519260274,10156119,531210481
2019-05,113663410,530609589,11510097,655783095
2019-06,418369406,478219178,16815203,913403787
2019-07,1322057679,488568493,33701068,1844327239
2019-08,521206871,482354338,18323350,1021884560
2019-09,13919928,501287671,10368650,525576249
2019-10,1650301,525669406,10144667,537464374
2019-11,0,533876712,10130465,544007178
2019-12,0,560689498,10130465,570819963
2020-01,0,556074886,10130465,566205351
2020-02,0,513895890,10130465,524026356
2020-03,0,541494977,10130465,551625442
2020-04,424711,530958904,10147476,541531092
2020-05,7961380,552168037,10356298,570485714
2020-06,168474049,514068493,13351951,695894493
2020-07,648990950,538833790,21158226,1208982966
2020-08,230204196,531246575,14176624,775627395
2020-09,570302,528219178,10147805,538937285
2020-10,2725948,581016438,10170493,593912879
2020-11,0,574986301,10130465,585116767
2020-12,0,579615068,10130465,589745534
