# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Upernavik Isstroem Ss, Mouginot region: NW, Mankoff discharge gate (2021): 137, closest NSIDC/MEASUREs ID: 20, distance to closest NSIDC/MEASUREs ID: 4948m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,13713722,3786770,17500492
2010-02,0,13091353,3786770,16878124
2010-03,0,14778082,3786770,18564852
2010-04,0,13068493,3786770,16855263
2010-05,60065470,16221918,4213321,80500709
2010-06,371815493,14465753,11192309,397473556
2010-07,431696925,12145205,14967346,458809477
2010-08,323758634,12060274,13600991,349419899
2010-09,17325233,11835616,4169934,33330784
2010-10,1628092,12400000,3801846,17829938
2010-11,4050351,12157301,3808649,20016302
2010-12,4547,12712768,3786800,16504115
2011-01,0,12865242,3786770,16652012
2011-02,0,11759589,3786770,15546360
2011-03,0,13164384,3786770,16951154
2011-04,0,12904110,3786770,16690880
2011-05,0,13504110,3788651,17292760
2011-06,229380898,13232877,7827262,250441037
2011-07,567112958,12230137,21871717,601214811
2011-08,220146368,11210959,9488840,240846167
2011-09,3339721,10931507,3805829,18077056
2011-10,0,11295890,3786770,15082661
2011-11,0,10931507,3786770,14718277
2011-12,0,11295890,3786770,15082661
2012-01,0,11295890,3786770,15082661
2012-02,0,10608835,3786770,14395605
2012-03,0,11380822,3786770,15167592
2012-04,0,11013699,3786770,14800469
2012-05,16606176,12654795,4112950,33373920
2012-06,396797528,10438356,16351544,423587427
2012-07,534232323,12400000,26085937,572718260
2012-08,277688837,10531507,13207278,301427621
2012-09,7301337,8383562,3833714,19518612
2012-10,1087818,9427397,3793698,14308912
2012-11,0,9780822,3786770,13567592
2012-12,0,9784663,3786770,13571433
2013-01,3002430,9048768,3786770,15837969
2013-02,1593703,7517808,3786770,12898281
2013-03,3708,7813699,3786770,11604177
2013-04,0,6986301,3786770,10773071
2013-05,0,5860274,3786770,9647044
2013-06,190994743,9369863,6298096,206662702
2013-07,390358446,9427397,13288985,413074827
2013-08,128476620,9172603,6683637,144332860
2013-09,15211385,8630137,3858051,27699573
2013-10,0,8663014,3786770,12449784
2013-11,0,8219178,3786770,12005948
2013-12,0,8238356,3786770,12025126
2014-01,0,8068493,3786770,11855263
2014-02,0,7057534,3786770,10844304
2014-03,0,7643836,3786770,11430606
2014-04,0,10931507,3786770,14718277
2014-05,0,11975342,3788062,15763404
2014-06,223234500,7479452,7705904,238419857
2014-07,434535928,10701370,18876441,464113739
2014-08,292888502,9002740,9589504,311480746
2014-09,4682075,8835616,3809078,17326769
2014-10,14329,8323288,3786799,12124416
2014-11,0,8301370,3786770,12088140
2014-12,0,8832877,3786770,12619647
2015-01,0,8493151,3786770,12279921
2015-02,0,9013699,3786770,12800469
2015-03,0,9682192,3786770,13468962
2015-04,0,9664607,3786770,13451378
2015-05,1086278,10276712,3795823,15158813
2015-06,218323504,9707341,8965222,236996066
2015-07,483995381,9384932,23210225,516590537
2015-08,104620383,6624658,5102791,116347832
2015-09,3211211,8301370,3804515,15317096
2015-10,0,7134247,3786770,10921017
2015-11,0,7391473,3786770,11178243
2015-12,0,8493151,3786770,12279921
2016-01,0,9342466,3786770,13129236
2016-02,0,8510312,3786770,12297082
2016-03,0,8875342,3786770,12662113
2016-04,4635464,9052211,3827058,17514733
2016-05,17249836,9809589,3881675,30941100
2016-06,180874936,8865752,7251105,196991792
2016-07,474012674,8068493,23685406,505766573
2016-08,262757929,7006849,10099258,279864036
2016-09,1327005,7397260,3799119,12523385
2016-10,16947,7270137,3787410,11074494
2016-11,0,7356164,3786770,11142934
2016-12,0,8255342,3786770,12042113
2017-01,0,8136438,3786770,11923208
2017-02,0,7613699,3786770,11400469
2017-03,0,8493151,3786770,12279921
2017-04,0,8475975,3786770,12262745
2017-05,1127061,9172603,3821986,14121650
2017-06,105463100,9410959,4945652,119819711
2017-07,359398954,8974429,10533165,378906549
2017-08,187937255,7728767,7518427,203184449
2017-09,8581011,8301370,3870117,20752498
2017-10,17615,7346575,3788067,11152257
2017-11,0,7027397,3787040,10814437
2017-12,0,7558904,3786770,11345674
2018-01,0,7372055,3786770,11158825
2018-02,0,6769863,3786770,10556633
2018-03,0,8034521,3786770,11821291
2018-04,0,8547945,3786770,12334715
2018-05,1462472,8985753,3805677,14253903
2018-06,168458522,8794521,5738594,182991636
2018-07,253104604,8266667,8124181,269495452
2018-08,263248808,7261644,9169959,279680411
2018-09,7105882,6301370,3813842,17221094
2018-10,0,7834932,3786770,11621702
2018-11,0,7452055,3786770,11238825
2018-12,0,8132192,3786770,11918962
2019-01,0,8323288,3786770,12110058
2019-02,0,7517808,3786770,11304578
2019-03,0,8493151,3786770,12279921
2019-04,1598911,8465753,3798690,13863354
2019-05,135228565,8535616,5815087,149579269
2019-06,313293927,7808219,10648264,331750411
2019-07,570293117,6157534,25385564,601836215
2019-08,226930552,5775342,11537419,244243314
2019-09,15493665,5506849,3919857,24920371
2019-10,1581868,5973516,3793275,11348659
2019-11,0,6000000,3786770,9786770
2019-12,0,6454795,3786770,10241565
2020-01,0,6794521,3786770,10581291
2020-02,0,6634247,3786770,10421017
2020-03,0,7021005,3786770,10807775
2020-04,285657,7027397,3796896,11109951
2020-05,8263246,7445662,3855772,19564680
2020-06,144061920,7602740,7007319,158671979
2020-07,371619081,6539726,14123253,392282060
2020-08,150085293,6709589,7280166,164075048
2020-09,911890,5260274,3800227,9972391
2020-10,2871406,5732877,3806237,12410520
2020-11,0,6054795,3786770,9841565
2020-12,0,6369863,3786770,10156633
