# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Savissuaq Wwww, Mouginot region: NW, Mankoff discharge gate (2021): 49, closest NSIDC/MEASUREs ID: 73, distance to closest NSIDC/MEASUREs ID: 6080m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,25532661,466235,25998896
2010-02,0,23582670,466235,24048905
2010-03,0,26668493,466235,27134728
2010-04,0,26465753,466235,26931989
2010-05,196369,27942466,466235,28605070
2010-06,101792611,30000000,1643069,133435680
2010-07,231434833,41021918,3268875,275725626
2010-08,219248521,40342466,3198745,262789732
2010-09,4353035,38465753,499093,43317881
2010-10,0,39153425,466235,39619660
2010-11,0,37272780,466235,37739016
2010-12,0,37882277,466235,38348512
2011-01,0,37225004,466235,37691239
2011-02,0,33037470,466235,33503705
2011-03,0,36010959,466235,36477194
2011-04,0,34273973,466235,34740208
2011-05,0,34821918,466235,35288153
2011-06,115120135,33041096,1659805,149821036
2011-07,358622257,29386301,5227701,393236259
2011-08,183008366,24545205,2694588,210248159
2011-09,306521,23753425,466236,24526182
2011-10,0,25649315,466235,26115550
2011-11,0,25953054,466235,26419290
2011-12,0,27961603,466235,28427838
2012-01,0,29131507,466235,29597742
2012-02,0,28316503,466235,28782738
2012-03,0,31339726,466235,31805961
2012-04,0,31479452,466235,31945687
2012-05,10345,23865753,466235,24342334
2012-06,71197776,34684932,1228105,107110813
2012-07,339067702,28791781,5318154,373177637
2012-08,232765890,28876712,3294935,264937537
2012-09,5004,27945205,466235,28416445
2012-10,0,28961644,466235,29427879
2012-11,0,28109589,466235,28575824
2012-12,0,29104221,466235,29570457
2013-01,0,29154667,466235,29620902
2013-02,0,26389041,466235,26855276
2013-03,0,29301370,466235,29767605
2013-04,0,26465753,466235,26931989
2013-05,0,27687671,466235,28153907
2013-06,23351855,30246575,645200,54243630
2013-07,144570491,41021918,2074816,187667225
2013-08,101744916,37284932,1633473,140663320
2013-09,1,36082192,466235,36548428
2013-10,0,35586301,466235,36052537
2013-11,0,32794521,466235,33260756
2013-12,0,32273973,466235,32740208
2014-01,0,30575342,466235,31041578
2014-02,0,26082192,466235,26548427
2014-03,0,27347945,466235,27814181
2014-04,0,30164384,466235,30630619
2014-05,0,34821918,466235,35288153
2014-06,19295334,37315068,766522,57376925
2014-07,268960105,34567123,4202422,307729651
2014-08,189838049,21997260,2665913,214501223
2014-09,0,20136986,466235,20603222
2014-10,0,21657534,466235,22123770
2014-11,0,22191781,466235,22658016
2014-12,0,24163014,466235,24629249
2015-01,0,25394521,466235,25860756
2015-02,0,24049315,466235,24515550
2015-03,0,27857534,466235,28323770
2015-04,0,27147015,466235,27613251
2015-05,0,28197260,466235,28663496
2015-06,34448435,27766465,909672,63124572
2015-07,369562527,29046575,5886022,404495124
2015-08,82162848,21487671,1491389,105141909
2015-09,990772,26630137,469085,28089994
2015-10,0,23865753,466235,24331989
2015-11,0,24106598,466235,24572833
2015-12,0,26710959,466235,27177194
2016-01,0,28579452,466235,29045687
2016-02,0,24962874,466235,25429109
2016-03,0,24969863,466235,25436098
2016-04,0,24555781,466235,25022017
2016-05,0,25904110,466235,26370345
2016-06,56688214,25348482,720157,82756853
2016-07,334975937,26328767,4395214,365699919
2016-08,223779595,18217808,2940427,244937830
2016-09,104986,18780822,466935,19352743
2016-10,0,18566027,466235,19032263
2016-11,0,21616438,466235,22082674
2016-12,0,24613151,466235,25079386
2017-01,0,26328767,466235,26795002
2017-02,0,24336986,466235,24803222
2017-03,0,27836301,466235,28302537
2017-04,0,26752386,466235,27218622
2017-05,0,27461187,466235,27927423
2017-06,13615510,28438356,595939,42649805
2017-07,181203332,31169863,2578937,214952131
2017-08,118131744,26073973,1731340,145937056
2017-09,173545,24246575,466279,24886399
2017-10,0,24205479,466235,24671715
2017-11,0,26178082,466264,26644346
2017-12,0,27029452,466235,27495687
2018-01,0,27721644,466235,28187879
2018-02,0,25200000,466235,25666235
2018-03,0,27059178,466235,27525413
2018-04,0,24205479,466235,24671715
2018-05,0,27127123,466235,27593359
2018-06,30336193,28931507,684046,59951746
2018-07,57849869,30009132,1091246,88950248
2018-08,88071332,29110274,1392723,118574329
2018-09,708,24301370,466235,24768313
2018-10,0,23780822,466235,24247057
2018-11,0,26547945,466235,27014181
2018-12,0,29577397,466235,30043633
2019-01,0,26795890,466235,27262126
2019-02,0,23819178,466235,24285413
2019-03,0,25677626,466235,26143861
2019-04,0,26219178,466235,26685413
2019-05,609749,31424658,466235,32500642
2019-06,57296792,29260274,866192,87423257
2019-07,361609029,26031507,5562678,393203214
2019-08,227705483,16788128,2790219,247283830
2019-09,9720576,13726027,545893,23992496
2019-10,1010879,17297717,466319,18774915
2019-11,0,19767123,466235,20233359
2019-12,0,20723288,466235,21189523
2020-01,0,21912329,466235,22378564
2020-02,0,21491781,466235,21958016
2020-03,0,21006393,466235,21472628
2020-04,0,23958904,466235,24425139
2020-05,0,25479452,466235,25945687
2020-06,55336379,25150685,983289,81470353
2020-07,286643914,24205479,4129774,314979167
2020-08,160629806,20001370,2111719,182742895
2020-09,178496,13424658,466236,14069389
2020-10,22050,15712329,466235,16200614
2020-11,0,15616438,466235,16082674
2020-12,0,21105479,466235,21571715
