# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Savissuaq W, Mouginot region: NW, Mankoff discharge gate (2021): 51, closest NSIDC/MEASUREs ID: 70, distance to closest NSIDC/MEASUREs ID: 10840m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,2717808,100388,2818196
2010-02,0,2454795,100388,2555182
2010-03,0,2717808,100388,2818196
2010-04,0,2630137,100388,2730525
2010-05,0,2717808,100388,2818196
2010-06,0,2630137,649567,3279704
2010-07,0,2717808,1472926,4190734
2010-08,0,2717808,1172122,3889930
2010-09,0,2630137,115223,2745360
2010-10,0,2717808,100386,2818194
2010-11,0,2630137,100386,2730523
2010-12,0,2717808,100386,2818194
2011-01,0,2717808,100386,2818194
2011-02,0,2454795,100386,2555181
2011-03,0,2717808,100386,2818194
2011-04,0,2630137,100386,2730523
2011-05,0,2632877,100386,2733263
2011-06,0,2547945,541331,3089276
2011-07,0,2632877,2442821,5075698
2011-08,0,2632877,975180,3608057
2011-09,0,2547945,100386,2648331
2011-10,0,2632877,100386,2733263
2011-11,0,2547945,100386,2648331
2011-12,0,2632877,100386,2733263
2012-01,0,2632877,100386,2733263
2012-02,0,2463014,100386,2563400
2012-03,0,2632877,100386,2733263
2012-04,0,2547945,100386,2648332
2012-05,0,2632877,103364,2736241
2012-06,0,2547945,716017,3263963
2012-07,0,2632877,2739685,5372562
2012-08,0,2632877,1132911,3765788
2012-09,0,2547945,100386,2648331
2012-10,0,2632877,100386,2733263
2012-11,0,2547945,100386,2648331
2012-12,0,2643770,100386,2744157
2013-01,0,2674065,100386,2774452
2013-02,0,2454795,100386,2555181
2013-03,0,2802740,100391,2903131
2013-04,0,2712329,100386,2812715
2013-05,0,2887671,100386,2988057
2013-06,0,2794521,256713,3051234
2013-07,0,2972603,1196231,4168834
2013-08,0,2972603,605021,3577624
2013-09,0,2876712,100386,2977099
2013-10,0,3057534,100386,3157920
2013-11,0,2958904,100386,3059290
2013-12,0,3142466,100386,3242852
2014-01,0,3142466,100396,3242862
2014-02,0,2915068,100395,3015464
2014-03,0,3227397,100396,3327793
2014-04,0,3205479,100396,3305875
2014-05,0,3312329,100396,3412725
2014-06,0,3287671,274578,3562249
2014-07,0,3397260,1867272,5264532
2014-08,0,3482192,804378,4286569
2014-09,0,3328767,100444,3429211
2014-10,0,3312329,100386,3412715
2014-11,0,3123288,100386,3223674
2014-12,0,3057534,100386,3157920
2015-01,0,3227397,100405,3327802
2015-02,0,2991781,100403,3092184
2015-03,0,3397260,100405,3497665
2015-04,0,3439001,100404,3539405
2015-05,0,3652055,100405,3752460
2015-06,0,3031644,320962,3352607
2015-07,0,2378082,2724528,5102610
2015-08,0,1910959,480518,2391477
2015-09,0,3205479,100387,3305866
2015-10,0,3397260,100386,3497647
2015-11,0,3343867,100386,3444253
2015-12,0,3482192,100386,3582578
2016-01,0,2505479,100386,2605866
2016-02,0,2593716,100386,2694103
2016-03,0,3184932,100386,3285318
2016-04,0,3524072,100386,3624458
2016-05,0,3906849,100386,4007236
2016-06,0,3619080,290509,3909589
2016-07,0,3312329,2094146,5406474
2016-08,0,1698630,866321,2564951
2016-09,0,2547945,100391,2648336
2016-10,0,2157260,100386,2257647
2016-11,0,3369863,100386,3470249
2016-12,0,3125479,100386,3225866
2017-01,0,3533151,100386,3633537
2017-02,0,3605479,100386,3705866
2017-03,0,4013014,100386,4113400
2017-04,0,3973374,100386,4073760
2017-05,0,4246575,100386,4346962
2017-06,0,4273973,206879,4480852
2017-07,0,4897717,1077594,5975311
2017-08,0,4246575,537080,4783655
2017-09,0,3452055,100580,3552635
2017-10,0,3524658,100392,3625050
2017-11,0,3780822,100392,3881214
2017-12,0,3736986,100387,3837373
2018-01,0,4280548,100386,4380934
2018-02,0,3969863,100386,4070249
2018-03,0,3787945,100386,3888331
2018-04,0,3534247,100386,3634633
2018-05,0,3601096,100386,3701482
2018-06,0,4849315,280449,5129764
2018-07,0,4642922,383815,5026738
2018-08,0,4225342,608541,4833883
2018-09,0,3424658,100500,3525157
2018-10,0,3758219,100386,3858605
2018-11,0,3780822,100386,3881208
2018-12,0,4034247,100386,4134633
2019-01,0,3567123,100402,3667525
2019-02,0,3758904,100400,3859304
2019-03,0,4388128,100402,4488530
2019-04,0,4520548,100401,4620949
2019-05,0,4246575,118329,4364904
2019-06,0,4547945,449626,4997571
2019-07,0,3312329,2548473,5860802
2019-08,0,2010046,1305769,3315815
2019-09,0,2260274,138097,2398371
2019-10,0,2944292,100426,3044718
2019-11,0,3000000,100421,3100421
2019-12,0,3510502,100422,3610925
2020-01,0,3680365,100390,3780756
2020-02,0,3138356,100390,3238746
2020-03,0,3368950,100390,3469340
2020-04,0,3452055,100390,3552445
2020-05,0,3850228,100390,3950619
2020-06,0,3863014,337328,4200341
2020-07,0,3793607,1986025,5779632
2020-08,0,2547945,727588,3275533
2020-09,0,1835616,100793,1936409
2020-10,0,2335616,100423,2436039
2020-11,0,2794521,100403,2894924
2020-12,0,3482192,100386,3582578
