# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Savissuaq, Mouginot region: NW, Mankoff discharge gate (2021): 52, closest NSIDC/MEASUREs ID: 70, distance to closest NSIDC/MEASUREs ID: 5562m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,495,33645602,991384,34637481
2010-02,447,31534062,991384,32525893
2010-03,495,36095890,991384,37087769
2010-04,479,36246575,991384,37238438
2010-05,5823745,38728767,991384,45543896
2010-06,165644471,40438356,3275908,209358735
2010-07,281840302,47306849,5405503,334552654
2010-08,257604587,46032877,4608211,308245675
2010-09,5270988,43232877,1054251,49558116
2010-10,243,43400000,991383,44391626
2010-11,235,40727932,991383,41719550
2010-12,244,40813177,991383,41804803
2011-01,1399,39501926,991383,40494707
2011-02,1263,34501526,991383,35494171
2011-03,1398,37030137,991383,38022918
2011-04,1353,34602740,991383,35595476
2011-05,1395,34482192,991383,35474969
2011-06,133908501,43808219,2983495,180700215
2011-07,481021184,40002740,7938377,528962300
2011-08,188959143,34652055,3809214,227420412
2011-09,82839,34109589,991394,35183821
2011-10,674,35756164,991383,36748221
2011-11,651,35121596,991383,36113630
2011-12,676,36817701,991383,37809759
2012-01,268,37369863,991383,38361513
2012-02,102,35498032,991383,36489517
2012-03,109,38473973,991383,39465464
2012-04,105,37726027,991383,38717516
2012-05,1805756,40767123,1007243,43580122
2012-06,165519673,43232877,3555668,212308218
2012-07,500944623,38473973,8488955,547907551
2012-08,227782736,36690411,4489644,268962790
2012-09,2177,33863014,991405,34856596
2012-10,109,33293151,991383,34284642
2012-11,106,30821918,991383,31813406
2012-12,109,31330409,991383,32321900
2013-01,5,30989336,991383,31980723
2013-02,7,27693151,991383,28684540
2013-03,3,30320548,991387,31311938
2013-04,0,34356164,991383,35347547
2013-05,0,43315068,991383,44306451
2013-06,39174379,35342466,1803616,76320461
2013-07,202342174,38728767,4329347,245400289
2013-08,104078355,41106849,2590276,147775480
2013-09,11,35917808,991383,36909203
2013-10,25,37369863,991383,38361270
2013-11,0,36493151,991383,37484533
2013-12,0,38049315,991383,39040698
2014-01,9316,38389041,991392,39389749
2014-02,0,34980822,991392,35972213
2014-03,0,38983562,991392,39974954
2014-04,0,38054795,991392,39046187
2014-05,0,39663014,991392,40654406
2014-06,50132014,38712329,1824137,90668479
2014-07,334431488,38219178,6268825,378919491
2014-08,178826448,33463014,3631359,215920821
2014-09,2481,32547945,991441,33541867
2014-10,70450,32273973,991383,33335805
2014-11,1536,33123288,991383,34116206
2014-12,1587,36138356,991383,37131326
2015-01,2794,36350685,991401,37344881
2015-02,2524,32909589,991400,33903512
2015-03,2794,37582192,991401,38576387
2015-04,2704,36151719,991401,37145824
2015-05,2799,36860274,991401,37854474
2015-06,90762274,34778471,2009338,127550083
2015-07,545524805,34184932,8755874,588465611
2015-08,86743861,28494521,2256870,117495252
2015-09,105888,36493151,991417,37590455
2015-10,448,35926027,991383,36917858
2015-11,434,35609250,991383,36601067
2015-12,448,37624658,991383,38616488
2016-01,168,35458904,991383,36450455
2016-02,157,33523899,991383,34515439
2016-03,168,36350685,991383,37342236
2016-04,163,35459730,991383,36451276
2016-05,168,36945205,991383,37936756
2016-06,70272727,36459356,1997372,108729455
2016-07,409539841,38176712,6900410,454616963
2016-08,196457037,31000000,4061994,231519031
2016-09,51786,33452055,991404,34495245
2016-10,2095,31798356,991383,32791834
2016-11,1631,31027397,991383,32020411
2016-12,1685,35484384,991383,36477451
2017-01,1046,35178630,991383,36171059
2017-02,945,32756164,991383,33748492
2017-03,1046,35161644,991383,36154072
2017-04,1012,34644957,991383,35637352
2017-05,1046,36407306,991383,37399734
2017-06,31000574,32506849,1504256,65011679
2017-07,269117939,37483105,4717924,311318969
2017-08,119414200,34949315,2664516,157028031
2017-09,393266,33534247,991844,34919356
2017-10,9777,34694521,991389,35695687
2017-11,7519,30657534,991389,31656441
2017-12,13194,33505479,991384,34510057
2018-01,84,34821918,991383,35813384
2018-02,76,33580822,991383,34572280
2018-03,84,35824110,991383,36815576
2018-04,81,35178082,991383,36169546
2018-05,90,34991781,991383,35983253
2018-06,57815213,33780822,1876040,93472075
2018-07,93512266,37539726,2314910,133366902
2018-08,155463938,31360959,3236560,190061457
2018-09,583,28109589,991497,29101669
2018-10,266,30660274,991383,31651922
2018-11,25,31287671,991383,32279079
2018-12,30,33038356,991383,34029769
2019-01,0,34397260,991398,35388659
2019-02,0,31912329,991397,32903726
2019-03,0,35218265,991398,36209663
2019-04,953,34082192,991398,35074542
2019-05,12467506,33335616,1054671,46857793
2019-06,139474431,33068493,2651672,175194596
2019-07,501561797,24163014,8645652,534370463
2019-08,270317653,22280365,4891854,297489872
2019-09,12835190,23671233,1150844,37657266
2019-10,245411,22506849,991426,23743686
2019-11,28,23095890,991568,24087486
2019-12,29,25705936,991419,26697384
2020-01,0,29329680,991387,30321067
2020-02,0,28920548,991387,29911935
2020-03,0,30009132,991387,31000519
2020-04,0,27369863,991387,28361250
2020-05,63,29301370,991387,30292820
2020-06,77321507,28520548,2176425,108018480
2020-07,366592394,28027397,6403354,401023145
2020-08,140695811,25649315,2957369,169302495
2020-09,68872,21726027,991817,22786716
2020-10,416554,24078082,991430,25486067
2020-11,0,25616438,991400,26607838
2020-12,0,27772603,991383,28763985
