# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Yngvar Nielsen Brae W, Mouginot region: NW, Mankoff discharge gate (2021): 53, closest NSIDC/MEASUREs ID: 66, distance to closest NSIDC/MEASUREs ID: 4625m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,59,28818367,343191,29161618
2010-02,54,26257852,343190,26601096
2010-03,59,29301370,343208,29644637
2010-04,58,28602740,343207,28946004
2010-05,1243331,29810959,343208,31397497
2010-06,59546499,29095890,991873,89634263
2010-07,91926669,26923288,1416879,120266836
2010-08,99455097,27008219,1384807,127848124
2010-09,1917333,26219178,352774,28489285
2010-10,85,27178082,343202,27521369
2010-11,181,26386174,343201,26729557
2010-12,85,27350537,343202,27693824
2011-01,120,27437954,343183,27781257
2011-02,116,24861177,343183,25204475
2011-03,128,27602740,343183,27946051
2011-04,124,26794521,343183,27137827
2011-05,15,27772603,343183,28115800
2011-06,56346022,26958904,921691,84226617
2011-07,193758864,27602740,2639576,224001180
2011-08,80807407,27347945,1221522,109376874
2011-09,43061,26136986,343195,26523242
2011-10,0,26753425,343196,27096620
2011-11,0,25645012,343195,25988207
2011-12,0,26256574,343196,26599770
2012-01,0,25989041,343183,26332224
2012-02,0,24023168,343183,24366351
2012-03,0,25394521,343183,25737703
2012-04,0,24328767,343263,24672030
2012-05,1691990,24884932,343184,26920106
2012-06,80133724,30164384,1099802,111397909
2012-07,208972251,29131507,2831271,240935029
2012-08,92060075,21487671,1369601,114917347
2012-09,128322,21863014,343183,22334518
2012-10,41,23695890,343183,24039114
2012-11,83,23835616,343183,24178882
2012-12,16,25782520,343183,26125719
2013-01,18,27129548,343187,27472753
2013-02,41739,25698630,343187,26083556
2013-03,18,29556164,343197,29899379
2013-04,845,22191781,343187,22535813
2013-05,19582,30150685,343187,30513454
2013-06,24292199,27863014,546313,52701526
2013-07,84845808,27517808,1423744,113787360
2013-08,45212737,26158904,801546,72173187
2013-09,781,24000000,343321,24344102
2013-10,33,25649315,343187,25992535
2013-11,8,25643836,343187,25987031
2013-12,9,27347945,343187,27691141
2014-01,0,28282192,343183,28625375
2014-02,0,26312329,343183,26655512
2014-03,0,29895890,343183,30239073
2014-04,0,29753425,343183,30096607
2014-05,0,31594521,343183,31937703
2014-06,24689276,31479452,519024,56687752
2014-07,134162796,25989041,2105745,162257582
2014-08,73350938,19279452,1121025,93751415
2014-09,3367,18534247,343195,18880808
2014-10,179759,20383562,343194,20906514
2014-11,339,20958904,343191,21302434
2014-12,350,22846575,343192,23190117
2015-01,1172,24120548,343183,24464902
2015-02,1058,22898630,343183,23242871
2015-03,1172,26413699,343183,26758053
2015-04,1134,26091279,343183,26435595
2015-05,1167,27263014,343183,27607363
2015-06,29278079,26556509,586849,56421437
2015-07,205406287,27517808,2930045,235854140
2015-08,32754514,17835616,604970,51195101
2015-09,25046,24246575,343210,24614831
2015-10,0,24375342,343185,24718527
2015-11,0,23982642,343185,24325826
2015-12,0,25394521,343185,25737705
2016-01,5944,25819178,343183,26168305
2016-02,5561,22922933,343183,23271676
2016-03,5945,23313699,343183,23662826
2016-04,5753,22613924,343183,22962859
2016-05,5945,23483562,343183,23832689
2016-06,27506469,23030621,640138,51177229
2016-07,164524638,24035616,2260513,190820767
2016-08,79592105,19746575,1248447,100587128
2016-09,142478,21657534,343196,22143208
2016-10,7492,22116164,343183,22466839
2016-11,6929,23506849,343183,23856961
2016-12,7160,24850959,343183,25201302
2017-01,859,25258630,343183,25602672
2017-02,776,23627397,343183,23971356
2017-03,859,26732192,343183,27076234
2017-04,832,26569516,343183,26913530
2017-05,869,27857534,343183,28201586
2017-06,10686528,25109589,412300,36208417
2017-07,94279449,27432877,1379100,123091426
2017-08,42582859,26201370,726394,69510623
2017-09,192417,25972603,343183,26508202
2017-10,3015,26583562,343183,26929759
2017-11,1444,26671233,343192,27015869
2017-12,1348,26583562,343183,26928092
2018-01,758,26838356,343183,27182297
2018-02,684,23454795,343183,23798662
2018-03,758,26600548,343183,26944488
2018-04,733,26465753,343183,26809669
2018-05,753,26192877,343183,26536813
2018-06,23064884,25191781,516859,48773524
2018-07,33737704,26272146,698688,60708538
2018-08,61918268,25033562,1107483,88059313
2018-09,253942,22328767,345428,22928137
2018-10,1970,25352055,343680,25697705
2018-11,688,25205479,343184,25549351
2018-12,714,27900000,343183,28243897
2019-01,0,22549315,343183,22892498
2019-02,0,24739726,343183,25082909
2019-03,0,24715068,343183,25058251
2019-04,898,25863014,343183,26207095
2019-05,4177892,23993151,343183,28514226
2019-06,51785536,24356164,744662,76886362
2019-07,190870815,18217808,2758357,211846981
2019-08,112997335,16589954,1560080,131147370
2019-09,4241124,17301370,368592,21911086
2019-10,41744,19421005,343183,19805932
2019-11,23,19438356,343195,19781574
2019-12,24,20525114,343183,20868321
2020-01,0,22223744,343183,22566927
2020-02,0,20458904,343183,20802087
2020-03,0,20921461,343183,21264644
2020-04,0,21410959,343183,21754142
2020-05,2239,22676712,343183,23022134
2020-06,34284114,20547945,672226,55504286
2020-07,142015408,19675799,2044728,163735935
2020-08,53780240,18769863,787630,73337733
2020-09,13430,18684932,343381,19041743
2020-10,336069,19321918,343186,20001173
2020-11,0,20575342,343183,20918525
2020-12,0,22973973,343183,23317155
