# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Yngvar Nielsen Brae, Mouginot region: NW, Mankoff discharge gate (2021): 54, closest NSIDC/MEASUREs ID: 66, distance to closest NSIDC/MEASUREs ID: 5232m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,898,44811996,551566,45364460
2010-02,811,40168595,551564,40720969
2010-03,898,44164384,551612,44716893
2010-04,869,42410959,551610,42963438
2010-05,2570472,43484932,551612,46607015
2010-06,95476046,59589041,1189266,156254353
2010-07,167535473,58687671,2042256,228265401
2010-08,158093116,58517808,1849789,218460713
2010-09,3674468,56547945,565470,60787883
2010-10,921,58263014,551595,58815530
2010-11,1412,56244314,551594,56797320
2010-12,920,57991143,551595,58543659
2011-01,103,57869982,551543,58421628
2011-02,72,52169897,551543,52721511
2011-03,79,57668493,551543,58220115
2011-04,77,55726027,551543,56277647
2011-05,9,57413699,551543,57965250
2011-06,78659558,55479452,1091802,135230812
2011-07,276468183,56139726,3616899,336224808
2011-08,113300332,54865753,1587497,169753582
2011-09,218501,51945205,551816,52715523
2011-10,1685,52487671,551578,53040935
2011-11,0,49598717,551577,50150294
2011-12,0,50055489,551578,50607067
2012-01,0,48835616,551543,49387159
2012-02,0,44583165,551543,45134708
2012-03,0,46542466,551543,47094008
2012-04,0,43808219,551764,44359984
2012-05,2098385,44079452,554667,46732504
2012-06,116171147,49315068,1573318,167059533
2012-07,287599232,56224658,3958114,347782004
2012-08,152952793,36095890,1999279,191047963
2012-09,517184,37232877,553161,38303222
2012-10,1870,40852055,551543,41405468
2012-11,1673,41506849,551543,42060065
2012-12,284,42783016,551543,43334843
2013-01,374,42537717,551555,43089646
2013-02,535522,38202740,551554,39289816
2013-03,374,42126027,551581,42677983
2013-04,10981,44219178,551555,44781714
2013-05,251325,49175342,551555,49978223
2013-06,36190619,50383562,744481,87318662
2013-07,133729059,53082192,2144706,188955958
2013-08,69379431,54101370,1247128,124727928
2013-09,13313,53342466,551924,53907702
2013-10,214,55205479,551555,55757249
2013-11,140,53424658,551555,53976353
2013-12,145,55290411,551555,55842111
2014-01,0,55375342,551543,55926885
2014-02,0,50093151,551543,50644693
2014-03,0,55545205,551543,56096748
2014-04,0,53835616,551543,54387159
2014-05,0,55715068,551543,56266611
2014-06,40029683,54000000,724954,94754637
2014-07,199824912,51893151,2931020,254649082
2014-08,134608500,47306849,1618756,183534106
2014-09,11909,48000000,551575,48563484
2014-10,351569,48920548,551573,49823689
2014-11,779,47506849,551566,48059195
2014-12,807,49345205,551567,49897579
2015-01,592,49515068,551543,50067203
2015-02,535,44953425,551543,45505502
2015-03,592,51043836,551543,51595970
2015-04,573,49651936,551543,50204052
2015-05,587,51553425,551543,52105555
2015-06,54894026,51807373,883878,107585277
2015-07,291728074,55205479,3968278,350901831
2015-08,64259512,49387671,995281,114642464
2015-09,170312,52520548,551618,53242478
2015-10,2,50661644,551548,51213194
2015-11,2,49995843,551548,50547393
2015-12,2,52615068,551548,53166618
2016-01,1921,52487671,551543,53041135
2016-02,1794,48601054,551543,49154390
2016-03,1917,51553425,551543,52106885
2016-04,1856,50725496,551543,51278895
2016-05,1917,53931507,551543,54484967
2016-06,36785105,54208834,897097,91891036
2016-07,241269461,57328767,3274218,301872446
2016-08,135159979,53379452,1647691,190187122
2016-09,192155,51945205,551569,52688929
2016-10,1877,54186301,551543,54739721
2016-11,1819,51698630,551543,52251992
2016-12,1879,53897534,551543,54450956
2017-01,1,53778630,551543,54330174
2017-02,1,48846575,551543,49398119
2017-03,1,53782877,551543,54334421
2017-04,1,53805886,551543,54357429
2017-05,76,57328767,551543,57880386
2017-06,13989279,53917808,630914,68538001
2017-07,152117234,60216438,2022146,214355819
2017-08,81520667,58050685,1167377,140738729
2017-09,566882,53095890,552655,54215428
2017-10,7927,57201370,551543,57760840
2017-11,54,52232877,551569,52784500
2017-12,57,55439041,551543,55990641
2018-01,295,55460274,551543,56012111
2018-02,266,50304110,551543,50855919
2018-03,295,54593973,551543,55145810
2018-04,285,52273973,551543,52825801
2018-05,307,53031233,551543,53583082
2018-06,34596902,53712329,680001,88989232
2018-07,58746498,56224658,1017445,115988600
2018-08,115794131,55396575,1724768,172915474
2018-09,699053,50273973,558325,51531351
2018-10,20973,53485616,552916,54059506
2018-11,218,50493151,551545,51044914
2018-12,225,51914384,551543,52466152
2019-01,0,54016438,551543,54567981
2019-02,0,48252055,551543,48803597
2019-03,0,52940639,551543,53492182
2019-04,2,52712329,551543,53263874
2019-05,8622612,53421918,578633,62623163
2019-06,92153578,53561644,951916,146667138
2019-07,310220200,53591781,3877219,367689200
2019-08,172964123,49430137,2016047,224410308
2019-09,10022357,48164384,586185,58772925
2019-10,108559,49713242,551543,50373344
2019-11,0,50178082,551543,50729625
2019-12,0,51779909,551543,52331451
2020-01,0,49741553,551543,50293095
2020-02,0,47234247,551543,47785789
2020-03,0,51610046,551543,52161588
2020-04,0,51863014,551543,52414556
2020-05,711,53393607,551543,53945861
2020-06,48228714,54123288,842675,103194676
2020-07,199352895,53988128,2899168,256240191
2020-08,104555406,55587671,1328956,161472034
2020-09,171142,50821918,552090,51545150
2020-10,636062,49557534,555299,50748895
2020-11,7292,50465753,551543,51024588
2020-12,4270,53167123,551543,53722936
