# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Carlos, Mouginot region: NW, Mankoff discharge gate (2021): 57, closest NSIDC/MEASUREs ID: 64, distance to closest NSIDC/MEASUREs ID: 5054m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,266,594521,564248,1159035
2010-02,240,536986,564246,1101472
2010-03,266,594521,564294,1159080
2010-04,258,575342,564292,1139892
2010-05,577778,594521,564294,1736593
2010-06,35089583,575342,1121898,36786823
2010-07,62631376,594521,2008956,65234853
2010-08,68870306,594521,1851272,71316099
2010-09,1458672,575342,574542,2608556
2010-10,2580,594521,564277,1161377
2010-11,4042,575342,564275,1143660
2010-12,2580,594521,564277,1161378
2011-01,79,594521,564225,1158825
2011-02,0,536986,564225,1101212
2011-03,0,594521,564225,1158746
2011-04,0,575342,564225,1139568
2011-05,0,594521,564225,1158746
2011-06,35149648,575342,1048867,36773858
2011-07,105099116,594521,3810163,109503800
2011-08,42800267,594521,1640035,45034822
2011-09,51169,575342,564705,1191217
2011-10,1657,594521,564412,1160590
2011-11,0,575342,564259,1139601
2011-12,0,594521,564279,1158800
2012-01,0,594521,564225,1158746
2012-02,0,556164,564225,1120389
2012-03,0,594521,564225,1158746
2012-04,0,575342,564444,1139786
2012-05,711490,594521,566522,1872533
2012-06,55222449,575342,1486935,57284726
2012-07,120176246,594521,4229585,125000351
2012-08,62337097,594521,2041861,64973479
2012-09,197308,575342,565414,1338065
2012-10,570,594521,564225,1159315
2012-11,5417,575342,564225,1144985
2012-12,85,594521,564225,1158831
2013-01,248,594521,564260,1159028
2013-02,5886,536986,564251,1107123
2013-03,246,594521,564292,1159059
2013-04,353,575342,564267,1139962
2013-05,2691,594521,564265,1161477
2013-06,13804859,493151,725374,15023383
2013-07,52512066,509589,2045959,55067614
2013-08,28124983,509589,1243966,29878538
2013-09,3666,493151,590394,1087211
2013-10,183,509589,564237,1074010
2013-11,156,493151,564237,1057544
2013-12,162,509589,564237,1073988
2014-01,0,509589,564225,1073814
2014-02,0,460274,564225,1024499
2014-03,0,509589,564225,1073814
2014-04,0,493151,564225,1057376
2014-05,0,509589,564225,1073814
2014-06,16356227,493151,701217,17550595
2014-07,79576123,509589,3063429,83149141
2014-08,57414211,509589,1570381,59494182
2014-09,17235,493151,564257,1074643
2014-10,145621,509589,564255,1219464
2014-11,772,493151,564248,1058171
2014-12,794,509589,564249,1074632
2015-01,9728,509589,564225,1083542
2015-02,8787,460274,564225,1033286
2015-03,9728,509589,564225,1083542
2015-04,9414,493151,564225,1066790
2015-05,9739,509589,564225,1083553
2015-06,24100341,465397,845350,25411088
2015-07,124615082,424658,4189559,129229298
2015-08,23188762,339726,969367,24497855
2015-09,40099,410959,564299,1015357
2015-10,4,424658,564231,988892
2015-11,4,410959,564274,975237
2015-12,4,424658,564231,988892
2016-01,1134,509589,564225,1074948
2016-02,1052,476712,564225,1041990
2016-03,1125,509589,564225,1074939
2016-04,1089,514204,564225,1079517
2016-05,1125,552055,564225,1117405
2016-06,15136056,522093,869699,16527847
2016-07,95002074,509589,3152061,98663724
2016-08,59791205,424658,1587616,61803478
2016-09,26362,575342,564250,1165954
2016-10,15,594521,564225,1158761
2016-11,14,575342,564225,1139581
2016-12,14,594521,564225,1158760
2017-01,0,543562,564225,1107787
2017-02,0,441096,564225,1005321
2017-03,0,509589,564225,1073814
2017-04,0,542131,564225,1106356
2017-05,3034,594521,564225,1161780
2017-06,5448351,575342,622981,6646675
2017-07,58649412,594521,1891458,61135391
2017-08,30206052,509589,1094472,31810113
2017-09,140364,410959,565043,1116366
2017-10,8020,424658,564225,996903
2017-11,56,493151,564251,1057458
2017-12,58,509589,564225,1073872
2018-01,3174,509589,564225,1076988
2018-02,2867,441096,564225,1008188
2018-03,3174,492603,564225,1060002
2018-04,3072,493151,564225,1060447
2018-05,3187,509589,564225,1077001
2018-06,15623511,534247,659705,16817463
2018-07,22738276,594521,973216,24306013
2018-08,48135688,594521,1637305,50367514
2018-09,208599,493151,570775,1272525
2018-10,6160,509589,565581,1081331
2018-11,4,493151,564228,1057382
2018-12,4,509589,564225,1073819
2019-01,0,424658,564225,988883
2019-02,0,421918,564225,986143
2019-03,0,509589,564225,1073814
2019-04,2514,493151,564225,1059890
2019-05,1549104,509589,584131,2642825
2019-06,35373328,493151,892944,36759423
2019-07,126640646,509589,3701837,130852073
2019-08,64607292,509589,2125157,67242038
2019-09,3643702,493151,589844,4726697
2019-10,13393,509589,564225,1087207
2019-11,0,493151,564225,1057376
2019-12,0,509589,564225,1073814
2020-01,9,509589,564225,1073823
2020-02,8,397260,564225,961493
2020-03,9,424658,564225,988891
2020-04,8,410959,564225,975192
2020-05,464,424658,564225,989346
2020-06,21716213,410959,815605,22942777
2020-07,76903064,424658,2961469,80289191
2020-08,37579464,424658,1302058,39306180
2020-09,12532,410959,564766,988257
2020-10,150960,424658,566988,1142605
2020-11,7177,356164,564225,927566
2020-12,4209,339726,564225,908160
