# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Helland, Mouginot region: NW, Mankoff discharge gate (2021): 58, closest NSIDC/MEASUREs ID: 67, distance to closest NSIDC/MEASUREs ID: 5119m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,23,1528767,163935,1692725
2010-02,20,1380822,163935,1544778
2010-03,23,1528767,163935,1692725
2010-04,22,1479452,163935,1643409
2010-05,703501,1528767,163935,2396203
2010-06,57690183,1479452,935746,60105381
2010-07,102503569,1613699,1240973,105358241
2010-08,97080592,1613699,1247183,99941473
2010-09,1645703,1561644,177966,3385313
2010-10,65,1613699,163935,1777699
2010-11,62,1561644,163935,1725641
2010-12,66,1613699,163935,1777700
2011-01,23,1613699,163935,1777656
2011-02,16,1457534,163935,1621485
2011-03,18,1613699,163935,1777651
2011-04,17,1561644,163935,1725596
2011-05,2,1698630,163935,1862568
2011-06,53742178,1643836,834788,56220802
2011-07,179763956,1698630,2288559,183751145
2011-08,72619620,1698630,1074798,75393048
2011-09,72373,1643836,163935,1880144
2011-10,0,1698630,163935,1862565
2011-11,0,1643836,163935,1807771
2011-12,0,1698630,163935,1862565
2012-01,0,1698630,163935,1862565
2012-02,0,1630753,163935,1794688
2012-03,0,1783562,163935,1947497
2012-04,0,1726027,163935,1889963
2012-05,516755,1783562,163935,2464252
2012-06,74682049,1726027,919788,77327864
2012-07,176971175,1783562,2394396,181149132
2012-08,92463781,1783562,1172580,95419923
2012-09,40186,1726027,163935,1930148
2012-10,1,1783562,163935,1947498
2012-11,1,1726027,163935,1889964
2012-12,0,1804765,163935,1968700
2013-01,0,1846062,163935,2009998
2013-02,2,1687671,163935,1851609
2013-03,0,1868493,163935,2032429
2013-04,0,1808219,163935,1972155
2013-05,1,1868493,163935,2032430
2013-06,22538555,1808219,423704,24770478
2013-07,80361826,1868493,1104278,83334597
2013-08,45701191,1868493,587315,48156999
2013-09,3,1808219,163935,1972157
2013-10,27,1868493,163935,2032455
2013-11,0,1808219,163935,1972155
2013-12,0,1953425,163935,2117360
2014-01,19,1953425,163935,2117379
2014-02,0,1764384,163935,1928319
2014-03,0,1953425,163935,2117360
2014-04,0,1890411,163935,2054346
2014-05,0,1953425,163935,2117360
2014-06,23350986,1890411,404092,25645489
2014-07,126967044,1953425,1757923,130678392
2014-08,79800375,1953425,971943,82725743
2014-09,2059,1890411,163935,2056405
2014-10,67611,1953425,163935,2184971
2014-11,451,1972603,163935,2136988
2014-12,466,2038356,163935,2202757
2015-01,29,2038356,163935,2202320
2015-02,26,1841096,163935,2005057
2015-03,29,2038356,163935,2202320
2015-04,28,1972603,163935,2136566
2015-05,28,2038356,163935,2202320
2015-06,27856279,2014709,446495,30317483
2015-07,186089653,2123288,2554335,190767275
2015-08,37714247,2038356,446213,40198816
2015-09,118013,2054795,163935,2336743
2015-10,1,1528767,163935,1692704
2015-11,1,1942622,163935,2106558
2015-12,1,2463014,163935,2626950
2016-01,140,2080822,163935,2244897
2016-02,131,1716551,163935,1880617
2016-03,140,1698630,163935,1862705
2016-04,135,1585119,163935,1749189
2016-05,140,1613699,163935,1777774
2016-06,23994048,1581862,494362,26070272
2016-07,145598627,1698630,1864001,149161258
2016-08,81689779,2463014,1147552,85300345
2016-09,30493,1931507,163941,2125941
2016-10,2198,2378082,163935,2544216
2016-11,1704,2547945,163935,2713584
2016-12,1761,2157260,163935,2322956
2017-01,1119,2530959,163935,2696013
2017-02,1011,2435616,163935,2600563
2017-03,1119,2335616,163935,2500671
2017-04,1083,2267292,163935,2432310
2017-05,1118,2349772,163935,2514825
2017-06,11199538,2178082,265397,13643017
2017-07,100347204,2547945,1174891,104070041
2017-08,48844852,2632877,566581,52044309
2017-09,275363,2630137,163935,3069435
2017-10,3984,2165753,163935,2333673
2017-11,1924,2465753,163935,2631613
2017-12,1837,2611644,163935,2777416
2018-01,83,2802740,163935,2966758
2018-02,75,2704110,163935,2868120
2018-03,83,2819726,163935,2983745
2018-04,81,2424658,163935,2588674
2018-05,83,2547945,163935,2711963
2018-06,22962351,2260274,418886,25641511
2018-07,34856829,2434703,549070,37840602
2018-08,58838044,1783562,848204,61469809
2018-09,96279,1424658,163935,1684871
2018-10,278,1783562,163935,1947775
2018-11,21,2273973,163935,2437928
2018-12,25,2526712,163935,2690673
2019-01,0,2038356,163935,2202291
2019-02,0,2186301,163935,2350237
2019-03,0,2378082,163935,2542017
2019-04,1011,2630137,163935,2795083
2019-05,4174853,2463014,163935,6801802
2019-06,53409185,2054795,685351,56149331
2019-07,197356788,2038356,2410543,201805687
2019-08,100027224,1642009,1399942,103069175
2019-09,5596791,2095890,201237,7893918
2019-10,30644,1670320,163936,1864900
2019-11,30,1849315,163956,2013301
2019-12,31,1981735,163935,2145701
2020-01,0,1896804,163935,2060739
2020-02,0,1906849,163935,2070785
2020-03,0,1726941,163935,1890876
2020-04,0,2095890,163935,2259826
2020-05,52,2208219,163935,2372207
2020-06,31850818,2054795,572536,34478149
2020-07,131192946,2293151,1693004,135179100
2020-08,59076149,1910959,606246,61593354
2020-09,64752,1698630,163935,1927317
2020-10,158567,1273973,163935,1596475
2020-11,0,1397260,163935,1561195
2020-12,0,1571233,163935,1735168
