# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Docker Smith Gletscher W, Mouginot region: NW, Mankoff discharge gate (2021): 62, closest NSIDC/MEASUREs ID: 60, distance to closest NSIDC/MEASUREs ID: 5000m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,108299646,162139,108461785
2010-02,0,98932856,162139,99094995
2010-03,0,110665753,162139,110827892
2010-04,0,108328767,162139,108490906
2010-05,0,102257534,162139,102419673
2010-06,0,98794521,294066,99088586
2010-07,0,98520548,425872,98946420
2010-08,0,107778082,401395,108179477
2010-09,0,104054795,163640,104218434
2010-10,0,107268493,162139,107430632
2010-11,0,103553806,162139,103715944
2010-12,0,106751128,162139,106913267
2011-01,0,106488878,162139,106651017
2011-02,0,95947976,162139,96110115
2011-03,0,105994521,162139,106156659
2011-04,0,102328767,162139,102490906
2011-05,0,105484932,162139,105647070
2011-06,0,101835616,220552,102056169
2011-07,0,105824658,787187,106611844
2011-08,0,100134247,341363,100475610
2011-09,0,97068493,162139,97230632
2011-10,0,100473973,162139,100636111
2011-11,0,97375331,162139,97537470
2011-12,0,100752509,162139,100914648
2012-01,0,100898630,162139,101060769
2012-02,0,94564800,162139,94726939
2012-03,0,101238356,162139,101400495
2012-04,0,98054795,162139,98216933
2012-05,0,101493151,162827,101655978
2012-06,0,103068493,317596,103386089
2012-07,0,113383562,907791,114291352
2012-08,0,107778082,413487,108191569
2012-09,0,107506849,162139,107668988
2012-10,0,114317808,162139,114479947
2012-11,0,113342466,162139,113504605
2012-12,0,117619069,162139,117781208
2013-01,0,117893704,162139,118055842
2013-02,0,106706849,162139,106868988
2013-03,0,118394521,162139,118556659
2013-04,0,114904110,162139,115066248
2013-05,0,112704110,162139,112866248
2013-06,0,102821918,193505,103015422
2013-07,0,109221918,442241,109664159
2013-08,0,112279452,266172,112545624
2013-09,0,111698630,162151,111860781
2013-10,0,114317808,162143,114479951
2013-11,0,109561644,162139,109723783
2013-12,0,112109589,162139,112271728
2014-01,0,111005479,162139,111167618
2014-02,0,99265753,162139,99427892
2014-03,0,108882192,162139,109044331
2014-04,0,104383562,162139,104545700
2014-05,0,106758904,162139,106921043
2014-06,0,99863014,193218,100056231
2014-07,0,111854795,648894,112503689
2014-08,0,116950685,310237,117260922
2014-09,0,106397260,162139,106559399
2014-10,0,111939726,162139,112101865
2014-11,0,106356164,162139,106518303
2014-12,0,107947945,162139,108110084
2015-01,0,105952055,162139,106114194
2015-02,0,94049315,162139,94211454
2015-03,0,105612329,162139,105774468
2015-04,0,102823360,162139,102985499
2015-05,0,106886301,162139,107048440
2015-06,0,105884673,197957,106082630
2015-07,0,111345205,856434,112201639
2015-08,0,107310959,206373,107517332
2015-09,0,109315068,162139,109477207
2015-10,0,117969863,162139,118132002
2015-11,0,110985354,162139,111147493
2015-12,0,111557534,162139,111719673
2016-01,0,111939726,162139,112101865
2016-02,0,103946144,162139,104108283
2016-03,0,110368493,162139,110530632
2016-04,0,106914486,162139,107076624
2016-05,0,110665753,162139,110827892
2016-06,0,107325149,189890,107515039
2016-07,0,111047945,567580,111615526
2016-08,0,109986301,311384,110297685
2016-09,0,111452055,162139,111614194
2016-10,0,112500274,162139,112662413
2016-11,0,107178082,162139,107340221
2016-12,0,115761644,162139,115923783
2017-01,0,111328219,162139,111490358
2017-02,0,101394521,162139,101556659
2017-03,0,108882192,162139,109044331
2017-04,0,107840102,162139,108002241
2017-05,0,113864840,162139,114026979
2017-06,0,100191781,178762,100370542
2017-07,0,115421918,259166,115681084
2017-08,0,112321918,223501,112545419
2017-09,0,99945205,162139,100107344
2017-10,0,108245205,162139,108407344
2017-11,0,102287671,162139,102449810
2017-12,0,105867123,162139,106029262
2018-01,0,107302466,162139,107464605
2018-02,0,98172603,162139,98334742
2018-03,0,104448767,162139,104610906
2018-04,0,102205479,162139,102367618
2018-05,0,102087671,162139,102249810
2018-06,0,92917808,183985,93101793
2018-07,0,100190868,199224,100390091
2018-08,0,97225342,270903,97496246
2018-09,0,91123288,162464,91285751
2018-10,0,96439726,162139,96601865
2018-11,0,92684932,162139,92847070
2018-12,0,99815753,162139,99977892
2019-01,0,98265753,162139,98427892
2019-02,0,90443836,162139,90605974
2019-03,0,96142466,162139,96304605
2019-04,0,88986301,162139,89148440
2019-05,0,92617808,165431,92783239
2019-06,0,89863014,227622,90090636
2019-07,0,86842466,764778,87607244
2019-08,0,85724201,447270,86171471
2019-09,0,83013699,165176,83178875
2019-10,0,93311416,162139,93473554
2019-11,0,91561644,162139,91723783
2019-12,0,98916895,162139,99079034
2020-01,0,97133333,162139,97295472
2020-02,0,90773973,162139,90936111
2020-03,0,96453881,162139,96616020
2020-04,0,96698630,162139,96860769
2020-05,0,84591781,162139,84753920
2020-06,0,81780822,197642,81978464
2020-07,0,83572603,597559,84170162
2020-08,0,83700000,273296,83973296
2020-09,0,86575342,162139,86737481
2020-10,0,95293151,162277,95455428
2020-11,0,90986301,162159,91148460
2020-12,0,96015068,162139,96177207
