# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Docker Smith Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 64, closest NSIDC/MEASUREs ID: 57, distance to closest NSIDC/MEASUREs ID: 4557m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,25239490,427873,25667363
2010-02,0,22920551,427835,23348386
2010-03,0,25479452,427835,25907287
2010-04,0,24739726,427835,25167561
2010-05,1440249,19279452,427835,21147537
2010-06,21481620,27616438,952273,50050332
2010-07,30288029,38473973,1200296,69962297
2010-08,25896828,28876712,1103652,55877192
2010-09,979160,27945205,436305,29360671
2010-10,1,28961644,427833,29389478
2010-11,4748,28085979,427833,28518559
2010-12,27,29068986,427833,29496846
2011-01,0,29113351,427833,29541184
2011-02,0,26339818,427833,26767651
2011-03,0,29216438,427833,29644271
2011-04,0,28356164,427833,28783997
2011-05,0,29386301,427833,29814134
2011-06,12219355,28520548,787372,41527275
2011-07,49801102,34652055,1706503,86159660
2011-08,16456943,30405479,876655,47739078
2011-09,54572,29342466,427833,29824871
2011-10,0,30235616,427833,30663450
2011-11,0,29158708,427833,29586541
2011-12,0,30018003,427833,30445836
2012-01,27,29895890,427833,30323750
2012-02,25,27838675,427833,28266532
2012-03,26,29641096,427833,30068955
2012-04,25,28602740,427833,29030598
2012-05,1050424,29471233,431443,30953100
2012-06,20989898,22438356,996890,44425144
2012-07,40195587,24460274,1878239,66534100
2012-08,26420399,26498630,1237078,54156107
2012-09,164619,24493151,427833,25085603
2012-10,24,24120548,427833,24548405
2012-11,0,22273973,427833,22701805
2012-12,0,22001564,427833,22429397
2013-01,0,20980882,427833,21408715
2013-02,0,18027397,427833,18455230
2013-03,0,19024658,427833,19452490
2013-04,0,17424658,427833,17852490
2013-05,0,23016438,427833,23444271
2013-06,8091292,25397260,606069,34094621
2013-07,24929510,28961644,1126993,55018147
2013-08,13329305,20128767,694943,34153015
2013-09,80111,29589041,427833,30096985
2013-10,16,30235616,427833,30663466
2013-11,1,28849315,427833,29277149
2013-12,0,29471233,427833,29899066
2014-01,0,29046575,427843,29474418
2014-02,0,25852055,427842,26279897
2014-03,0,28282192,427843,28710035
2014-04,0,26958904,427843,27386747
2014-05,0,27517808,427843,27945651
2014-06,12370483,22191781,644312,35206575
2014-07,29237705,27772603,1525951,58536259
2014-08,22845759,26838356,914205,50598319
2014-09,268167,21000000,427836,21696002
2014-10,85629,20723288,427836,21236753
2014-11,0,21369863,427836,21797699
2014-12,0,23441096,427836,23868932
2015-01,0,24842466,427840,25270306
2015-02,0,21671233,427839,22099072
2015-03,0,20638356,427840,21066196
2015-04,0,20539596,427840,20967435
2015-05,102,22209589,427840,22637531
2015-06,14136297,22645680,653414,37435391
2015-07,44682866,24120548,2142734,70946149
2015-08,11236216,21317808,631855,33185878
2015-09,19469,22027397,427838,22474704
2015-10,0,22889041,427838,23316879
2015-11,0,21876994,427838,22304831
2015-12,0,22336986,427838,22764824
2016-01,0,23016438,427834,23444272
2016-02,0,21680498,427834,22108332
2016-03,0,23228767,427834,23656601
2016-04,0,22395239,427834,22823073
2016-05,0,23058904,427834,23486738
2016-06,6858095,22820345,585422,30263861
2016-07,36090353,24078082,1595625,61764060
2016-08,23398087,21827397,1012224,46237708
2016-09,22897,21863014,427834,22313745
2016-10,0,20808219,427834,21236053
2016-11,0,19273973,427834,19701806
2016-12,0,20162740,427834,20590573
2017-01,0,20417534,427833,20845367
2017-02,0,16876712,427833,17304545
2017-03,0,18960959,427833,19388792
2017-04,0,19164852,427833,19592685
2017-05,0,20411872,427833,20839705
2017-06,4905081,17794521,528550,23228151
2017-07,29877128,22931507,1063514,53872149
2017-08,18169892,22506849,745958,41422700
2017-09,218837,20876712,427833,21523382
2017-10,0,22082192,427833,22510025
2017-11,0,19808219,427833,20236052
2017-12,0,21466438,427833,21894271
2018-01,0,20298630,427833,20726463
2018-02,0,17663014,427833,18090846
2018-03,0,19058630,427833,19486463
2018-04,0,18205479,427833,18633312
2018-05,70,18600000,427833,19027903
2018-06,8252349,18205479,562891,27020719
2018-07,13407329,18656621,650453,32714403
2018-08,19555747,20404795,949695,40910237
2018-09,354995,16520548,430209,17305753
2018-10,0,17623288,427833,18051120
2018-11,0,16657534,427833,17085367
2018-12,0,16604110,427833,17031942
2019-01,0,20595890,427833,21023723
2019-02,0,17720548,427833,18148381
2019-03,0,17071233,427833,17499066
2019-04,57733,16465753,427833,16951319
2019-05,3177853,19109589,451928,22739371
2019-06,20582373,18000000,850151,39432524
2019-07,52506995,20978082,2030789,75515867
2019-08,25466879,18231963,1211340,44910183
2019-09,2214951,19356164,444814,22015929
2019-10,2828,18203653,427833,18634313
2019-11,0,17383562,427833,17811394
2019-12,0,17241096,427833,17668929
2020-01,0,19307763,427833,19735595
2020-02,0,17360274,427833,17788107
2020-03,0,15967123,427833,16394956
2020-04,0,16602740,427833,17030573
2020-05,68000,16929680,427833,17425513
2020-06,9638138,15945205,661038,26244381
2020-07,32111483,19675799,1414407,53201689
2020-08,17428188,17920548,775317,36124053
2020-09,66471,18246575,427833,18740879
2020-10,197025,19576712,427833,20201570
2020-11,0,16547945,427833,16975778
2020-12,0,19789041,427833,20216874
