# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Issuuarsuit Sermia, Mouginot region: NW, Mankoff discharge gate (2021): 67, closest NSIDC/MEASUREs ID: 55, distance to closest NSIDC/MEASUREs ID: 2458m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,299002507,1150154,300152661
2010-02,0,269133380,1150154,270283534
2010-03,0,297005479,1150154,298155633
2010-04,0,286356164,1150154,287506318
2010-05,270043,289276712,1166101,290712856
2010-06,5479672,325232877,1777530,332490079
2010-07,7209406,340660274,2014720,349884400
2010-08,6085388,307027397,1989750,315102536
2010-09,253514,299013699,1157996,300425209
2010-10,0,310849315,1150154,311999469
2010-11,69655,302703441,1150154,303923250
2010-12,130,314682400,1150154,315832683
2011-01,0,316638518,1150154,317788672
2011-02,0,287763869,1150154,288914023
2011-03,0,320361644,1150154,321511797
2011-04,0,311917808,1150154,313067962
2011-05,0,293268493,1150154,294418647
2011-06,3103752,307397260,1518398,312019411
2011-07,12223652,345926027,2763265,360912945
2011-08,3982984,294797260,1697201,300477446
2011-09,6430,284794521,1150201,285951151
2011-10,0,293863014,1150242,295013255
2011-11,0,283901414,1150479,285051893
2011-12,0,292852138,1150154,294002291
2012-01,2,292334247,1150154,293484402
2012-02,2,273022630,1150154,274172785
2012-03,2,291400000,1150154,292550156
2012-04,2,281506849,1150298,282657150
2012-05,293039,290380822,1168164,291842025
2012-06,5432721,317753425,1865251,325051396
2012-07,9535601,353145205,3347615,366028421
2012-08,6518169,307282192,2158747,315959108
2012-09,61419,281424658,1150201,282636278
2012-10,6,296665753,1150154,297815913
2012-11,0,292027397,1150154,293177551
2012-12,0,299550594,1150154,300700748
2013-01,0,294502566,1150154,295652720
2013-02,0,261512329,1150154,262662482
2013-03,0,286049315,1150154,287199469
2013-04,0,272958904,1150154,274109058
2013-05,0,296665753,1150154,297815907
2013-06,2439904,303205479,1315084,306960468
2013-07,7051335,321550685,1966056,330568076
2013-08,3588152,304224658,1423994,309236804
2013-09,87761,301315068,1150185,302553014
2013-10,0,311189041,1150246,312339288
2013-11,0,300904110,1150463,302054573
2013-12,0,310764384,1150160,311914544
2014-01,0,310509589,1150154,311659743
2014-02,0,280306849,1150154,281457003
2014-03,0,310084932,1150154,311235085
2014-04,0,307479452,1150154,308629606
2014-05,0,327410959,1150154,328561112
2014-06,3409439,302383562,1379285,307172286
2014-07,6870091,323758904,2501407,333130402
2014-08,5490564,315690411,1675583,322856558
2014-09,77014,292684932,1150158,293912103
2014-10,14444,296580822,1150183,297745449
2014-11,0,289397260,1150158,290547419
2014-12,0,301379452,1150158,302529611
2015-01,0,303842466,1150154,304992619
2015-02,0,279463014,1150154,280613167
2015-03,0,316497260,1150154,317647414
2015-04,0,300371728,1150154,301521882
2015-05,814,304564384,1150154,305715351
2015-06,4506348,301813594,1401008,307720950
2015-07,11295256,318832877,3228318,333356451
2015-08,3318143,298067123,1387417,302772683
2015-09,85536,287424658,1150154,288660347
2015-10,0,293395890,1150154,294546044
2015-11,0,283869820,1150154,285019973
2015-12,0,293268493,1150154,294418647
2016-01,0,279509589,1150160,280659749
2016-02,0,264226167,1150160,265376326
2016-03,0,285369863,1150160,286520023
2016-04,0,276444655,1150160,277594815
2016-05,0,285964384,1150160,287114544
2016-06,1941332,292057812,1299255,295298399
2016-07,9612489,316582192,2528116,328722797
2016-08,6067675,303247945,1762766,311078386
2016-09,16225,292027397,1150160,293193782
2016-10,0,294134795,1150160,295284954
2016-11,0,286027397,1150171,287177568
2016-12,0,301353973,1150160,302504132
2017-01,0,300436712,1150474,301587186
2017-02,0,271945205,1150157,273095363
2017-03,0,300487671,1150157,301637829
2017-04,0,291594541,1150157,292744699
2017-05,0,302101370,1150157,303251527
2017-06,1655519,283150685,1232763,286038968
2017-07,8663567,310396347,1868907,320928821
2017-08,5062103,320361644,1508117,326931864
2017-09,113761,311178082,1150282,312442125
2017-10,0,313821918,1150157,314972075
2017-11,0,293342466,1150157,294492623
2017-12,0,308980822,1150157,310130979
2018-01,0,315367671,1150154,316517825
2018-02,0,280920548,1150154,282070702
2018-03,0,305226849,1150154,306377003
2018-04,0,296342466,1150154,297492619
2018-05,0,305107945,1150154,306258099
2018-06,2761205,294534247,1258637,298554088
2018-07,4307073,306999087,1355871,312662030
2018-08,5007999,317728767,1790433,324527199
2018-09,143885,293150685,1153382,294447952
2018-10,0,312781507,1150154,313931660
2018-11,0,300410959,1150154,301561112
2018-12,0,315860274,1150154,317010428
2019-01,0,318790411,1150156,319940567
2019-02,0,281342466,1150156,282492621
2019-03,0,316030137,1150156,317180293
2019-04,10023,304630137,1150156,305790316
2019-05,1054913,305371233,1180559,307606705
2019-06,5784279,305260274,1601954,312646507
2019-07,12619988,314883562,2968802,330472351
2019-08,6355326,298222831,1924762,306502918
2019-09,657072,281917808,1168050,283742930
2019-10,449,299411872,1150756,300563077
2019-11,0,289849315,1150157,290999472
2019-12,0,303092237,1150157,304242395
2020-01,0,312264840,1150154,313414994
2020-02,0,295879452,1150154,297029606
2020-03,0,309263927,1150154,310414081
2020-04,0,304273973,1150154,305424126
2020-05,70180,304762557,1150154,305982891
2020-06,2567469,291904110,1414745,295886324
2020-07,8431892,321437443,2380396,332249730
2020-08,4630674,324947945,1560396,331139015
2020-09,23482,303013699,1150155,304187335
2020-10,96528,321932877,1150296,323179700
2020-11,0,313506849,1150154,314657003
2020-12,0,316921918,1150154,318072071
