# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Noname North Oscar, Mouginot region: NW, Mankoff discharge gate (2021): 72, closest NSIDC/MEASUREs ID: 52, distance to closest NSIDC/MEASUREs ID: 6630m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,79810732,2409451,82220183
2010-02,1,70592313,2409451,73001764
2010-03,0,76608219,2409451,79017670
2010-04,0,72410959,2409451,74820409
2010-05,6258185,73126027,2442797,81827009
2010-06,170131246,89835616,4525339,264492202
2010-07,244102618,89687671,5062133,338852423
2010-08,204693354,97331507,4737493,306762354
2010-09,5321360,93369863,2430797,101122020
2010-10,18,95632877,2409451,98042346
2010-11,1277494,91724266,2409451,95411210
2010-12,2519,93972482,2409451,96384451
2011-01,0,93143292,2409451,95552742
2011-02,0,83379734,2409451,85789185
2011-03,0,91556164,2409451,93965615
2011-04,0,87780822,2409451,90190272
2011-05,0,89942466,2409451,92351916
2011-06,102573519,71095890,3850053,177519462
2011-07,378395646,99115068,7246318,484757032
2011-08,128756442,92405479,4102168,225264090
2011-09,131023,90410959,2409680,92951661
2011-10,32,94528767,2409525,96938325
2011-11,29,92519599,2409727,94929355
2011-12,30,96613913,2409451,99023394
2012-01,157,97671233,2409451,100080840
2012-02,146,92391256,2409451,94800853
2012-03,157,99794521,2409451,102204128
2012-04,152,97643836,2409573,100053561
2012-05,9245292,101917808,2452501,113615601
2012-06,189770880,99698630,4841635,294311145
2012-07,366062023,112704110,8417991,487184124
2012-08,217514744,96057534,5423711,318995989
2012-09,921719,80547945,2409512,83879176
2012-10,20822,87989041,2409461,90419324
2012-11,2121,89095890,2409451,91507462
2012-12,85,94373938,2409451,96783473
2013-01,412,96191504,2409451,98601367
2013-02,372,88449315,2409451,90859138
2013-03,294,99539726,2409451,101949470
2013-04,261,98136986,2409451,100546698
2013-05,180,110495890,2409451,112905521
2013-06,84045280,126246575,2964805,213256660
2013-07,221259746,112364384,5173930,338798060
2013-08,96901389,127057534,3136671,227095594
2013-09,1752201,125835616,2409477,129997295
2013-10,188,123745205,2409529,126154922
2013-11,174,113424658,2409714,115834545
2013-12,179,111005479,2409456,113415115
2014-01,80,104465753,2409451,106875284
2014-02,73,88526027,2409451,90935550
2014-03,80,92235616,2409451,94645147
2014-04,78,109150685,2409451,111560213
2014-05,80,70153425,2409451,72562956
2014-06,94781281,91397260,3215906,189394447
2014-07,262954353,98265753,6324575,367544682
2014-08,166073794,96397260,3842564,266313619
2014-09,861143,93452055,2409455,96722653
2014-10,444519,97246575,2409476,100100570
2014-11,79,92958904,2409455,95368438
2014-12,82,94953425,2409455,97362961
2015-01,45,84591781,2409451,87001276
2015-02,41,83923288,2409451,86332779
2015-03,46,84124658,2409451,86534154
2015-04,44,85034442,2409451,87443936
2015-05,104677,92957534,2409451,95471662
2015-06,106786887,93027011,3294534,203108432
2015-07,382217636,97671233,7732328,487621197
2015-08,70731489,92108219,3084866,165924574
2015-09,2074391,91808219,2409451,96292060
2015-10,32,94571233,2409451,96980715
2015-11,32,91765966,2409451,94175448
2015-12,31,95463014,2409451,97872495
2016-01,0,97713699,2409456,100123155
2016-02,0,88732374,2409456,91141829
2016-03,0,91004110,2409456,93413566
2016-04,0,85365019,2409456,87774475
2016-05,0,86800000,2409456,89209456
2016-06,67051614,89705411,2990311,159747336
2016-07,306885679,98308219,6923104,412117002
2016-08,186384057,95335616,4264001,285983675
2016-09,546186,89219178,2409457,92174822
2016-10,82,94868493,2409456,97278031
2016-11,78,87205479,2409465,89615023
2016-12,81,87479452,2409456,89888989
2017-01,44,88141918,2409723,90551685
2017-02,40,81698630,2409454,84108124
2017-03,44,88795890,2409454,91205389
2017-04,43,86247305,2409454,88656801
2017-05,45,89432877,2409454,91842375
2017-06,51019545,80589041,2784036,134392622
2017-07,222799113,97954338,4906778,325660229
2017-08,151665421,99539726,3585893,254791040
2017-09,2111666,92712329,2410494,97234489
2017-10,207,86417808,2409453,88827469
2017-11,36,82150685,2409453,84560174
2017-12,37,89708904,2409453,92118394
2018-01,92,89042192,2409451,91451735
2018-02,83,81602740,2409451,84012274
2018-03,92,84676712,2409451,87086255
2018-04,89,84821918,2409451,87231458
2018-05,61675,86630137,2409451,89101262
2018-06,60006086,81452055,2671458,144129598
2018-07,95883438,86092237,3218992,185194667
2018-08,149728786,93955479,4324448,248008714
2018-09,1031903,85506849,2421528,88960280
2018-10,230,84995205,2409451,87404886
2018-11,140,80821918,2409451,83231508
2018-12,31,80005479,2409451,82414961
2019-01,88,85143836,2409452,87553376
2019-02,79,75753425,2409452,78162956
2019-03,88,77485845,2409452,79895385
2019-04,306779,75835616,2410197,78552593
2019-05,23856533,83020548,2499470,109376551
2019-06,159942596,84657534,3370765,247970896
2019-07,422752015,79750685,7495055,509997755
2019-08,202780077,79269406,4348006,286397489
2019-09,15692842,76890411,2459562,95042815
2019-10,4980,81137900,2409962,83552841
2019-11,62,76109589,2409454,78519104
2019-12,60,79439269,2409454,81848783
2020-01,296,80118721,2409451,82528468
2020-02,277,78856164,2409451,81265892
2020-03,296,78901370,2409451,81311116
2020-04,286,83260274,2409451,85670010
2020-05,12710,82270320,2409451,84692480
2020-06,82049290,73109589,3047937,158206816
2020-07,262660834,79297717,5862605,347821156
2020-08,126744553,80812329,3465914,211022796
2020-09,449969,77150685,2410334,80010988
2020-10,1461685,89772603,2411925,93646212
2020-11,48,75753425,2409451,78162923
2020-12,48,80260274,2409451,82669772
