# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Nordenskiold Glescher Nw, Mouginot region: NW, Mankoff discharge gate (2021): 78, closest NSIDC/MEASUREs ID: 50, distance to closest NSIDC/MEASUREs ID: 5398m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,7701437,384101,8085538
2010-02,0,7361132,384101,7745233
2010-03,0,8578082,384101,8962183
2010-04,0,8794521,384101,9178622
2010-05,2142652,9512329,400308,12055289
2010-06,28171943,9698630,1133926,39004499
2010-07,36827764,10446575,1267797,48542136
2010-08,32987259,10106849,1210327,44304436
2010-09,1017784,10109589,401295,11528668
2010-10,0,10701370,384101,11085471
2010-11,469027,10648349,384554,11501930
2010-12,281,11319264,384121,11703667
2011-01,0,11660480,384101,12044581
2011-02,0,10844691,384101,11228792
2011-03,0,12315068,384101,12699170
2011-04,0,12246575,384101,12630676
2011-05,0,12994521,384101,13378622
2011-06,15712297,4191781,793173,20697251
2011-07,56620907,11465753,1887367,69974028
2011-08,20107346,11126027,1005843,32239217
2011-09,20218,10356164,384729,10761111
2011-10,0,10361644,384101,10745745
2011-11,0,9652008,384101,10036109
2011-12,0,9578734,384101,9962835
2012-01,0,9172603,384101,9556704
2012-02,0,8214509,384101,8598610
2012-03,0,8408219,384101,8792320
2012-04,0,7726027,384101,8110128
2012-05,1385978,7643836,401956,9431769
2012-06,27285036,6986301,1118003,35389340
2012-07,50944740,6879452,2270329,60094521
2012-08,30491969,6454795,1348907,38295671
2012-09,65851,5835616,385073,6286541
2012-10,700,5690411,384101,6075212
2012-11,0,5178082,384101,5562183
2012-12,0,7315838,384101,7699939
2013-01,0,11821404,384101,12205505
2013-02,0,14728767,384101,15112868
2013-03,0,19534247,384101,19918348
2013-04,0,22273973,384101,22658074
2013-05,0,21317808,384101,21701909
2013-06,9611616,18986301,648870,29246787
2013-07,28018547,17920548,1286077,47225171
2013-08,11287121,11210959,621820,23119899
2013-09,41055,10191781,384558,10617394
2013-10,0,9936986,384102,10321089
2013-11,0,8958904,384102,9343007
2013-12,0,8663014,384102,9047116
2014-01,0,7983562,384106,8367668
2014-02,0,6673973,384105,7058078
2014-03,0,6794521,384106,7178626
2014-04,0,9534247,384106,9918352
2014-05,0,1613699,384106,1997805
2014-06,15176357,6082192,728838,21987387
2014-07,36393748,3821918,1566922,41782587
2014-08,24308594,8578082,908868,33795545
2014-09,99853,5671233,384258,6155344
2014-10,53855,5775342,384103,6213301
2014-11,0,5506849,384103,5890953
2014-12,0,5690411,384103,6074514
2015-01,0,4373973,384101,4758074
2015-02,0,5293151,384101,5677252
2015-03,0,5902740,384101,6286841
2015-04,0,6151447,384101,6535548
2015-05,225,6752055,384101,7136381
2015-06,14445085,6508620,785386,21739091
2015-07,53978006,6667123,2410801,63055931
2015-08,9475596,6539726,667569,16682891
2015-09,54502,5506849,384225,5945576
2015-10,0,4501370,384101,4885471
2015-11,0,5198291,384101,5582392
2015-12,0,6200000,384101,6584101
2016-01,0,4968493,384102,5352595
2016-02,0,4778169,384102,5162271
2016-03,0,5265753,384102,5649855
2016-04,0,5136395,384102,5520496
2016-05,0,5350685,384102,5734787
2016-06,10474540,5328737,581410,16384687
2016-07,45986413,5775342,1790627,53552382
2016-08,28446588,6284932,1025415,35756934
2016-09,7077,5178082,384173,5569333
2016-10,0,5486575,384102,5870678
2016-11,0,5054795,384101,5438896
2016-12,0,5605479,384101,5989581
2017-01,0,5435616,384104,5819720
2017-02,0,5005479,384103,5389583
2017-03,0,5605479,384104,5989583
2017-04,0,5382310,384104,5766413
2017-05,0,5492237,384104,5876341
2017-06,5886559,5260274,525077,11671909
2017-07,33060047,5633790,1193097,39886933
2017-08,22392246,5860274,809169,29061689
2017-09,121267,5424658,385128,5931053
2017-10,15,5350685,384104,5734804
2017-11,0,5424658,384104,5808761
2017-12,0,5520548,384102,5904650
2018-01,0,5316712,384101,5700813
2018-02,0,5197260,384101,5581361
2018-03,0,5588493,384101,5972594
2018-04,0,5383562,384101,5767663
2018-05,147,5231781,384101,5616029
2018-06,8971120,4849315,541454,14361888
2018-07,14677079,5095890,720582,20493551
2018-08,22536898,4713699,1006185,28256782
2018-09,365879,4931507,389414,5686800
2018-10,0,5350685,384101,5734786
2018-11,0,5397260,384101,5781361
2018-12,0,4947260,384101,5331361
2019-01,0,5308219,384101,5692320
2019-02,0,5101370,384101,5485471
2019-03,0,5492237,384101,5876338
2019-04,209657,4958904,384596,5553157
2019-05,4785398,5605479,438746,10829623
2019-06,23765461,5315068,877645,29958175
2019-07,62522033,5435616,2081017,70038667
2019-08,30395971,5265753,1234788,36896512
2019-09,2257310,4726027,418042,7401380
2019-10,394,5803653,384102,6188149
2019-11,0,5136986,384102,5521088
2019-12,0,5378995,384102,5763097
2020-01,0,5237443,384103,5621546
2020-02,0,5243836,384103,5627938
2020-03,0,5322374,384103,5706477
2020-04,0,4684932,384103,5069034
2020-05,0,5350685,384102,5734786
2020-06,10921358,5465753,651587,17038698
2020-07,36190885,5945205,1456335,43592426
2020-08,17874568,6284932,801899,24961399
2020-09,48909,5424658,385219,5858785
2020-10,276519,5732877,385954,6395350
2020-11,0,4767123,384104,5151227
2020-12,0,5393151,384104,5777254
