# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Sverdrup Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 90, closest NSIDC/MEASUREs ID: 46, distance to closest NSIDC/MEASUREs ID: 13834m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,7329081,3371380,10700462
2010-02,0,6490768,3371380,9862149
2010-03,0,7049315,3371380,10420695
2010-04,0,6657534,3371380,10028915
2010-05,2657668,7389041,3383817,13430526
2010-06,42595667,8712329,4545664,55853660
2010-07,53197477,8323288,5272292,66793057
2010-08,50016705,8068493,5121576,63206774
2010-09,1297416,7726027,3388763,12412207
2010-10,0,7983562,3371380,11354942
2010-11,422785,7709903,3371380,11504068
2010-12,937,7924779,3371380,11297097
2011-01,0,7863329,3373059,11236388
2011-02,0,7038605,3371405,10410010
2011-03,0,7728767,3371409,11100176
2011-04,0,7397260,3371408,10768668
2011-05,0,7304110,3371480,10675590
2011-06,29521063,8136986,4052628,41710677
2011-07,91417105,7473973,7288232,106179309
2011-08,32005621,9427397,4709092,46142110
2011-09,227377,8876712,3372559,12476647
2011-10,0,8917808,3371445,12289253
2011-11,0,8356326,3371456,11727782
2011-12,0,8352175,3371444,11723619
2012-01,0,8068493,3371380,11439873
2012-02,0,7298308,3371380,10669687
2012-03,0,7558904,3371380,10930284
2012-04,0,7068493,3371402,10439895
2012-05,2712134,5775342,3387170,11874647
2012-06,46505490,9452055,4538021,60495566
2012-07,78395385,7898630,9217419,95511434
2012-08,48604141,8238356,5754650,62597147
2012-09,224191,5506849,3371406,9102447
2012-10,65644,6539726,3371380,9976750
2012-11,0,7068493,3371380,10439873
2012-12,0,7189249,3371380,10560629
2013-01,0,6917315,3371413,10288727
2013-02,0,5983562,3371410,9354971
2013-03,0,6369863,3371413,9741276
2013-04,0,6000000,3371412,9371412
2013-05,0,7219178,3371413,10590591
2013-06,18588770,8054795,3829496,30473060
2013-07,46198505,5265753,5023583,56487841
2013-08,18204108,7473973,3835133,29513214
2013-09,706585,8876712,3371415,12954712
2013-10,0,8917808,3371416,12289224
2013-11,0,8301370,3371415,11672784
2013-12,0,8238356,3371423,11609779
2014-01,0,7983562,3371416,11354978
2014-02,0,6904110,3371412,10275522
2014-03,0,7389041,3371416,10760457
2014-04,0,6082192,3371415,9453607
2014-05,0,6369863,3371416,9741279
2014-06,25822128,5424658,3827130,35073915
2014-07,50998346,7219178,6836518,65054042
2014-08,34758840,7134247,4128193,46021279
2014-09,102413,7027397,3371384,10501195
2014-10,270680,7473973,3371381,11116034
2014-11,0,6986301,3371381,10357683
2014-12,0,7049315,3371381,10420697
2015-01,0,6836986,3371381,10208368
2015-02,0,6252055,3371381,9623436
2015-03,0,5945205,3371381,9316587
2015-04,0,5779292,3371381,9150673
2015-05,67678,6030137,3371381,9469197
2015-06,28701766,5940236,3929611,38571612
2015-07,81517733,6327397,9014246,96859376
2015-08,17054144,6794521,3703307,27551972
2015-09,813731,6410959,3371380,10596070
2015-10,0,5817808,3371380,9189188
2015-11,0,5598046,3371380,8969425
2015-12,0,5775342,3371380,9146722
2016-01,0,6964384,3371380,10335764
2016-02,0,6131717,3371380,9503098
2016-03,0,6115068,3371380,9486449
2016-04,248,5799765,3371381,9171394
2016-05,125736,5945205,3371380,9442321
2016-06,17191713,6153435,3659355,27004503
2016-07,68994670,6752055,7569647,83316372
2016-08,40496793,6752055,4456549,51705397
2016-09,137532,5876712,3371387,9385631
2016-10,0,5571507,3371380,8942886
2016-11,0,5219178,3371380,8590558
2016-12,0,5588493,3371380,8959873
2017-01,0,5588493,3371380,8959873
2017-02,0,5120548,3371380,8491928
2017-03,0,5286986,3371380,8658366
2017-04,0,5133983,3371380,8505362
2017-05,0,5322374,3371380,8693754
2017-06,11698501,4931507,3613899,20243907
2017-07,55230633,5407306,4594029,65231968
2017-08,33731819,6200000,4282547,44214367
2017-09,428493,5917808,3371898,9718199
2017-10,706,5308219,3371383,8680308
2017-11,0,5794521,3371380,9165900
2017-12,0,5414384,3371380,8785763
2018-01,0,5605479,3371380,8976859
2018-02,0,5273973,3371380,8645352
2018-03,0,5486575,3371380,8857955
2018-04,0,5136986,3371380,8508366
2018-05,17509,5282740,3371380,8671628
2018-06,20366329,4561644,3653161,28581134
2018-07,26339344,4841096,3866913,35047353
2018-08,33763007,5053425,4364524,43180956
2018-09,610194,4849315,3373268,8832776
2018-10,0,5350685,3371380,8722065
2018-11,0,4849315,3371380,8220695
2018-12,0,4904795,3371380,8276174
2019-01,0,5223288,3371380,8594667
2019-02,0,4679452,3371380,8050832
2019-03,0,5209132,3371380,8580512
2019-04,226748,4849315,3371504,8447566
2019-05,9058911,4458904,3413969,16931785
2019-06,40213296,4821918,4128167,49163381
2019-07,94534738,4289041,7752690,106576469
2019-08,43107254,4359817,5330601,52797673
2019-09,4323987,4273973,3395493,11993452
2019-10,13294,4699543,3371380,8084217
2019-11,0,4602740,3371380,7974119
2019-12,0,4812785,3371380,8184165
2020-01,0,4671233,3371380,8042612
2020-02,0,4290411,3371380,7661791
2020-03,0,4614612,3371380,7985991
2020-04,0,4479452,3371380,7850832
2020-05,12821,4161644,3371380,7545845
2020-06,20628903,4068493,3827836,28525232
2020-07,59233851,3680365,5679056,68593272
2020-08,28724656,4246575,4364713,37335944
2020-09,94304,4273973,3372489,7740765
2020-10,248818,4671233,3371575,8291626
2020-11,0,4109589,3371380,7480969
2020-12,0,4373973,3371380,7745352
