# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Noname Ikertivaq N, Mouginot region: SE, Mankoff discharge gate (2021): 237, closest NSIDC/MEASUREs ID: 176, distance to closest NSIDC/MEASUREs ID: 18786m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,6959,78060047,1577374,79644379
2010-02,67210,66773169,1577434,68417813
2010-03,6972,70663014,1577234,72247220
2010-04,6744,65342466,1577137,66926347
2010-05,25138833,84082192,2316752,111537776
2010-06,166889396,97808219,4460137,269157752
2010-07,303321251,100813699,8640080,412775029
2010-08,239027298,100134247,7830092,346991637
2010-09,226845168,96246575,6609541,329701285
2010-10,26899474,98860274,1935313,127695061
2010-11,76458,95050189,1577124,96703771
2010-12,191571,97582537,1577125,99351233
2011-01,7248,96914865,1582336,98504449
2011-02,32003,86927881,1601695,88561579
2011-03,87413,95632877,1581543,97301832
2011-04,25321,91890411,1596730,93512462
2011-05,148656,94273973,1577319,95999947
2011-06,58832504,90657534,2924780,152414818
2011-07,347142075,94358904,8965070,450466050
2011-08,144065034,71682192,5173722,220920948
2011-09,25980521,85397260,2093519,113471301
2011-10,84,96652055,1577384,98229523
2011-11,782541,91490276,1577475,93850292
2011-12,26502,90072061,1577737,91676300
2012-01,7425,85441096,1577154,87025675
2012-02,68726,76350966,1577112,77996804
2012-03,35927,78052055,1577113,79665095
2012-04,8345,71917808,1577131,73503284
2012-05,3120289,76947945,1577105,81645340
2012-06,189678113,77178082,4923291,271779487
2012-07,401960669,87224658,10920985,500106312
2012-08,244719056,80939726,7351020,333009802
2012-09,8654174,90904110,1698153,101256437
2012-10,117254,90961644,1584192,92663090
2012-11,15657,85479452,1577235,87072343
2012-12,0,85314091,1577102,86891194
2013-01,787,81930403,1577102,83508292
2013-02,674,71035616,1577102,72613392
2013-03,7977,75928767,1577102,77513846
2013-04,1310,73315068,1577102,74893481
2013-05,401460,76183562,1577102,78162124
2013-06,85138730,80054795,3496436,168689960
2013-07,237562613,89008219,4722705,331293538
2013-08,119341094,81109589,3823964,204274647
2013-09,7515394,69452055,1617098,78584546
2013-10,6953133,83487671,1700408,92141211
2013-11,12150,89178082,1577102,90767334
2013-12,25,91046575,1577102,92623702
2014-01,18207,89942466,1577558,91538231
2014-02,1404,80241096,1577112,81819611
2014-03,1614,88328767,1587853,89918234
2014-04,98644,83013699,1577102,84689445
2014-05,8065109,71257534,1577102,80899745
2014-06,107938759,80547945,3802334,192289038
2014-07,218956867,87479452,5606045,312042364
2014-08,250998711,84591781,6864512,342455004
2014-09,34845907,80671233,2094816,117611955
2014-10,10697,83063014,1577148,84650859
2014-11,187932,80794521,1577302,82559754
2014-12,15168,79708219,1577120,81300507
2015-01,972,75801370,1577381,77379723
2015-02,0,65972603,1578049,67550652
2015-03,0,82426027,1577199,84003227
2015-04,0,72777468,1577324,74354793
2015-05,159848,68327397,1577463,70064708
2015-06,53415474,71870805,2880417,128166696
2015-07,214711658,79920548,4811787,299443992
2015-08,128771651,79198630,3309314,211279595
2015-09,78726144,70191781,3096876,152014801
2015-10,285424,79410959,1577102,81273485
2015-11,27587,73501860,1577102,75106549
2015-12,15351,72658904,1577102,74251357
2016-01,1959,75291781,1577143,76870883
2016-02,3518,68807494,1577140,70388153
2016-03,3956,71979452,1577143,73560551
2016-04,811069,71656075,1579304,74046448
2016-05,11288920,76650685,1819013,89758618
2016-06,167750841,75369389,4669867,247790096
2016-07,307704537,78434247,10066223,396205007
2016-08,197011642,78306849,6004788,281323280
2016-09,17786673,68671233,2037391,88495297
2016-10,13384783,69728767,1643284,84756834
2016-11,137886,64397260,1585177,66120323
2016-12,313570,69541918,1585251,71440739
2017-01,2390,65567123,1578048,67147561
2017-02,231,64169863,1592388,65762482
2017-03,83,68284932,1597588,69882602
2017-04,24,67856037,1577131,69433192
2017-05,38713871,72389954,2497518,113601343
2017-06,118424585,70808219,3970051,193202855
2017-07,258873951,80515068,6628919,346017939
2017-08,141951921,78264384,4431271,224647575
2017-09,47405248,71013699,2817070,121236016
2017-10,571807,77839726,1577104,79988636
2017-11,128265,67232877,1577102,68938243
2017-12,12212,71788356,1577102,73377670
2018-01,80018,68998356,1630073,70708448
2018-02,397439,61926027,1577592,63901058
2018-03,3264,69321096,1577102,70901462
2018-04,78,60863014,1577102,62440194
2018-05,779030,69966575,1577102,72322708
2018-06,57017188,69452055,3099973,129569215
2018-07,228708864,75277626,5373202,309359692
2018-08,175639779,73508219,4447514,253595512
2018-09,32928141,66109589,2279645,101317375
2018-10,252782,69473973,1577157,71303912
2018-11,156004,64739726,1577732,66473462
2018-12,161102,69750000,1577425,71488527
2019-01,41772,70280822,1625861,71948455
2019-02,4448,62750685,1577102,64332235
2019-03,5512,68171689,1601195,69778396
2019-04,3641374,64630137,1578066,69849577
2019-05,43725002,71300000,2473304,117498306
2019-06,167688986,75315068,4666838,247670893
2019-07,401644681,77245205,11233127,490123013
2019-08,166320581,73777169,5587193,245684942
2019-09,41915841,69246575,2405860,113568277
2019-10,7662785,66416438,1586769,75665992
2019-11,383422,67684932,1577102,69645456
2019-12,211637,70549772,1577102,72338510
2020-01,90214,68030137,1577102,69697453
2020-02,27797,66223288,1577102,67828187
2020-03,35318,68001826,1577102,69614246
2020-04,415870,69205479,1577102,71198451
2020-05,10605746,70634703,1577102,82817551
2020-06,114779602,71506849,3781435,190067886
2020-07,238345455,75249315,6223607,319818377
2020-08,174050717,72828767,5611502,252490987
2020-09,7727052,71260274,1806708,80794035
2020-10,2280101,69856164,1577128,73713393
2020-11,197647,66493151,1577102,68267899
2020-12,21585,68497260,1577102,70095947
