# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Ikertivaq Nn, Mouginot region: SE, Mankoff discharge gate (2021): 238, closest NSIDC/MEASUREs ID: 176, distance to closest NSIDC/MEASUREs ID: 4000m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,442665,688176705,14154968,702774338
2010-02,2307997,621369435,14154968,637832400
2010-03,19087,687860274,14154968,702034328
2010-04,18456,665671233,14154968,679844657
2010-05,66539133,706205479,14616228,787360841
2010-06,377951563,765452055,19593317,1162996934
2010-07,678838501,763024658,28077413,1469940571
2010-08,584639589,761665753,26824953,1373130295
2010-09,509162794,735780822,23841687,1268785303
2010-10,73733884,758947945,14562998,847244826
2010-11,324166,732879031,14155222,747358420
2010-12,2318053,755503162,14155618,771976833
2011-01,108519,753760934,14155767,768025219
2011-02,180703,679675977,14155764,694012445
2011-03,51475,752068493,14155121,766275089
2011-04,71227,731589041,14155606,745815875
2011-05,6228142,759712329,14154979,780095450
2011-06,154010837,738739726,15539562,908290126
2011-07,638691335,734063014,26122003,1398876352
2011-08,298990339,695164384,18580122,1012734845
2011-09,74652182,688273973,14632279,777558434
2011-10,251625,741367123,14155084,755773832
2011-11,10467206,713167028,14171338,737805572
2011-12,84332,727604403,14155084,741843819
2012-01,215642,718010959,14155410,732382011
2012-02,61568,664459700,14155193,678676461
2012-03,213244,703063014,14154968,717431225
2012-04,362696,672821918,14189196,687373810
2012-05,16319430,693805479,14179881,724304790
2012-06,454047570,694273973,22000927,1170322469
2012-07,975221751,680046575,37331108,1692599434
2012-08,600648452,722087671,28226467,1350962590
2012-09,31039606,673972603,14294076,719306285
2012-10,1722137,684547945,14166064,700436146
2012-11,529887,652438356,14155146,667123390
2012-12,122876,677452421,14155067,691730364
2013-01,27268,684914610,14154968,699096846
2013-02,26192,625282192,14154968,639463351
2013-03,147047,697457534,14154968,711759549
2013-04,303494,621863014,14154968,636321476
2013-05,9919802,641487671,14154968,665562441
2013-06,195394287,663369863,16453984,875218134
2013-07,507350243,664928767,23415048,1195694058
2013-08,248483723,689558904,18388832,956431459
2013-09,25029418,685479452,14252784,724761654
2013-10,20213268,674950685,14310928,709474881
2013-11,606,634191781,14154968,648347355
2013-12,546,655756164,14154968,669911678
2014-01,46484,656265753,14312367,670624604
2014-02,42056,593446575,14154968,607643600
2014-03,46487,657709589,14154968,671911044
2014-04,6135431,657698630,14154968,677989030
2014-05,40466750,655076712,14186922,709730384
2014-06,252352208,658849315,16425966,927627490
2014-07,459610015,695504110,22628071,1177742196
2014-08,542285308,689983562,23511024,1255779893
