# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Ikertivaq M, Mouginot region: SE, Mankoff discharge gate (2021): 239, closest NSIDC/MEASUREs ID: 180, distance to closest NSIDC/MEASUREs ID: 5395m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,176777,1120742302,24535179,1145454258
2010-02,598699,1048009632,24535179,1073143511
2010-03,59536,1195665753,24535179,1220260468
2010-04,57540,1194657534,24535179,1219250253
2010-05,32046665,958536986,25111089,1015694740
2010-06,308002403,1018849315,28198716,1355050434
2010-07,611360912,1169336986,38549250,1819247147
2010-08,609084506,1160928767,41406232,1811419504
2010-09,755484186,1115342466,44478823,1915305475
2010-10,91053632,1144367123,25807538,1261228293
2010-11,50589,1099153051,24563727,1123767366
2010-12,272073,1127346554,24537848,1152156475
2011-01,83576,1118712516,24536018,1143332111
2011-02,480388,1002959600,24535193,1027975181
2011-03,1073852,1103430137,24535194,1129039184
2011-04,1273643,1061178082,24535194,1086986919
2011-05,1348067,1020706849,24547459,1046602375
2011-06,85327446,1084520548,26081322,1195929316
2011-07,835390323,1026821918,44006236,1906218476
2011-08,293819035,1048309589,31553706,1373682330
2011-09,65724773,1036438356,25441476,1127604606
2011-10,235578,1099098630,24610931,1123945139
2011-11,3066992,1060620117,24574660,1088261769
2011-12,795883,1089387975,24613874,1114797732
2012-01,336112,1082621918,24544876,1107502906
2012-02,136607,1007673260,24535805,1032345672
2012-03,130528,1072090411,24545025,1096765965
2012-04,277571,1032246575,24542842,1057066988
2012-05,3902437,881758904,24582279,910243620
2012-06,368452047,917671233,31911495,1318034775
2012-07,1045156617,892120548,53087893,1990365058
2012-08,625708650,1052471233,40957326,1719137209
2012-09,18411435,1202547945,24751966,1245711347
2012-10,632058,1147679452,24543983,1172855493
2012-11,135179,1031095890,24535180,1055766249
2012-12,629217,1066242956,24535180,1091407352
2013-01,334488,1068024526,24541305,1092900320
2013-02,975778,966268493,24535306,991779577
2013-03,5343,1071071233,24535179,1095611755
2013-04,1807,1043589041,24545889,1068136737
2013-05,1598033,1182841096,24535498,1208974626
2013-06,135907033,1158246575,26150170,1320303778
2013-07,434372147,1086189041,37090301,1557651489
2013-08,220709136,1167468493,30297428,1418475057
2013-09,15862057,1154630137,24741363,1195233557
2013-10,17671582,906304110,24788989,948764680
2013-11,63230,903452055,24535751,928051036
2013-12,32381,958961644,24620422,983614447
2014-01,20,985290411,24538292,1009828723
2014-02,423518,913720548,24535179,938679245
2014-03,6870,1035400000,24535179,1059942049
2014-04,631818,973808219,24535179,998975217
2014-05,14710419,1011534247,24595592,1050840258
2014-06,190575088,976684932,26551028,1193811048
2014-07,391076257,1139016438,34155142,1564247837
2014-08,527091273,1027586301,37451353,1592128928
2014-09,97542109,1006027397,25651806,1129221313
2014-10,614925,1020876712,24535928,1046027565
2014-11,823525,1035287671,24541196,1060652392
2014-12,24599,1051749315,24535650,1076309563
2015-01,960,1033404110,24535730,1057940800
2015-02,110,912876712,24535676,937412498
2015-03,1207832,1047120548,24535730,1072864110
2015-04,810420,994909783,24535745,1020255948
2015-05,920698,1008391781,24538240,1033850719
2015-06,85012297,974291668,25636749,1084940713
2015-07,319814743,1004994521,33108697,1357917961
2015-08,218821992,982317808,30708867,1231848667
2015-09,198973207,962547945,29218835,1190739987
2015-10,2094034,1003083562,24566044,1029743639
2015-11,1568794,984462116,24539195,1010570105
2015-12,235166,1026142466,24551624,1050929256
2016-01,14678,1013954795,24535426,1038504899
2016-02,252,937371776,24535327,961907354
2016-03,1709232,989791781,24554217,1016055230
2016-04,1601335,937516136,24601407,963718878
2016-05,31220033,955606849,24823037,1011649919
2016-06,300096834,949176424,31871376,1281144634
2016-07,635992930,1016884932,40053744,1692931606
2016-08,469360066,1038117808,34345690,1541823564
2016-09,40195968,948246575,25068008,1013510551
2016-10,28368656,1005283288,24752863,1058404807
