# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Noname Ikertivaq S, Mouginot region: SE, Mankoff discharge gate (2021): 240, closest NSIDC/MEASUREs ID: 218, distance to closest NSIDC/MEASUREs ID: 3223m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,65253,849315,126449,1041016
2010-02,200245,767123,126449,1093817
2010-03,2214,849315,126449,977978
2010-04,1960,821918,126449,950327
2010-05,13109447,849315,251702,14210464
2010-06,104263198,821918,673045,105758161
2010-07,180918269,849315,1457163,183224747
2010-08,152683185,849315,1506432,155038932
2010-09,197324374,821918,1668258,199814550
2010-10,28047429,849315,433076,29329820
2010-11,25375,821918,128960,976252
2010-12,26033,849315,126978,1002326
2011-01,1726,849315,126973,978015
2011-02,2702,767123,126486,896312
2011-03,3759,849315,126490,979565
2011-04,18400,821918,126489,966807
2011-05,394195,849315,126490,1370001
2011-06,31895051,821918,515478,33232447
2011-07,222805529,849315,2000646,225655490
2011-08,87950774,849315,927006,89727095
2011-09,25916202,821918,413877,27151997
2011-10,27277,849315,126509,1003100
2011-11,2103778,821918,147930,3073626
2011-12,2663,849315,126478,978456
2012-01,153457,849315,126453,1129225
2012-02,446772,794521,126452,1367745
2012-03,2977,849315,126453,978744
2012-04,36225,821918,126615,984758
2012-05,3681810,849315,136870,4667995
2012-06,80920335,821918,835958,82578211
2012-07,178979383,849315,1671387,181500085
2012-08,142363199,849315,1394278,144606792
2012-09,10853276,821918,262567,11937760
2012-10,528423,849315,136601,1514339
2012-11,205002,821918,126449,1153369
2012-12,70767,849315,126449,1046530
2013-01,1381,849315,126449,977144
2013-02,4568,767123,126449,898140
2013-03,3471,849315,126449,979235
2013-04,1566,821918,126449,949933
2013-05,398613,849315,126449,1374376
2013-06,37137684,821918,520869,38480472
2013-07,129527710,849315,1504505,131881530
2013-08,67833280,849315,899321,69581916
2013-09,5970737,821918,211972,7004627
2013-10,4601453,849315,173700,5624468
2013-11,208451,821918,126551,1156919
2013-12,276520,849315,127411,1253246
2014-01,52,849315,126455,975822
2014-02,47,767123,126449,893619
2014-03,55,849315,126449,975819
2014-04,123571,821918,126449,1071938
2014-05,7620677,849315,194677,8664669
2014-06,59384076,739726,599943,60723745
2014-07,133424131,764384,1298058,135486573
2014-08,169990404,764384,1790543,172545331
2014-09,41279965,739726,406702,42426393
2014-10,17415,764384,126882,908680
2014-11,107910,739726,126747,974383
2014-12,20206,764384,126449,911039
2015-01,47,764384,126458,890889
2015-02,65,690411,126458,816933
2015-03,2,764384,126458,890844
2015-04,0,739726,126458,866185
2015-05,172652,764384,126458,1063494
2015-06,23968264,739726,369895,25077885
2015-07,70744712,764384,732544,72241640
2015-08,57653296,849315,932097,59434708
2015-09,68042731,739726,889551,69672007
2015-10,1116236,764384,127657,2008276
2015-11,255761,571301,127681,954743
2015-12,46288,424658,129701,600647
2016-01,4594,424658,127988,557239
2016-02,314,491895,126449,618658
2016-03,3778,679452,130172,813401
2016-04,1960934,798754,139881,2899569
2016-05,9941337,934247,229914,11105498
2016-06,80928579,961370,1171569,83061518
2016-07,177283989,1019178,1619907,179923075
2016-08,151607222,934247,1383603,153925072
2016-09,15683665,780822,296283,16760771
2016-10,14547325,662466,293627,15503418
2016-11,236825,657534,126449,1020808
2016-12,390796,492603,126933,1010332
2017-01,69666,951233,126512,1147411
2017-02,9235,575342,127712,712289
2017-03,7728,530822,128358,666908
2017-04,6168,755810,126749,888727
2017-05,20557686,1019178,299512,21876377
2017-06,56740125,945205,857351,58542682
2017-07,146422689,849315,1079613,148351617
2017-08,94911033,849315,1021311,96781659
2017-09,26718418,739726,495682,27953826
2017-10,1177748,764384,126559,2068690
2017-11,263871,575342,126449,965662
2017-12,9657,721918,126449,858024
2018-01,165521,764384,126864,1056769
2018-02,58905,767123,130314,956342
2018-03,136374,883288,126892,1146554
2018-04,447237,863014,126501,1436752
2018-05,923880,730411,127273,1781564
2018-06,28533044,657534,373996,29564574
2018-07,135126661,707763,821518,136655941
2018-08,115592082,721918,958803,117272803
2018-09,39042914,767123,486953,40296990
2018-10,79903,764384,129783,974070
2018-11,726859,849315,135692,1711866
2018-12,13226,721918,128877,864020
2019-01,126549,679452,126449,932449
2019-02,170443,575342,126449,872234
2019-03,389204,679452,126449,1195105
2019-04,2369634,657534,153133,3180301
2019-05,21548262,679452,340062,22567776
2019-06,79071612,657534,728256,80457403
2019-07,204947658,806849,1634591,207389098
2019-08,90429065,849315,988620,92267000
2019-09,46899234,904110,565461,48368805
2019-10,9206003,792694,218408,10217105
2019-11,102949,739726,128661,971335
2019-12,359309,792694,127979,1279982
2020-01,18397,736073,127755,882225
2020-02,7418,635616,131670,774705
2020-03,2063,764384,127879,894325
2020-04,313604,739726,127961,1181291
2020-05,9716094,764384,231505,10711982
2020-06,57282977,698630,745400,58727007
2020-07,116258550,679452,1540992,118478994
2020-08,115214871,934247,1268013,117417130
2020-09,7178616,767123,217309,8163048
2020-10,3377959,679452,153275,4210686
2020-11,2497,712329,127329,842155
2020-12,53247,594521,127202,774970
