# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Koge Bugt N, Mouginot region: SE, Mankoff discharge gate (2021): 244, closest NSIDC/MEASUREs ID: 181, distance to closest NSIDC/MEASUREs ID: 3431m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,57108,368096658,7397221,375550986
2010-02,273410,331606708,7397204,339277322
2010-03,25163,366394521,7397221,373816904
2010-04,18565,353917808,7397215,361333588
2010-05,33776318,356627397,7397226,397800941
2010-06,217625811,346684932,9758170,574068913
2010-07,468653468,416334247,14860151,899847865
2010-08,429652506,415569863,14916090,860138459
2010-09,353135688,401342466,13900372,768378525
2010-10,37721547,413956164,7618340,459296051
2010-11,92135,399955112,7414182,407461429
2010-12,148567,412755186,7401133,420304886
2011-01,83542,412134002,7398582,419616126
2011-02,160243,371447448,7397472,379005163
2011-03,134046,410049315,7397517,417580878
2011-04,24580,392712329,7397502,400134411
2011-05,992970,401641096,7397517,410031583
2011-06,100794195,405945205,8461226,515200627
2011-07,566542223,350682192,14705793,931930208
2011-08,224668470,361638356,9974399,596281225
2011-09,36712598,360986301,7429023,405127922
2011-10,641199,381936986,7400933,389979118
2011-11,670113,371554758,7413878,379638749
2011-12,116203,384993709,7514615,392624527
2012-01,813097,386098630,7397589,394309316
2012-02,1408468,362539516,7397554,371345537
2012-03,95889,388901370,7410643,396407902
2012-04,141325,377753425,7452284,385347034
2012-05,8880939,348304110,7397056,364582104
2012-06,317466524,295890411,11528413,624885348
2012-07,702698581,385419178,18692070,1106809829
2012-08,446007075,416164384,13602447,875773905
2012-09,13468321,424438356,7397429,445304106
2012-10,381372,432980822,7398046,440760240
2012-11,339734,414328767,7397219,422065721
2012-12,555122,422614532,7397225,430566880
2013-01,364903,416407246,7397387,424169537
2013-02,53930,370597260,7397113,378048304
2013-03,366118,405123288,7397121,412886526
2013-04,41042,323013699,7397118,330451859
2013-05,529192,357136986,7399325,365065503
2013-06,103314995,328849315,7709377,439873687
2013-07,315403195,322994521,13164337,651562053
2013-08,177426288,375991781,9689348,563107416
2013-09,11204270,393698630,7430460,412333360
2013-10,4790380,335309589,7397682,347497651
2013-11,186485,345205479,7397134,352789098
2013-12,250249,365460274,7397339,373107862
2014-01,163888,374463014,7397060,382023962
2014-02,621582,346356164,7397046,354374792
2014-03,876153,391619178,7433432,399928764
2014-04,520515,390986301,7397054,398903870
2014-05,7743947,317983562,7397046,333124555
2014-06,148741443,314219178,8265823,471226444
2014-07,312031030,393657534,12059487,717748051
2014-08,414261024,394761644,12144835,821167503
2014-09,53095237,369246575,7873318,430215130
2014-10,5414,355863014,7398000,363266428
2014-11,3332,350383562,7405450,357792343
2014-12,3025,368178082,7397046,375578153
2015-01,59411,374378082,7397081,381834575
2015-02,54243,329479452,7397078,336930773
2015-03,682324,357136986,7397081,365216392
2015-04,17649,339385061,7397080,346799790
2015-05,454730,347582192,7397083,355434004
2015-06,69208411,347317515,7397081,423923007
2015-07,272019739,369664384,12802318,654486441
2015-08,165613668,365460274,10136251,541210193
2015-09,86015567,346356164,8505820,440877551
2015-10,791999,376246575,7397436,384436011
2015-11,518380,359162092,7398046,367078518
2015-12,194194,366267123,7397081,373858399
2016-01,183201,372297260,7400439,379880899
2016-02,6580,345514383,7397046,352918009
2016-03,314217,364738356,7397046,372449619
2016-04,494966,347895691,7397046,355787703
2016-05,25048822,356415068,7397046,388860936
2016-06,249758279,358033938,10455213,618247430
2016-07,464332719,382871233,14535000,861738951
2016-08,309508642,372000000,12117008,693625650
2016-09,29031865,346808219,7431737,383271821
2016-10,30113762,358461918,7427370,396003050
2016-11,1630468,336041096,7401580,345073145
2016-12,150761,356967123,7445679,364563563
2017-01,1305389,348575890,7397184,357278464
2017-02,1517772,313753425,7399830,322671027
2017-03,1092193,338154795,7401255,346648242
2017-04,751833,327306912,7397707,335456452
2017-05,41271763,338423744,7401902,387097409
2017-06,143362413,337684932,9664602,490711947
2017-07,333167388,367357078,12581274,713105739
2017-08,230717654,374845205,10069609,615632469
2017-09,56291942,346191781,7990209,410473932
2017-10,398142,344609589,7399288,352407019
2017-11,59214,317342466,7397046,324798725
2017-12,13389,335734247,7397046,343144681
2018-01,784299,340490411,7401892,348676602
2018-02,83188,313293151,7410670,320787008
2018-03,350425,337144110,7398962,344893496
2018-04,195410,309369863,7405421,316970694
2018-05,222275,345909041,7430219,353561535
2018-06,73392628,331643836,7633074,412669538
2018-07,355343361,366819178,12996829,735159369
2018-08,274757774,357115753,11240462,643113989
2018-09,42441863,333589041,7444977,383475882
2018-10,786557,335458219,7397046,343641822
2018-11,536633,313178082,7397050,321111765
2018-12,455140,320467808,7397057,328320006
2019-01,85557,322145205,7397452,329628214
2019-02,32895,282723288,7397053,290153236
2019-03,58909,322569863,7397054,330025826
2019-04,3845361,329863014,7397096,341105471
2019-05,51301841,356967123,7397046,415666010
2019-06,220814065,348547945,9962980,579324991
2019-07,422633887,370683562,14831637,808149086
2019-08,241023749,355494977,9765759,606284485
2019-09,54736783,327164384,7480108,389381275
2019-10,16145966,324042009,7420783,347608758
2019-11,479815,323301370,7401895,331183080
2019-12,316952,343774429,7400213,351491595
2020-01,75979,337319635,7398603,344794217
2020-02,30850,316139726,7397311,323567887
2020-03,7388,329505936,7397329,336910654
2020-04,137034,330780822,7397319,338315175
