# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Koge Bugt C, Mouginot region: SE, Mankoff discharge gate (2021): 245, closest NSIDC/MEASUREs ID: 182, distance to closest NSIDC/MEASUREs ID: 3311m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,25544,1531502397,47306860,1578834801
2010-02,106927,1388449413,47306841,1435863180
2010-03,6145,1542610959,47342962,1589960067
2010-04,4213,1499178082,47306853,1546489148
2010-05,60487228,1551189041,47889712,1659565981
2010-06,318615702,1503123288,51029948,1872768938
2010-07,601909885,1587454795,58180473,2247545152
2010-08,592801149,1565542466,59165934,2217509549
2010-09,407767764,1516602740,56269653,1980640157
2010-10,48386648,1568684932,47851447,1664923027
2010-11,140849,1519671311,47311047,1567123207
2010-12,148913,1571945971,47311877,1619406761
2011-01,146018,1573652842,47306724,1621105584
2011-02,85192,1422939594,47306718,1470331504
2011-03,84138,1577008219,47306724,1624399082
2011-04,21852,1527945205,47306722,1575273780
2011-05,1704680,1580745205,47306724,1629756610
2011-06,156847776,1531561644,48948655,1737358075
2011-07,652230060,1527153425,57757691,2237141175
2011-08,273193055,1513819178,51733940,1838746173
2011-09,46087902,1447972603,47692611,1541753116
2011-10,39905,1481460274,47338168,1528838347
2011-11,1156542,1427826513,47312312,1476295367
2011-12,26853,1471619316,47306753,1518952922
2012-01,502889,1467701370,47306702,1515510961
2012-02,139393,1368695038,47306700,1416141131
2012-03,3231,1458783562,47306701,1506093494
2012-04,65,1407287671,47315952,1454603688
2012-05,25686670,1449780822,47564585,1523032078
2012-06,531560278,1398493151,57210031,1987263459
2012-07,947114767,1587879452,71252262,2606246482
2012-08,612479793,1579301370,61460044,2253241207
2012-09,17998428,1558849315,47465051,1624312794
2012-10,766825,1497257534,47346360,1545370719
2012-11,258579,1353616438,47362921,1401237938
2012-12,291963,1399139847,47378358,1446810168
2013-01,53116,1399924502,47427338,1447404957
2013-02,32512,1264832877,47331666,1312197055
2013-03,166656,1399416438,47316330,1446899424
2013-04,20412,1323780822,47316286,1371117520
2013-05,110613,1342936986,47323270,1390370870
2013-06,162984562,1233369863,49133809,1445488235
2013-07,474504621,1315079452,55150575,1844734648
2013-08,283923726,1429227397,52579976,1765731100
2013-09,19208363,1322383562,47581004,1389172928
2013-10,5633266,1436276712,47493950,1489403929
2013-11,92441,1401534247,47413179,1449039867
2013-12,451266,1459717808,47387486,1507556560
2014-01,55108,1473391781,47307059,1520753948
2014-02,189561,1345150685,47307021,1392647266
2014-03,215460,1502438356,47346988,1550000804
2014-04,38,1466465753,47306968,1513772760
2014-05,13361154,1376230137,47306728,1436898019
2014-06,203228607,1421671233,49353068,1674252907
2014-07,435466737,1506260274,54347754,1996074765
2014-08,572668670,1570468493,57860261,2200997425
2014-09,56964467,1448835616,48077654,1553877737
2014-10,102264,1559512329,47306728,1606921321
2014-11,12337,1494493151,47306726,1541812213
2014-12,11616,1529276712,47306728,1576595056
2015-01,350595,1513904110,47307062,1561561766
2015-02,105277,1321638356,47307023,1369050656
2015-03,100333,1448209589,47307062,1495616984
2015-04,162669,1414070701,47307052,1461540422
2015-05,1644407,1476916438,47307137,1525867982
2015-06,125240071,1435233010,48542666,1609015748
2015-07,455863722,1485706849,54733136,1996303707
2015-08,243555964,1469952055,51473828,1764981847
2015-09,104430697,1235753425,48870989,1389055110
2015-10,189983,1432667123,47335440,1480192546
2015-11,140920,1360747435,47324894,1408213249
2015-12,144058,1367184932,47307342,1414636332
2016-01,203866,1342427397,47306665,1389937928
2016-02,226150,1229304524,47310820,1276841494
2016-03,8601,1284164384,47306662,1331479647
2016-04,692332,1196241541,47332900,1244266773
2016-05,40705605,1206494521,47454455,1294654581
2016-06,355623821,1171807031,52286780,1579717632
2016-07,661162721,1215030137,62842211,1939035070
2016-08,398688710,1204668493,55589024,1658946228
2016-09,46586857,1134000000,47864264,1228451121
2016-10,32429724,1162100822,47559287,1242089833
2016-11,2410427,1119328767,47307261,1169046456
2016-12,17289,1181736986,47311056,1229065331
2017-01,383352,1208694247,47306662,1256384260
2017-02,1504756,1129665753,47306662,1178477171
2017-03,1079763,1285778082,47306662,1334164507
2017-04,809793,1281360266,47306662,1329476720
2017-05,83406082,1344352511,48214498,1475973092
2017-06,205732014,1274958904,50673430,1531364347
2017-07,406295632,1349759817,55727676,1811783125
2017-08,318877346,1374234247,52503346,1745614939
2017-09,74957555,1371123288,49132607,1495213450
2017-10,420421,1401030137,47361485,1448812043
2017-11,4813,1286013699,47318407,1333336919
2017-12,4554,1366378082,47306662,1413689298
2018-01,171003,1394218630,47307420,1441697053
2018-02,196564,1266904110,47307603,1314408276
2018-03,15863,1370369863,47306928,1417692654
2018-04,31695,1295465753,47308127,1342805575
2018-05,181494,1411748493,47311929,1459241916
2018-06,126051491,1368986301,48824078,1543861870
2018-07,490003781,1419347032,55929591,1965280405
2018-08,384958072,1429291096,54721060,1868970228
2018-09,51013858,1328986301,47816532,1427816691
