# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Koge Bugt S, Mouginot region: SE, Mankoff discharge gate (2021): 251, closest NSIDC/MEASUREs ID: 183, distance to closest NSIDC/MEASUREs ID: 2509m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,1931,716212521,4005397,720219848
2010-02,1690,656957272,4005397,660964359
2010-03,1040,731090411,4007933,735099384
2010-04,1032,633287671,4005397,637294100
2010-05,37439588,637835616,4022224,679297429
2010-06,191075125,623835616,6123434,821034176
2010-07,348723572,672742466,6710160,1028176197
2010-08,379968176,647602740,7467241,1035038156
2010-09,341355303,628273973,9728191,979357466
2010-10,49604294,641402740,4489989,695497023
2010-11,182006,612902728,4005552,617090286
2010-12,72132,625522665,4024511,629619308
2011-01,153,617459649,4005397,621465198
2011-02,40925,550437018,4005397,554483339
2011-03,39610,602164384,4005397,606209390
2011-04,22213,575013699,4005397,579041309
2011-05,2137679,586452055,4005397,592595130
2011-06,109797524,612000000,5032641,726830165
2011-07,429163017,601569863,7347214,1038080094
2011-08,198542309,609128767,6255974,813927050
2011-09,39019884,596876712,4149150,640045746
2011-10,63790,585857534,4024807,589946132
2011-11,1827970,570004947,4005397,575838314
2011-12,9212,595650307,4005397,599664916
2012-01,1582,602504110,4005397,606511088
2012-02,2093,567471844,4005397,571479334
2012-03,4,613290411,4005397,617295812
2012-04,136065,670191781,4009438,674337284
2012-05,21683824,669345205,4012841,695041871
2012-06,283442408,594821918,6442501,884706826
2012-07,547831930,583989041,14715778,1146536750
2012-08,417284928,656180822,10415821,1083881571
2012-09,21982697,579452055,4013431,605448183
2012-10,985906,669854795,4007538,674848238
2012-11,38789,594986301,4016479,599041569
2012-12,40938,617674638,4011103,621726678
2013-01,164066,624157158,4005491,628326714
2013-02,18486,569435616,4005482,573459584
2013-03,32079,634693151,4005491,638730721
2013-04,34105,610356164,4005488,614395758
2013-05,1093333,633249315,4005491,638348139
2013-06,111642975,627452055,5083266,744178295
2013-07,273664319,663060274,6601835,943326428
2013-08,170305579,623227397,5405315,798938291
2013-09,17216310,643397260,4021290,664634861
2013-10,6886401,616857534,4006773,627750708
2013-11,6373,551753425,4005488,555765286
2013-12,2933,584923288,4005491,588931712
2014-01,3697,600550685,4005397,604559778
2014-02,8609,556931507,4005397,560945512
2014-03,113,620339726,4005397,624345236
2014-04,0,604438356,4005397,608443753
2014-05,8671169,625520548,4005397,638197113
2014-06,145605148,631232877,5326209,782164233
2014-07,226642798,661446575,6391284,894480658
2014-08,327231366,689473973,6955820,1023661159
2014-09,65416657,624986301,4438031,694840990
2014-10,319932,654652055,4005397,658977383
2014-11,91615,628273973,4005397,632370984
2014-12,109479,643780822,4005397,647895697
2015-01,574532,638175342,4005397,642755271
2015-02,159117,570356164,4005397,574520678
2015-03,7009,635754795,4005397,639767200
2015-04,148706,617104161,4005397,621258264
2015-05,1072719,638430137,4005397,643508253
2015-06,80418273,617170848,4646542,702235663
2015-07,245810003,636306849,6214211,888331064
2015-08,165697323,633673973,5414349,804785644
2015-09,90980215,600575342,5069283,696624841
2015-10,132728,658686301,4005397,662824426
2015-11,88232,632118303,4005397,636211932
2015-12,15039,643823288,4005397,647843723
2016-01,170745,634438356,4005411,638614512
2016-02,390,584693689,4005410,588699489
2016-03,112,616517808,4005401,620523322
