# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Koge Bugt Ss, Mouginot region: SE, Mankoff discharge gate (2021): 254, closest NSIDC/MEASUREs ID: 184, distance to closest NSIDC/MEASUREs ID: 5454m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,17043834,190693,17234527
2010-02,0,15356336,190693,15547028
2010-03,0,16986301,190693,17176994
2010-04,0,16438356,190693,16629049
2010-05,0,16986301,190693,17176994
2010-06,0,16438356,190693,16629049
2010-07,0,16901370,1634695,18536064
2010-08,0,16901370,2222465,19123835
2010-09,0,16356164,1605902,17962067
2010-10,0,16901370,190693,17092063
2010-11,0,16338224,190693,16528917
2010-12,0,16840605,190693,17031297
2011-01,0,16789040,190693,16979733
2011-02,0,15126199,190693,15316891
2011-03,0,16731507,190693,16922200
2011-04,0,16191781,190693,16382474
2011-05,0,16731507,190693,16922200
2011-06,0,16191781,523332,16715112
2011-07,0,16731507,2773129,19504636
2011-08,0,16646575,1046274,17692850
2011-09,0,16109589,195154,16304743
2011-10,0,16646575,190693,16837268
2011-11,0,16087882,190693,16278575
2011-12,0,16584075,190693,16774767
2012-01,0,16561644,190718,16752362
2012-02,0,15493151,190716,15683867
2012-03,0,16561644,190723,16752367
2012-04,0,16027397,190693,16218090
2012-05,0,16476712,190693,16667405
2012-06,0,15945205,1336659,17281865
2012-07,0,16476712,2710127,19186839
2012-08,0,16476712,2498926,18975639
2012-09,0,15863014,195458,16058472
2012-10,0,16391781,212048,16603829
2012-11,0,15863014,190693,16053707
2012-12,0,16418370,190693,16609063
2013-01,0,16484085,190693,16674778
2013-02,0,14958904,190693,15149597
2013-03,0,16646575,190693,16837268
2013-04,0,16191781,190693,16382474
2013-05,0,16816438,190693,17007131
2013-06,0,16273973,190693,16464665
2013-07,0,16901370,1435197,18336567
2013-08,0,16986301,1002306,17988608
2013-09,0,16520548,191154,16711702
2013-10,0,17071233,190693,17261926
2013-11,0,16602740,190693,16793433
2013-12,0,17241096,190693,17431789
2014-01,0,17326027,190693,17516720
2014-02,0,15726027,190693,15916720
2014-03,0,17410959,190693,17601652
2014-04,0,16931507,190693,17122200
2014-05,0,17580822,190693,17771515
2014-06,0,17095890,190693,17286583
2014-07,0,17665753,1557062,19222815
2014-08,0,17750685,1029032,18779716
2014-09,0,17260274,379051,17639325
2014-10,0,18005479,190693,18196172
2014-11,0,17506849,203194,17710044
2014-12,0,18175342,190693,18366035
2015-01,0,18260274,190693,18450967
2015-02,0,16454795,190693,16645487
2015-03,0,17326027,190693,17516720
2015-04,0,16022703,190693,16213396
2015-05,0,15882192,190693,16072885
2015-06,0,14529618,190693,14720311
2015-07,0,14523288,1379011,15902299
2015-08,0,15839726,985251,16824977
2015-09,0,15698630,393558,16092189
2015-10,0,16646575,190693,16837268
2015-11,0,16368622,194887,16563509
2015-12,0,17156164,191117,17347282
2016-01,0,17495890,190693,17686583
2016-02,0,14677804,190693,14868497
2016-03,0,14056164,190693,14246857
2016-04,0,15034356,190693,15225049
2016-05,0,16943836,190693,17134528
2016-06,0,15780781,867671,16648452
2016-07,0,15287671,2413224,17700895
2016-08,0,14438356,208727,14647084
2016-09,0,14958904,190693,15149597
2016-10,0,14200548,190693,14391241
2016-11,0,11835616,190693,12026309
2016-12,0,13181370,190693,13372063
2017-01,0,16289863,190693,16480556
2017-02,0,15591781,190693,15782474
2017-03,0,16646575,190693,16837268
2017-04,0,16235908,190693,16426601
2017-05,0,16901370,190693,17092063
2017-06,0,14136986,418393,14555379
2017-07,0,15655708,2071818,17727526
2017-08,0,15754795,1487135,17241929
2017-09,0,16767123,395823,17162946
2017-10,0,15372603,197243,15569846
2017-11,0,17301370,190693,17492063
2017-12,0,16434247,190693,16624939
2018-01,0,14829041,190693,15019734
2018-02,0,12465753,190693,12656446
2018-03,0,16442740,190693,16633433
2018-04,0,15863014,190693,16053707
2018-05,0,15287671,190693,15478364
2018-06,0,12821918,190693,13012611
2018-07,0,11494064,1279406,12773470
2018-08,0,13291781,1538054,14829835
2018-09,0,12904110,190693,13094802
2018-10,0,12569863,190693,12760556
2018-11,0,11095890,190693,11286583
2018-12,0,13780137,190693,13970830
2019-01,0,14905479,190693,15096172
2019-02,0,12810959,190693,13001652
2019-03,0,11720548,190693,11911241
2019-04,0,13479452,190693,13670145
2019-05,0,11465753,190693,11656446
2019-06,0,10958904,640066,11598970
2019-07,0,11975342,2698215,14673557
2019-08,0,12909589,202690,13112279
2019-09,0,14465753,190693,14656446
2019-10,0,15655708,190693,15846401
2019-11,0,15821918,190693,16012611
2019-12,0,17042922,190693,17233615
2020-01,0,17212785,190693,17403478
2020-02,0,18790411,191189,18981600
2020-03,0,18203653,192041,18395694
2020-04,0,17383562,194307,17577869
2020-05,0,14098630,190695,14289325
2020-06,0,11260274,190693,11450967
2020-07,0,10899543,1560703,12460246
2020-08,0,12230137,1412405,13642542
2020-09,0,14657534,201559,14859094
2020-10,0,15924658,190917,16115574
2020-11,0,15315068,197940,15513009
2020-12,0,16349315,195551,16544866
