# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Umiivik Fjord, Mouginot region: SE, Mankoff discharge gate (2021): 264, closest NSIDC/MEASUREs ID: 186, distance to closest NSIDC/MEASUREs ID: 4563m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,14927,252403071,1348684,253766682
2010-02,47771,232042931,1340666,233431367
2010-03,12796,261079452,1340679,262432927
2010-04,72740,257260274,1340684,258673699
2010-05,39112458,252161644,1382606,292656709
2010-06,340896892,277972603,3198930,622068425
2010-07,649837360,234071233,7100756,891009349
2010-08,642127445,279000000,6961993,928089439
2010-09,492484229,275753425,4633297,772870951
2010-10,73463285,282057534,1529456,357050276
2010-11,216698,270099805,1345740,271662243
2010-12,32898,276258164,1342626,277633688
2011-01,98228,273331087,1340666,274769981
2011-02,77672,244245835,1340666,245664173
2011-03,62041,267789041,1340666,269191748
2011-04,6855,256356164,1340666,257703685
2011-05,215359,262098630,1340666,263654655
2011-06,141056357,268438356,1921700,411416414
2011-07,691539264,292164384,6008614,989712262
2011-08,366008540,293098630,3636218,662743388
2011-09,75741045,239753425,1465353,316959822
2011-10,255319,246980822,1340756,248576897
2011-11,1128011,244989175,1340783,247457969
2011-12,132168,266200723,1340666,267673556
2012-01,47683,279679452,1340666,281067801
2012-02,10890,274512651,1485281,276008823
2012-03,15176,300997260,1344528,302356964
2012-04,95787,276821918,1340666,278258371
2012-05,18450965,277556164,1344283,297351413
2012-06,378791707,286273973,4417846,669483526
2012-07,822107654,271441096,7487583,1101036332
2012-08,657557862,290805479,6093649,954456990
2012-09,51723389,290958904,1367251,344049544
2012-10,2222163,281038356,1342549,284603067
2012-11,71069,260630137,1340826,262042032
2012-12,71111,271092894,1345791,272509796
2013-01,91096,275134249,1340666,276566010
2013-02,737379,252076712,1340666,254154756
2013-03,314667,281802740,1340666,283458072
2013-04,2308,278958904,1340666,280301877
2013-05,59617,289276712,1340666,290676995
2013-06,138026695,278794521,1542373,418363589
2013-07,455536819,286898630,3797744,746233193
2013-08,288884276,303630137,1708360,594222772
2013-09,22937490,284383562,1349506,308670558
2013-10,5015790,259550685,1340666,265907141
2013-11,15131,250273973,1340666,251629769
2013-12,35375,264986301,1340666,266362342
2014-01,22231,271610959,1341136,272974326
2014-02,102968,251463014,1340666,252906647
2014-03,9834,264561644,1340787,265912265
2014-04,129,267123288,1340666,268464082
2014-05,15233327,250208219,1340666,266782211
2014-06,204781026,257671233,1925331,464377590
2014-07,490799517,267194521,4793082,762787119
2014-08,607030173,280698630,6182665,893911468
2014-09,124250810,253767123,1961427,379979360
2014-10,1329211,250717808,1350218,253397237
2014-11,635735,241068493,1342028,243046256
2014-12,274921,247532877,1342263,249150061
2015-01,578705,250420548,1340666,252339918
2015-02,169750,228717808,1340666,230228224
2015-03,833937,251354795,1340666,253529398
2015-04,487840,243411622,1340666,245240127
2015-05,654965,251991781,1340666,253987412
2015-06,86104186,252156481,1464087,339724754
2015-07,372164310,268426027,3312599,643902937
2015-08,308722661,251779452,3139266,563641380
2015-09,133566429,233260274,2192837,369019540
2015-10,1640915,260697260,1358057,263696232
2015-11,1600612,246727351,1377181,249705144
2015-12,542067,246471233,1340690,248353990
2016-01,36840,240950685,1340682,242328207
2016-02,13357,229985508,1340681,231339547
2016-03,6136,250547945,1340709,251894791
2016-04,1799622,242894140,1340765,246034527
2016-05,28151573,251142466,1340666,280634705
2016-06,372454697,238640982,2963981,614059660
2016-07,608890797,242267123,6271830,857429750
2016-08,527945613,254327397,4930327,787203337
2016-09,84056001,241191781,1537421,326785204
2016-10,54572847,271848767,1341884,327763498
2016-11,325962,261328767,1342960,262997689
