# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Apuseerserpia, Mouginot region: SE, Mankoff discharge gate (2021): 271, closest NSIDC/MEASUREs ID: 187, distance to closest NSIDC/MEASUREs ID: 13614m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,12634518,608709,13243227
2010-02,153980,11605015,606482,12365477
2010-03,0,12909589,606482,13516071
2010-04,2,8136986,606482,8743470
2010-05,32733947,5860274,612041,39206262
2010-06,158594805,8301370,2580717,169476891
2010-07,254199529,11126027,4489699,269815255
2010-08,243767413,9172603,4999468,257939484
2010-09,168778485,8876712,2355059,180010256
2010-10,27475771,9852055,610212,37938037
2010-11,20628,10175919,616094,10812641
2010-12,420841,11135352,610195,12166388
2011-01,1514,11767442,606482,12375438
2011-02,5,11203721,606482,11810208
2011-03,0,12994521,606482,13601003
2011-04,0,13232877,606482,13839359
2011-05,1292479,14268493,606482,16167455
2011-06,90853710,12410959,1586137,104850806
2011-07,255617518,11380822,3635213,270633553
2011-08,152556163,11720548,2121211,166397922
2011-09,28593250,8547945,685051,37826247
2011-10,16261,8747945,606508,9370713
2011-11,370042,8382416,606515,9358974
2011-12,1671,8579203,606482,9187356
2012-01,1261,8493151,606482,9100894
2012-02,77,7842799,646642,8489518
2012-03,7974,8323288,607555,8938817
2012-04,10972,12000000,606482,12617455
2012-05,17860082,7898630,607487,26366199
2012-06,206016356,7808219,3803376,217627951
2012-07,285132447,10786301,6504386,302423135
2012-08,232443250,10616438,4822597,247882285
2012-09,24733165,9287671,637948,34658785
2012-10,1075260,9767123,606482,11448866
2012-11,3700,9616438,606482,10226621
2012-12,20964,9894580,610271,10525815
2013-01,1029,9811985,606482,10419496
2013-02,1881,8821918,606482,9430281
2013-03,850,9767123,606482,10374456
2013-04,353,9698630,606482,10305466
2013-05,847492,11380822,606482,12834796
2013-06,76997862,11506849,1285104,89789816
2013-07,206834111,12994521,3105347,222933978
2013-08,144316811,11126027,1748673,157191511
2013-09,15607126,8876712,615618,25099456
2013-10,2578870,7558904,606482,10744256
2013-11,3443,10931507,606482,11541433
2013-12,19846,11635616,606482,12261945
2014-01,14823,12060274,606613,12681710
2014-02,73756,11200000,606482,11880238
2014-03,7193,8493151,606516,9106859
2014-04,1515,7561644,606482,8169642
2014-05,13054834,7219178,606482,20880495
2014-06,124980824,7808219,1835028,134624071
2014-07,232966706,10021918,3351202,246339825
2014-08,256731156,7473973,3853755,268058884
2014-09,37718695,8794521,858133,47371348
2014-10,482703,9427397,606482,10516583
2014-11,68762,8794521,606482,9469765
2014-12,5185,8663014,606482,9274681
2015-01,44242,7771233,606482,8421958
2015-02,12950,7134247,606482,7753679
2015-03,82651,9342466,606482,10031599
2015-04,63028,8641086,606482,9310596
2015-05,1239241,8535616,606482,10381340
2015-06,65780233,8744497,1003553,75528283
2015-07,184261146,9512329,2904742,196678217
2015-08,143668170,9172603,1935095,154775868
2015-09,60520727,8136986,1072150,69729864
2015-10,468757,9300000,606999,10375756
2015-11,8522,8936840,613826,9559188
2015-12,6990,9172603,606486,9786078
2016-01,2773,9172603,606482,9781858
2016-02,0,7517176,606482,8123659
2016-03,4548,7006849,606482,7617880
2016-04,782962,7517683,606482,8907128
2016-05,22884569,8493151,606482,31984202
2016-06,170502882,8092859,2362840,180958582
2016-07,248535698,8238356,3874088,260648142
2016-08,188249667,8408219,3200501,199858387
2016-09,33422665,6821918,655339,40899922
2016-10,26552092,8459178,607124,35618394
2016-11,54196,6780822,610822,7445840
2016-12,21181,6964384,613303,7598867
2017-01,53,6981370,606482,7587905
2017-02,2994,6616438,606482,7225915
2017-03,616,7028082,606482,7635181
2017-04,0,7176818,606482,7783301
2017-05,27720309,7785388,606482,36112180
2017-06,113342542,7438356,2079514,122860412
2017-07,210786268,8068493,2671914,221526675
2017-08,160969412,8238356,2211898,171419666
2017-09,51930317,7068493,989863,59988674
2017-10,1387217,8195890,609575,10192682
2017-11,37105,7150685,606565,7794355
2017-12,26290,7240411,606482,7873183
2018-01,11078,6166027,606482,6783588
2018-02,9062,6884932,606482,7500476
2018-03,13440,6301918,606482,6921840
2018-04,49907,6246575,606482,6902965
2018-05,213940,7609863,606482,8430286
2018-06,64604946,8383562,1156489,74144997
2018-07,237379649,7955251,3151938,248486838
2018-08,181804500,8323288,2560740,192688527
2018-09,28381136,6383562,615626,35380324
2018-10,74165,6836986,611710,7522861
2018-11,21653,5315068,619553,5956275
2018-12,74353,6072603,611497,6758453
2019-01,1131,6964384,606689,7572204
2019-02,19355,5369863,606552,5995769
2019-03,13746,6001826,606482,6622054
2019-04,4811895,5424658,606482,10843035
2019-05,29943525,7728767,606482,38278775
2019-06,162866399,7726027,2472992,173065419
2019-07,269839130,8493151,4177598,282509879
2019-08,153671430,7473973,2138018,163283421
2019-09,38323307,6657534,611463,45592304
2019-10,12783112,7813699,606511,21203322
2019-11,19702,6534247,606482,7160431
2019-12,72661,7870320,606482,8549463
2020-01,0,6369863,608597,6978460
2020-02,0,6594521,610046,7204566
2020-03,125,4756164,606504,5362793
2020-04,3482,5095890,606482,5705855
2020-05,15747109,7445662,607052,23799823
2020-06,100064750,8712329,1224769,110001848
2020-07,217054300,8719635,3432555,229206489
2020-08,174926551,8620548,3094953,186642052
2020-09,12146092,6904110,638155,19688357
2020-10,1762626,5647945,652769,8063340
2020-11,39154,6684932,612145,7336230
2020-12,0,5478082,606482,6084565
