# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Gyldenlove, Mouginot region: SE, Mankoff discharge gate (2021): 276, closest NSIDC/MEASUREs ID: 188, distance to closest NSIDC/MEASUREs ID: 3779m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,36594,388527924,8601474,397165992
2010-02,51697,359146722,8601474,367799893
2010-03,32986,400876712,8601474,409511173
2010-04,31898,345780822,8601474,354414194
2010-05,51556205,335734247,8841907,396132359
2010-06,199059758,351452055,12545085,563056897
2010-07,372253620,324523288,16167026,712943934
2010-08,353796498,366564384,19781763,740142645
2010-09,201733095,329342466,12662343,543737904
2010-10,38484565,340320548,8625076,387430189
2010-11,109457,329315555,8601475,338026487
2010-12,499797,340229400,8606286,349335482
2011-01,0,340152053,8601495,348753548
2011-02,1220236,307176969,8604912,317002117
2011-03,171373,340065753,8601474,348838601
2011-04,350069,329095890,8601474,338047434
2011-05,3825596,339980822,8601474,352407892
2011-06,126792511,328520548,10877832,466190891
2011-07,344824017,338961644,16014968,699800629
2011-08,198067824,345246575,12748669,556063069
2011-09,29365584,320465753,8736441,358567779
2011-10,107092,335394521,8601474,344103087
2011-11,736132,328771159,8601474,338108765
2011-12,29146,343901121,8601474,352531741
2012-01,2389,348219178,8601474,356823042
2012-02,16,328746578,8601474,337348068
2012-03,875,356627397,8601474,365229746
2012-04,180889,402904110,8601474,411686473
2012-05,36363735,352890411,8659894,397914041
2012-06,325381903,291945205,15442975,632770084
2012-07,516909185,298364384,27988962,843262530
2012-08,396325788,414720548,21611293,832657629
2012-09,32242409,287260274,8696431,328199114
2012-10,1423905,311783562,8614826,321822292
2012-11,17818,333205479,8601718,341825016
2012-12,9122,346353982,8602119,354965223
2013-01,7216,347322692,8734296,356064205
2013-02,3987,314597260,8601474,323202721
2013-03,3373,349578082,8601474,358182930
2013-04,26770,305671233,8601474,314299477
2013-05,5660112,378284932,8601474,392546518
2013-06,107717881,362054795,9894595,479667270
2013-07,265258209,370216438,15016753,650491400
2013-08,204672975,414550685,11505944,630729604
2013-09,25015822,369369863,8669929,403055614
2013-10,2178828,380917808,8601474,391698110
2013-11,739,339041096,8601474,347643309
2013-12,22983,366054795,8601474,374679252
2014-01,7961,382191781,8601570,390801312
2014-02,210782,359780822,8601561,368593165
2014-03,32058,345841096,8601507,354474660
2014-04,348243,350712329,8601484,359662056
2014-05,24387421,365884932,8601474,398873827
2014-06,168770264,354575342,11399701,534745308
2014-07,311712413,392383562,15308502,719404477
2014-08,398590161,381172603,16625730,796388495
2014-09,38677515,366328767,8986917,413993200
2014-10,212876,364950685,8603029,373766591
2014-11,44844,363205479,8601481,371851804
2014-12,9369,385504110,8601474,394114953
2015-01,20,395780822,8601506,404382348
2015-02,321,366723288,8601503,375325112
2015-03,433,396757534,8601506,405359473
2015-04,2005097,376225744,8601505,386832346
2015-05,4636053,384867123,8601481,398104657
2015-06,97476010,391463074,10192090,499131174
2015-07,228229715,423213699,14219015,665662429
2015-08,196778327,422321918,11924333,631024578
2015-09,68244764,398465753,9522633,476233151
2015-10,532738,386353425,8605397,395491560
2015-11,6324,380669534,8601608,389277466
2015-12,158351,400027397,8601612,408787361
2016-01,721033,383763014,8601474,393085521
2016-02,77949,347502021,8601474,356181445
2016-03,14209,364780822,8601474,373396505
2016-04,3542747,351098353,8605027,363246127
2016-05,41434110,362063014,8601474,412098598
2016-06,246491859,359555803,13658770,619706432
2016-07,368746311,381130137,15458318,765334766
2016-08,253370832,381809589,12821451,648001872
2016-09,36254526,356301370,8701505,401257401
2016-10,20667764,334545205,8616868,363829837
2016-11,33086,296794521,8601886,305429492
2016-12,15210,331351781,8601899,339968890
2017-01,380629,338486027,8610964,347477621
2017-02,461,299331507,8601474,307933443
2017-03,44,336286301,8641599,344927944
2017-04,4,352674857,8603716,361278578
2017-05,56804096,387315982,9172391,453292468
2017-06,145918019,339082192,12289422,497289633
2017-07,282662700,390713242,14647320,688023262
2017-08,253472125,407883562,13924570,675280257
2017-09,69164264,369123288,9758268,448045820
2017-10,1846160,372934247,8601474,383381881
2017-11,378773,295397260,8601474,304377508
2017-12,563130,335713014,8601474,344877619
2018-01,305058,339488219,8601474,348394752
2018-02,409857,298756164,8601474,307767496
2018-03,159156,336957260,8601474,345717891
2018-04,649792,302219178,8601474,311470444
2018-05,1676824,331419726,8601474,341698024
2018-06,105367261,311095890,10400947,426864099
2018-07,341541799,325117808,15707535,682367143
2018-08,243578609,330234932,13012563,586826104
2018-09,22312144,286739726,8608539,317660409
2018-10,12601,321826712,8602393,330441707
2018-11,373267,276986301,8601475,285961043
2018-12,19076,288682192,8601474,297302742
2019-01,4466,290635616,8601530,299241613
2019-02,1877,262164384,8601524,270767785
2019-03,14840,286926941,8601530,295543311
2019-04,3384006,286438356,8601524,298423887
2019-05,45445389,305753425,8601477,359800291
2019-06,219281665,318219178,13571713,551072556
2019-07,380276563,317516438,17105927,714898928
2019-08,230097864,318068493,12440247,560606603
2019-09,46642527,322109589,8713511,377465627
2019-10,10733671,314444749,8608535,333786955
2019-11,6494,284712329,8604844,293323667
2019-12,99852,301818265,8605011,310523128
2020-01,1133,299468493,8605639,308075265
2020-02,213861,298024658,8603196,306841714
2020-03,1038,311868493,8601474,320471006
2020-04,139933,293712329,8601474,302453736
2020-05,25538013,313906849,8601475,348046337
2020-06,133026314,309205479,11081339,453313133
2020-07,280248699,330326941,16415999,626991638
2020-08,231609265,315775342,14448630,561833238
2020-09,19222554,298246575,8716872,326186001
2020-10,2014390,306220548,8623496,316858434
2020-11,53158,295863014,8619748,304535919
2020-12,27322,297090411,8604166,305721899
