# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Gyldenlove S, Mouginot region: SE, Mankoff discharge gate (2021): 277, closest NSIDC/MEASUREs ID: 220, distance to closest NSIDC/MEASUREs ID: 3685m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,252288,20962886,782120,21997294
2010-02,127644,18862098,782120,19771862
2010-03,996,20808219,782120,21591335
2010-04,522,20054795,782120,20837436
2010-05,31732759,20638356,796170,53167285
2010-06,129686788,19890411,1581081,151158280
2010-07,188280379,20468493,5105961,213854833
2010-08,179283227,20468493,4388910,204140630
2010-09,136740726,19726027,2894922,159361675
2010-10,31937487,20298630,855883,53092000
2010-11,77977,19571570,782120,20431667
2010-12,216529,20158436,783249,21158214
2011-01,412,20093140,782172,20875724
2011-02,492693,18087684,782964,19363341
2011-03,117127,19958904,782134,20858164
2011-04,106739,19232877,782133,20121749
2011-05,1681146,19789041,782134,22252321
2011-06,78600934,19068493,971292,98640720
2011-07,217072510,19619178,4954252,241645940
2011-08,119193217,19534247,2810479,141537942
2011-09,28709971,18904110,818132,48432212
2011-10,156868,19449315,782140,20388323
2011-11,1097315,18732078,782134,20611527
2011-12,25716,19267350,782134,20075200
2012-01,75547,19194521,782129,20052196
2012-02,4882,17916034,782122,18703038
2012-03,13979,19109589,782122,19905690
2012-04,228478,18410959,782124,19421561
2012-05,25917348,18939726,782520,45639595
2012-06,142159910,18246575,2656154,163062640
2012-07,223939145,18854795,6288178,249082118
2012-08,176910640,18769863,4225842,199906345
2012-09,30569006,18082192,811531,49462729
2012-10,1527583,18600000,782412,20909995
2012-11,69342,18000000,782393,18851735
2012-12,36796,18578797,783332,19398925
2013-01,45604,18537499,813278,19396381
2013-02,4698,16723288,782120,17510106
2013-03,221,18515068,782120,19297410
2013-04,608,17917808,782120,18700537
2013-05,2769896,18515068,782124,22067089
2013-06,70896014,17835616,898728,89630358
2013-07,148369546,18430137,3956936,170756618
2013-08,115971409,18430137,2401259,136802806
2013-09,17960211,17835616,799849,36595677
2013-10,2883333,18430137,782120,22095590
2013-11,29820,17835616,782120,18647556
2013-12,1742,18430137,782120,19213999
2014-01,35036,18345205,782300,19162541
2014-02,9405,16569863,782283,17361550
2014-03,30271,18345205,782181,19157657
2014-04,42087,17753425,782137,18577649
2014-05,23668568,18345205,782120,42795893
2014-06,93762503,17753425,992017,112507944
2014-07,166186244,18345205,4063183,188594633
2014-08,201060643,18345205,4316422,223722271
2014-09,38380881,17753425,1059206,57193512
2014-10,493549,18345205,785042,19623797
2014-11,546487,17753425,782133,19082045
2014-12,419327,18345205,782120,19546653
2015-01,1345,18345205,782190,19128740
2015-02,40185,16416438,782183,17238807
2015-03,71866,18684932,782190,19538988
2015-04,25539,18009344,782188,18817071
2015-05,3145684,18430137,782144,22357965
2015-06,55809610,17047009,893653,73750272
2015-07,136265138,16943836,3384483,156593457
2015-08,119689106,17920548,2725730,140335384
2015-09,50938388,17671233,1179550,69789171
2015-10,954868,16094521,789492,17838881
2015-11,42719,17154331,782371,17979421
2015-12,30018,19279452,782379,20091849
2016-01,26089,17368493,782120,18176703
2016-02,8216,16328328,782120,17118664
2016-03,2561,17665753,782120,18450434
2016-04,907367,18803774,788796,20499938
2016-05,29659069,20978082,782120,51419271
2016-06,131694238,20301370,2314059,154309666
2016-07,201240442,20978082,4537300,226755823
2016-08,142381809,20298630,2375633,165056071
2016-09,29539712,16109589,901872,46551173
2016-10,23812743,15661370,811049,40285162
2016-11,21251,15082192,782893,15886335
2016-12,5773,17054247,782953,17842972
2017-01,337613,16986301,799954,18123868
2017-02,12602,14402740,782120,15197462
2017-03,264,14671918,857528,15529710
2017-04,243,16286404,786334,17072980
2017-05,33836378,18883105,786031,53505514
2017-06,71689982,13397260,1708044,86795286
2017-07,149581855,17524201,3994502,171100557
2017-08,134172253,19364384,3025040,156561677
2017-09,49503503,18739726,1198931,69442160
2017-10,2419370,17878082,782653,21080105
2017-11,42560,12945205,782131,13769897
2017-12,28508,15606164,782291,16416964
2018-01,17513,17733699,782120,18533332
2018-02,21804,14115068,782120,14918992
2018-03,10556,15372603,782120,16165279
2018-04,201524,12698630,782120,13682275
2018-05,1776917,14795068,782120,17354105
2018-06,60859371,15123288,884270,76866930
2018-07,161273582,14778082,4158393,180210057
2018-08,134375184,14502055,3317046,152194285
2018-09,22481804,12493151,797657,35772612
2018-10,4459,13164384,783806,13952648
2018-11,163624,11506849,782529,12453002
2018-12,9717,13673973,782141,14465831
2019-01,24392,15669863,782224,16476480
2019-02,1339,13616438,782214,14399991
2019-03,1145,13475799,782224,14259168
2019-04,3754393,14410959,782213,18947565
2019-05,41524375,17156164,782125,59462665
2019-06,111288276,15095890,2135323,128519490
2019-07,179550012,16349315,5382675,201282002
2019-08,118229551,13221005,2769554,134220110
2019-09,42064506,14054795,843250,56962550
2019-10,13689963,14410046,782120,28882129
2019-11,12820,13520548,782120,14315488
2019-12,89203,14693151,782120,15564473
2020-01,1549,14551598,782125,15335272
2020-02,140016,12513699,782124,13435839
2020-03,17900,14240183,782125,15040207
2020-04,845200,14136986,782124,15764311
2020-05,26037734,16108676,782125,42928534
2020-06,78204570,16232877,917256,95354703
2020-07,171870744,15202740,4033273,191106757
2020-08,139295857,14905479,3204978,157406315
2020-09,13825134,13726027,815573,28366734
2020-10,2067746,15797260,783535,18648541
2020-11,123058,14301370,782451,15206879
2020-12,205175,15627397,782135,16614707
