# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Gyldenlove Ss, Mouginot region: SE, Mankoff discharge gate (2021): 280, closest NSIDC/MEASUREs ID: 220, distance to closest NSIDC/MEASUREs ID: 12759m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,20043,7842465,13731,7876240
2010-02,129175,7064469,13731,7207376
2010-03,2,7813699,13731,7827432
2010-04,0,7561644,13731,7575375
2010-05,13783048,7728767,53511,21565327
2010-06,65453404,7479452,1079154,74012010
2010-07,74887355,7728767,1291079,83907201
2010-08,75176014,7728767,1076345,83981126
2010-09,64255040,7397260,903308,72555609
2010-10,18257737,7643836,232560,26134133
2010-11,16412,7388290,13731,7418434
2010-12,15045,7613453,13731,7642230
2011-01,4848,7587671,13775,7606294
2011-02,3982,6834332,13771,6852085
2011-03,1520,7558904,13775,7574200
2011-04,1578,7315068,13774,7330421
2011-05,1470111,7558904,13775,9042791
2011-06,34066978,7315068,513588,41895635
2011-07,86214092,7473973,1380246,95068311
2011-08,51775770,7473973,750079,59999822
2011-09,14412507,7232877,114958,21760342
2011-10,173333,7473973,13795,7661100
2011-11,1423252,7211170,13775,8648196
2011-12,45079,7411472,13775,7470326
2012-01,4331,7389041,13759,7407131
2012-02,2068,6912329,13738,6928135
2012-03,4752,7389041,13739,7407532
2012-04,151996,7150685,13745,7316426
2012-05,10433817,7304110,13731,17751658
2012-06,59159689,7068493,816384,67044566
2012-07,87956697,7304110,1185882,96446688
2012-08,71077160,7304110,944533,79325803
2012-09,15801337,7068493,102821,22972651
2012-10,1128662,7219178,13755,8361595
2012-11,1906,6986301,13731,7001939
2012-12,659,7219178,13731,7233569
2013-01,11190,7219178,13733,7244101
2013-02,112,6520548,13731,6534391
2013-03,249,7134247,13731,7148227
2013-04,26,6904110,13731,6917867
2013-05,2938225,7134247,13744,10086216
2013-06,31622928,6904110,359659,38886696
2013-07,66470176,7134247,1193738,74798160
2013-08,46412775,7049315,669777,54131867
2013-09,10302848,6821918,59645,17184410
2013-10,996821,7049315,13731,8059868
2013-11,5577,6821918,13731,6841226
2013-12,470,7049315,13731,7063517
2014-01,15155,6964384,13731,6993270
2014-02,2267,6290411,13731,6306410
2014-03,13075,6964384,13731,6991190
2014-04,1005,6739726,13731,6754462
2014-05,10776518,6964384,13731,17754633
2014-06,49130597,6739726,625721,56496044
2014-07,73501586,6879452,1233280,81614318
2014-08,77629567,6879452,1228885,85737904
2014-09,21591284,6780822,292692,28664798
2014-10,91609,7813699,13731,7919039
2014-11,275025,8136986,13731,8425743
2014-12,24273,9087671,13731,9125676
2015-01,1042,9682192,13765,9696999
2015-02,42852,9358904,13762,9415518
2015-03,85674,11041096,13765,11140535
2015-04,27246,10474052,13764,10515062
2015-05,2787810,10531507,13765,13333082
2015-06,28062578,10078449,336596,38477623
2015-07,60947253,10276712,1057170,72281136
2015-08,50135984,9767123,712857,60615965
2015-09,26603046,8712329,447272,35762647
2015-10,425965,9002740,13731,9442436
2015-11,13256,9042988,13731,9069976
2015-12,2398,9894521,13731,9910650
2016-01,7438,10361644,13731,10382813
2016-02,6987,9693151,13731,9713869
2016-03,1932,10361644,13731,10377307
2016-04,97691,10743205,13731,10854627
2016-05,12141802,11805479,13731,23961013
2016-06,65522157,11174873,975450,77672480
2016-07,80128857,11041096,1213437,92383389
2016-08,58756348,10276712,896988,69930048
2016-09,14839108,8424658,162099,23425865
2016-10,15154847,8034521,13731,23203099
2016-11,51385,6369863,13731,6434980
2016-12,14135,7456986,13841,7484962
2017-01,16917,8068493,13731,8099142
2017-02,24741,7805479,13731,7843952
2017-03,377,7389041,13731,7403150
2017-04,362,9101613,13731,9115706
2017-05,12586340,11324201,13731,23924272
2017-06,38028819,6863014,697469,45589302
2017-07,69457890,11041096,1159865,81658851
2017-08,52895913,10234247,815158,63945318
2017-09,23973502,9205479,227640,33406621
2017-10,2199346,10404110,15440,12618895
2017-11,15347,7273973,13767,7303086
2017-12,10669,7792466,14280,7817415
2018-01,0,8900822,13731,8914553
2018-02,0,6347945,13731,6361677
2018-03,0,8238356,13731,8252088
2018-04,166907,6821918,13731,7002557
2018-05,2063293,6862466,13731,8939490
2018-06,30072069,8424658,301947,38798674
2018-07,74314503,8606393,1246255,84167150
2018-08,59923217,8790411,803033,69516661
2018-09,12783553,8246575,63564,21093692
2018-10,1747,8365753,19139,8386639
2018-11,129536,7780822,15043,7925401
2018-12,173,9215068,13799,9229041
2019-01,42305,7219178,13731,7275215
2019-02,1234,8400000,13731,8414966
2019-03,636,7190868,13731,7205235
2019-04,4446967,6712329,13731,11173028
2019-05,17538344,9300000,13731,26852075
2019-06,57156970,9945205,795021,67897196
2019-07,81960773,7686301,1367093,91014168
2019-08,47869579,8832877,699026,57401482
2019-09,20087825,8383562,192737,28664124
2019-10,8577066,9115982,13731,17706779
2019-11,33755,9945205,13731,9992692
2019-12,20629,9427397,13731,9461758
2020-01,4726,8436530,13746,8455002
2020-02,28503,7309589,13745,7351837
2020-03,7069,9427397,13746,9448212
2020-04,867684,6945205,13745,7826635
2020-05,12244847,7785388,13746,20043981
2020-06,45546254,7068493,392889,53007637
2020-07,74709988,7813699,1123641,83647328
2020-08,60999465,8790411,815504,70605381
2020-09,7501037,7753425,64995,15319457
2020-10,2204560,8747945,13746,10966251
2020-11,142250,7917808,13745,8073804
2020-12,447899,8195890,13746,8657535
