# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Se Noname2, Mouginot region: SE, Mankoff discharge gate (2021): 288, closest NSIDC/MEASUREs ID: 221, distance to closest NSIDC/MEASUREs ID: 13818m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,1160275,289,1160563
2010-02,0,1067038,289,1067326
2010-03,0,1189041,289,1189330
2010-04,0,1150685,289,1150974
2010-05,0,1189041,289,1189330
2010-06,0,1150685,163094,1313779
2010-07,0,1189041,533349,1722390
2010-08,0,1189041,483570,1672611
2010-09,0,1150685,358784,1509469
2010-10,0,1189041,3597,1192638
2010-11,0,1150685,289,1150974
2010-12,0,1189041,371,1189412
2011-01,0,1189041,294,1189335
2011-02,0,1073973,523,1074496
2011-03,0,1189041,751,1189792
2011-04,0,1150685,470,1151155
2011-05,0,1189041,752,1189793
2011-06,0,1150685,11264,1161949
2011-07,0,1189041,512484,1701525
2011-08,0,1189041,265260,1454301
2011-09,0,1150685,2056,1152741
2011-10,0,1189041,289,1189330
2011-11,0,1172392,289,1172681
2011-12,0,1251542,289,1251831
2012-01,0,1273973,418,1274391
2012-02,0,1191781,2106,1193887
2012-03,0,1273973,399,1274372
2012-04,0,1232877,800,1233677
2012-05,0,1273973,289,1274261
2012-06,0,1232877,148039,1380916
2012-07,0,1273973,474238,1748211
2012-08,0,1273973,352139,1626112
2012-09,0,1232877,289,1233165
2012-10,0,1273973,289,1274261
2012-11,0,1232877,289,1233165
2012-12,0,1295176,372,1295548
2013-01,0,1336473,289,1336762
2013-02,0,1227397,292,1227689
2013-03,0,1358904,289,1359193
2013-04,0,1315068,289,1315357
2013-05,0,1358904,289,1359193
2013-06,0,1315068,289,1315357
2013-07,0,1443836,225683,1669519
2013-08,0,1443836,197726,1641561
2013-09,0,1397260,4401,1401661
2013-10,0,1443836,289,1444124
2013-11,0,1397260,289,1397549
2013-12,0,1443836,289,1444124
2014-01,0,1528767,289,1529056
2014-02,0,1380822,289,1381111
2014-03,0,1528767,289,1529056
2014-04,0,1479452,289,1479741
2014-05,0,1528767,289,1529056
2014-06,0,1561644,289,1561932
2014-07,0,1613699,226257,1839955
2014-08,0,1613699,346411,1960110
2014-09,0,1561644,69860,1631504
2014-10,0,1613699,4745,1618444
2014-11,0,1479452,289,1479741
2014-12,0,1528767,289,1529056
2015-01,0,1528767,5005,1533772
2015-02,0,1610959,289,1611247
2015-03,0,1698630,289,1698919
2015-04,0,1552361,289,1552650
2015-05,0,1528767,289,1529056
2015-06,0,1423875,289,1424164
2015-07,0,1443836,218693,1662529
2015-08,0,1443836,234609,1678445
2015-09,0,1397260,102460,1499720
2015-10,0,1528767,2999,1531766
2015-11,0,1535648,899,1536547
2015-12,0,1613699,289,1613987
2016-01,0,1613699,289,1613987
2016-02,0,1426166,289,1426454
2016-03,0,1443836,289,1444124
2016-04,0,1397260,289,1397549
2016-05,0,1443836,289,1444124
2016-06,0,1355154,263904,1619058
2016-07,0,1358904,502426,1861330
2016-08,0,1443836,351659,1795494
2016-09,0,1232877,6812,1239688
2016-10,0,1409863,2721,1412584
2016-11,0,1931507,3080,1934587
2016-12,0,1426849,289,1427138
2017-01,0,1613699,289,1613987
2017-02,0,1706849,289,1707138
2017-03,0,1656164,289,1656453
2017-04,0,1551346,289,1551635
2017-05,0,1585388,289,1585677
2017-06,0,1602740,289,1603028
2017-07,0,1783562,74881,1858443
2017-08,0,1189041,289956,1478997
2017-09,0,2054795,37421,2092215
2017-10,0,1868493,2802,1871295
2017-11,0,1232877,2567,1235443
2017-12,0,1847260,289,1847549
2018-01,0,2021370,307,2021677
2018-02,0,1745205,289,1745494
2018-03,0,1817534,289,1817823
2018-04,0,1808219,289,1808508
2018-05,0,1715616,289,1715905
2018-06,0,1931507,289,1931795
2018-07,0,1557078,224909,1781986
2018-08,0,1443836,333252,1777088
2018-09,0,1561644,3818,1565462
2018-10,0,1932192,289,1932480
2018-11,0,1753425,289,1753713
2018-12,0,1932192,289,1932480
2019-01,0,2208219,289,2208508
2019-02,0,1726027,289,1726316
2019-03,0,2123288,289,2123576
2019-04,0,1808219,289,1808508
2019-05,0,2165753,289,2166042
2019-06,0,1643836,289,1644124
2019-07,0,1910959,181890,2092849
2019-08,0,1472146,229163,1701309
2019-09,0,1643836,768,1644604
2019-10,0,1642009,289,1642298
2019-11,0,1438356,289,1438645
2019-12,0,1783562,289,1783850
2020-01,0,1953425,289,1953713
2020-02,0,1430137,289,1430426
2020-03,0,1925114,289,1925403
2020-04,0,1849315,289,1849604
2020-05,0,1585388,289,1585677
2020-06,0,1890411,289,1890700
2020-07,0,1726941,330893,2057834
2020-08,0,2038356,284878,2323235
2020-09,0,1534247,1650,1535897
2020-10,0,1868493,289,1868782
2020-11,0,1561644,289,1561932
2020-12,0,1486301,289,1486590
