# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Tingmiarmiut Fjord, Mouginot region: SE, Mankoff discharge gate (2021): 305, closest NSIDC/MEASUREs ID: 195, distance to closest NSIDC/MEASUREs ID: 5670m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,254,1804120,2078610,3882985
2010-02,1471,1953339,2078549,4033359
2010-03,992,2293151,2078546,4372688
2010-04,1362,2054795,2078546,4134702
2010-05,52290561,169863,2096254,54556678
2010-06,259694385,2136986,2279852,264111224
2010-07,362620279,1443836,5501636,369565751
2010-08,415742005,2293151,6224049,424259205
2010-09,222940915,2054795,3480202,228475912
2010-10,30505972,1953425,2078915,34538312
2010-11,7732,1720802,2078546,3807079
2010-12,5680,1608515,2078546,3692741
2011-01,9623,1433681,2078546,3521850
2011-02,59322,1137920,2078546,3275788
2011-03,103489,1104110,2078546,3286144
2011-04,6481,904110,2078546,2989136
2011-05,12484,1189041,2078546,3280070
2011-06,142354236,2712329,2219314,147285879
2011-07,380517544,2547945,5043793,388109282
2011-08,230816730,424658,3438581,234679969
2011-09,27201099,821918,2083545,30106562
2011-10,67030,1273973,2078546,3419548
2011-11,7399,1444613,2078546,3530557
2011-12,7147,1643622,2078546,3729315
2012-01,28621,1783562,2078546,3890729
2012-02,40277,1790773,2078546,3909595
2012-03,15325,2038356,2078546,4132227
2012-04,9214,2136986,2078546,4224746
2012-05,26749883,2378082,2082710,31210675
2012-06,321524853,575342,4695364,326795559
2012-07,569293733,1528767,7534465,578356966
2012-08,387196311,1613699,4832658,393642668
2012-09,27044208,1643836,2079960,30768003
2012-10,19951,3057534,2078579,5156065
2012-11,3944,1150685,2078578,3233207
2012-12,2762,1410871,2078579,3492211
2013-01,1198,1927648,2078549,4007394
2013-02,1081,2224658,2078548,4304287
2013-03,1189,2887671,2078549,4967409
2013-04,1211,2383562,2078549,4463321
2013-05,1036173,764384,2078549,3879106
2013-06,119640871,1726027,2118102,123485000
2013-07,295073911,1104110,4253489,300431510
2013-08,202014065,934247,3516621,206464932
2013-09,24685157,1643836,2087647,28416640
2013-10,313567,849315,2078549,3241431
2013-11,1117,2219178,2078549,4298844
2013-12,1154,2123288,2078549,4202991
2014-01,1799,2038356,2078546,4118701
2014-02,4358,1764384,2078546,3847288
2014-03,3566,1783562,2078547,3865675
2014-04,111109,1479452,2078546,3669107
2014-05,28690709,1358904,2078546,32128159
2014-06,242380736,1150685,2618011,246149431
2014-07,346802565,1783562,5553109,354139236
2014-08,429757411,1104110,5865333,436726854
2014-09,41202146,1232877,2097243,44532265
2014-10,143919,1613699,2078546,3836163
2014-11,100274,1232877,2078546,3411697
2014-12,3044,1189041,2078546,3270631
2015-01,17535,1104110,2078554,3200198
2015-02,15753,920548,2078553,3014854
2015-03,18109,1189041,2078554,3285704
2015-04,16385,1066472,2078553,3161411
2015-05,17883,1019178,2078650,3115712
2015-06,107991023,986301,2139572,111116896
2015-07,286205539,1019178,4285245,291509962
2015-08,259033117,849315,3570760,263453192
2015-09,75851756,904110,2217174,78973039
2015-10,1959,849315,2078669,2929944
2015-11,1557,906131,2078588,2986276
2015-12,1595,1019178,2078591,3099365
2016-01,140105,849315,2078546,3067966
2016-02,14050,808586,2078546,2901182
2016-03,17279,891781,2078546,2987606
2016-04,512618,911924,2078546,3503088
2016-05,27263913,976712,2078546,30319171
2016-06,312086457,776780,3467583,316330820
2016-07,363897674,636986,5589332,370123992
2016-08,298357324,721918,4042966,303122207
2016-09,39148001,739726,2085818,41973545
2016-10,5449293,815342,2078562,8343197
2016-11,26773,821918,2078575,2927266
2016-12,1665,798356,2078611,2878632
2017-01,105481,849315,2078546,3033342
2017-02,597,747945,2078546,2827088
2017-03,0,806849,2078546,2885395
2017-04,641,771044,2078549,2850234
2017-05,61615137,792694,2096378,64504209
2017-06,191417249,780822,2273178,194471248
2017-07,316910165,707763,4771753,322389681
2017-08,317878434,721918,4510302,323110654
2017-09,98558521,739726,2733209,102031456
2017-10,5248771,721918,2083919,8054608
2017-11,5064,739726,2079585,2824376
2017-12,5242,764384,2079462,2849088
2018-01,708,747397,2078564,2826669
2018-02,10456,709589,2078562,2798607
2018-03,696,747397,2078564,2826657
2018-04,68491,821918,2078577,2968986
2018-05,731747,764384,2078734,3574865
2018-06,147244320,739726,2167745,150151791
2018-07,330474977,707763,5660190,336842929
2018-08,269169901,615753,4092325,273877979
2018-09,13508057,630137,2078752,16216947
2018-10,374557,658219,2078604,3111380
2018-11,43066,657534,2078547,2779147
2018-12,739,700685,2078636,2780059
2019-01,1239507,764384,2079518,4083408
2019-02,146687,690411,2078549,2915647
2019-03,2503,764384,2078546,2845433
2019-04,181606,712329,2078546,2972480
2019-05,59876396,721918,2080287,62678601
2019-06,246554992,657534,2439319,249651845
2019-07,407601861,594521,7406582,415602963
2019-08,246972417,622831,3723495,251318743
2019-09,64770028,657534,2102843,67530405
2019-10,4371444,679452,2080391,7131287
2019-11,8836,698630,2078714,2786180
2019-12,7377,736073,2078546,2821996
2020-01,1613,736073,2078723,2816408
2020-02,1268,635616,2078917,2715801
2020-03,4811,707763,2078958,2791531
2020-04,1959,698630,2079488,2780077
2020-05,35466162,707763,2078757,38252681
2020-06,231753674,616438,2528171,234898283
2020-07,374596173,594521,6329466,381520159
2020-08,347504759,594521,4833473,352932753
2020-09,26703974,602740,2111341,29418055
2020-10,10209,679452,2080155,2769815
2020-11,3408,630137,2078550,2712095
2020-12,124,636986,2078550,2715660
