# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Mogens Heinesen N, Mouginot region: SE, Mankoff discharge gate (2021): 308, closest NSIDC/MEASUREs ID: 226, distance to closest NSIDC/MEASUREs ID: 2440m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,2206,225811305,424875,226238386
2010-02,5182,214320559,424875,214750617
2010-03,9,241460274,424875,241885158
2010-04,0,203589041,424875,204013916
2010-05,29201926,187698630,614959,217515515
2010-06,127360963,209835616,1294786,338491365
2010-07,175641906,206213699,2520956,384376561
2010-08,202885779,195512329,5126517,403524625
2010-09,153520896,193068493,3449099,350038488
2010-10,18448674,203410959,595232,222454865
2010-11,708,201373440,473803,201847951
2010-12,1580,213213737,424875,213640192
2011-01,33225,218153312,424875,218611412
2011-02,601669,200271021,424875,201297565
2011-03,1115316,222945205,424875,224485396
2011-04,272,189369863,424875,189795011
2011-05,1100,250378082,424875,250804058
2011-06,58725724,230383562,832934,289942220
2011-07,192465033,224049315,1388907,417903255
2011-08,112052752,207657534,1560574,321270860
2011-09,18964202,212465753,514652,231944607
2011-10,49689,220652055,424875,221126619
2011-11,30064,214574394,424875,215029332
2011-12,284,222737201,424875,223162360
2012-01,387068,223794521,424875,224606464
2012-02,400685,210388859,424875,211214419
2012-03,203542,225917808,424875,226546226
2012-04,460676,219616438,424875,220501989
2012-05,12333957,227956164,486543,240776665
2012-06,146311031,209095890,2584918,357991839
2012-07,247250769,202306849,5638872,455196491
2012-08,206827306,193643836,3634687,404105828
2012-09,18659859,186821918,514575,205996352
2012-10,234026,200693151,424875,201352052
2012-11,17990,197753425,424875,198196290
2012-12,3438,204710142,424875,205138455
2013-01,3017,204903355,424875,205331247
2013-02,2753,185183562,424875,185611190
2013-03,2240,205109589,424875,205536704
2013-04,620,200794521,424875,201220016
2013-05,490368,185490411,424875,186405655
2013-06,62133242,192328767,769382,255231391
2013-07,129860439,211564384,1375331,342800153
2013-08,97626852,195087671,2182046,294896570
2013-09,12899782,210082192,469207,223451181
2013-10,503600,197805479,424875,198733955
2013-11,0,198657534,424875,199082410
2013-12,0,204430137,424875,204855012
2014-01,20677,203580822,424875,204026374
2014-02,49375,183342466,424875,183816716
2014-03,32405,206808219,424875,207265500
2014-04,52584,204164384,424875,204641843
2014-05,19856221,215131507,443875,235431602
2014-06,128979282,212219178,1182250,342380710
2014-07,169853425,216830137,1743133,388426695
2014-08,201462864,206553425,4090829,412107118
2014-09,29882638,203671233,603594,234157465
2014-10,5094,214876712,424875,215306681
2014-11,13735,200630137,424875,201068747
2014-12,20700,217806849,424875,218252424
2015-01,881,207869863,424875,208295619
2015-02,555,196575342,424875,197000772
2015-03,183,215768493,424875,216193552
2015-04,179,206941891,424875,207366945
2015-05,253,212838356,434730,213273339
2015-06,51236141,211172738,783793,263192671
2015-07,139087408,223327397,2358807,364773612
2015-08,134800383,221883562,2333245,359017189
2015-09,46253576,217972603,828968,265055147
2015-10,2798,218358904,447094,218808795
2015-11,332,209073758,428932,209503022
2015-12,223,214961644,425172,215387038
2016-01,57020,214579452,424875,215061348
2016-02,1454,202270710,424875,202697039
2016-03,41158,218698630,424875,219164664
2016-04,117471,213452978,424875,213995325
2016-05,13074927,222732877,457459,236265263
2016-06,174802912,219467536,1375856,395646303
2016-07,168951267,231523288,3733764,404208319
2016-08,147096837,236109589,2883352,386089779
2016-09,27328281,222821918,556733,250706931
2016-10,6137146,227565479,428983,234131608
2016-11,7906,218917808,424875,219350589
2016-12,13244,237689315,424875,238127435
2017-01,298242,232525479,424875,233248597
2017-02,0,231306849,424875,231731725
2017-03,0,255601370,424875,256026245
2017-04,3396,254072128,424875,254500399
2017-05,31093753,269147945,598482,300840179
2017-06,89318696,246945205,1007610,337271512
2017-07,163911908,282453881,2504862,448870652
2017-08,160824182,287026027,2722245,450572455
2017-09,54571967,267863014,906189,323341170
2017-10,4214604,271313699,463425,275991728
2017-11,681,279369863,424875,279795419
2017-12,565,292482877,424875,292908317
2018-01,1207,279271781,424875,279697863
2018-02,88559,254608219,424875,255121654
2018-03,988,289259726,424875,289685590
2018-04,10802,285616438,424875,286052115
2018-05,214074,283739178,424875,284378128
2018-06,66667953,287136986,860410,354665349
2018-07,168549430,284209132,2429815,455188378
2018-08,157227952,279021233,2726530,438975715
2018-09,11058188,248246575,466757,259771520
2018-10,88414,276048630,424875,276561919
2018-11,63328,277945205,424875,278433409
2018-12,81954,279806849,424875,280313679
2019-01,270342,279679452,424875,280374670
2019-02,614,256219178,425648,256645439
2019-03,18,284010959,425864,284436841
2019-04,59832,271753425,424875,272238132
2019-05,36431220,275432877,558045,312422142
2019-06,113781167,267041096,1168512,381990774
2019-07,198142082,266090411,2790386,467022879
2019-08,109284786,264278539,2050129,375613454
2019-09,43073804,254794521,661053,298529378
2019-10,6107801,264957991,424911,271490703
2019-11,16,255698630,424875,256123521
2019-12,2,268893151,424875,269318028
2020-01,155,279651142,424875,280076172
2020-02,54,278121918,424875,278546847
2020-03,521,307480365,424875,307905762
2020-04,223,292232877,424875,292657975
2020-05,20914335,291371689,524558,312810583
2020-06,104501071,286849315,1065742,392416128
2020-07,197094899,282029224,3214312,482338435
2020-08,187965630,276536986,3286223,467788840
2020-09,16008804,269150685,522758,285682247
2020-10,432981,272460274,424875,273318131
2020-11,618139,271808219,424875,272851234
2020-12,215,278660274,424875,279085364
