# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Mogens Heinesen C, Mouginot region: SE, Mankoff discharge gate (2021): 309, closest NSIDC/MEASUREs ID: 227, distance to closest NSIDC/MEASUREs ID: 2001m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,42,71586435,1305206,72891683
2010-02,2769,68658737,1305206,69966713
2010-03,0,77627397,1305206,78932604
2010-04,0,71342466,1305206,72647672
2010-05,18198741,61320548,1357362,80876651
2010-06,122808021,66821918,2204923,191834862
2010-07,130184278,65652055,3529516,199365849
2010-08,162393842,56479452,8470962,227344256
2010-09,132815364,58684932,7194238,198694534
2010-10,18796822,64632877,1431461,84861159
2010-11,12059,67222829,1327826,68562713
2010-12,157854,74789193,1305348,76252395
2011-01,5362,79932628,1305206,81243197
2011-02,10570,75565191,1305206,76880968
2011-03,16789,84931507,1305206,86253503
2011-04,437,72986301,1305206,74291944
2011-05,3291,81364384,1305206,82672881
2011-06,40100379,78657534,1623929,120381843
2011-07,170826319,81024658,3144773,254995750
2011-08,95197863,67095890,3799348,166093101
2011-09,13408113,64109589,1483656,79001359
2011-10,136089,67690411,1329335,69155834
2011-11,215632,66947500,1305227,68468359
2011-12,1576,70618303,1305228,71925108
2012-01,222655,72106849,1305206,73634711
2012-02,79431,68845410,1305206,70230048
2012-03,103051,74994521,1305206,76402778
2012-04,621398,74054795,1305206,75981399
2012-05,4323343,77967123,1322127,83612594
2012-06,122952966,73643836,4020294,200617096
2012-07,191992827,71257534,13895347,277145708
2012-08,153548320,65652055,8349112,227549487
2012-09,13474728,60410959,1353438,75239125
2012-10,24158,68879452,1305630,70209240
2012-11,4258,66575342,1305348,67884948
2012-12,3547,69224102,1305563,70533211
2013-01,2598,70205295,1305206,71513100
2013-02,2415,64284932,1305206,65592553
2013-03,1990,71852055,1305206,73159252
2013-04,61478,73643836,1305206,75010520
2013-05,173382,66841096,1305206,68319685
2013-06,44324494,62794521,1399733,108518748
2013-07,108300464,63019178,2732585,174052227
2013-08,74463168,64632877,2644208,141740253
2013-09,7338913,70684932,1365866,79389711
2013-10,239834,61745205,1305206,63290246
2013-11,462,72493151,1305206,73798819
2013-12,414,74994521,1305206,76300142
2014-01,10570,75164384,1305295,76480249
2014-02,16977,68043836,1305207,69366020
2014-03,7741,74909589,1305206,76222536
2014-04,7661,72082192,1305206,73395059
2014-05,6230599,74060274,1310420,81601292
2014-06,104202163,71835616,2046478,178084258
2014-07,111394049,69983562,2894096,184271706
2014-08,156738807,68369863,3961262,229069933
2014-09,22716274,72205479,1357221,96278974
2014-10,240853,71936986,1305206,73483046
2014-11,614735,71753425,1305206,73673366
2014-12,553605,75801370,1305206,77660181
2015-01,75598,74145205,1548393,75769196
2015-02,353,69271233,1467066,70738652
2015-03,9,74017808,1578244,75596061
2015-04,15,71840669,1506539,73347223
2015-05,72,74442466,1309724,75752262
2015-06,42880240,70744537,1449322,115074098
2015-07,102554882,71130137,3106188,176791207
2015-08,102247971,69856164,4264255,176368391
2015-09,38568372,74219178,1710217,114497768
2015-10,22536,74315068,1512144,75849748
2015-11,1166,72599714,1307066,73907947
2015-12,646,75758904,1305342,77064893
2016-01,9031,75843836,1305246,77158113
2016-02,901,68531413,1305207,69837520
2016-03,35535,70917808,1305206,72258550
2016-04,88026,71156518,1305206,72549750
2016-05,3334385,76013699,1314147,80662230
2016-06,142014064,70319455,2799241,215132760
2016-07,127815980,69473973,3866369,201156322
2016-08,109892108,73338356,2816358,186046823
2016-09,20446691,73232877,1395257,95074825
2016-10,3163975,76200548,1309461,80673984
2016-11,12767,75369863,1306291,76688921
2016-12,10009,82400548,1305918,83716475
2017-01,452449,81347397,1305206,83105053
2017-02,0,74813699,1305206,76118905
2017-03,0,83402740,1305206,84707946
2017-04,62,84000453,1305206,85305721
2017-05,11303321,89574429,1352841,102230591
2017-06,76267078,83630137,1465099,161362314
2017-07,128409642,94217352,3052687,225679680
2017-08,118862874,98265753,3147337,220275965
2017-09,38841287,98876712,1708020,139426019
2017-10,1569246,106971233,1328651,109869130
2017-11,8984,109931507,1305290,111245781
2017-12,14,111769863,1305279,113075157
2018-01,5495,117069589,1305206,118380290
2018-02,3079,104443836,1305206,105752121
2018-03,1768,114317808,1305206,115624782
2018-04,7730,116630137,1305206,117943073
2018-05,129430,113383562,1305206,114818198
2018-06,47621280,106931507,1436919,155989706
2018-07,128339279,110269406,3788401,242397087
2018-08,123908928,110050000,5151853,239110781
2018-09,5843472,105369863,1318243,112531578
2018-10,36932,115273288,1305206,116615426
2018-11,46804,115232877,1305206,116584887
2018-12,220220,119498630,1305206,121024057
2019-01,1124,120857534,1305206,122163865
2019-02,612,108893151,1305561,110199323
2019-03,47,116780822,1305660,118086529
2019-04,44747,112082192,1305206,113432145
2019-05,12811972,112109589,1341746,126263307
2019-06,102554813,106876712,1961559,211393085
2019-07,144586302,103404110,3742788,251733199
2019-08,76044821,103078539,2893702,182017061
2019-09,29653848,103109589,1519039,134282475
2019-10,3064784,107183562,1305216,111553562
2019-11,7663,111000000,1305206,112312870
2019-12,5064,111486758,1305206,112797028
2020-01,74826,112534247,1305206,113914279
2020-02,27248,105909589,1305206,107242044
2020-03,10426,109731507,1305206,111047139
2020-04,4925,112931507,1305206,114241639
2020-05,7260446,110552511,1332558,119145515
2020-06,91833928,103273973,2008275,197116176
2020-07,148371472,104126027,3726351,256223850
2020-08,139845840,103106849,7858162,250810851
2020-09,11002233,105068493,1375353,117446079
2020-10,547973,119626027,1305206,121479207
2020-11,897978,125452055,1305206,127655239
2020-12,2823,132705479,1305206,134013509
