# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Mogens Heinesen S, Mouginot region: SE, Mankoff discharge gate (2021): 310, closest NSIDC/MEASUREs ID: 228, distance to closest NSIDC/MEASUREs ID: 2545m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,1559,232838762,1063165,233903485
2010-02,112,209845491,1063165,210908768
2010-03,0,231353425,1071819,232425244
2010-04,0,219041096,1063165,220104261
2010-05,21502828,244517808,1063165,267083801
2010-06,149527223,228739726,1889917,380156866
2010-07,228602668,237298630,2843846,468745144
2010-08,301022743,236704110,4486406,542213258
2010-09,267431027,230958904,3580005,501969936
2010-10,23469232,240610959,1165984,265246175
2010-11,848006,234597656,1065991,236511653
2010-12,652799,243979511,1063689,245695999
2011-01,272361,245682841,1084418,247039620
2011-02,176576,223786429,1063742,225026746
2011-03,37069,250208219,1063165,251308453
2011-04,36778,246821918,1063165,247921861
2011-05,69570,237128767,1063165,238261502
2011-06,58227665,225780822,1321759,285330246
2011-07,304683132,229569863,3879583,538132578
2011-08,183486553,234750685,2657308,420894545
2011-09,19868083,237534247,1159367,258561696
2011-10,778860,243073973,1074811,244927644
2011-11,897920,235516094,1087669,237501684
2011-12,117796,243980383,1076010,245174190
2012-01,345320,244602740,1063165,246011224
2012-02,111035,229273261,1073727,230458023
2012-03,139570,245536986,1066200,246742757
2012-04,160031,238109589,1064517,239334137
2012-05,6863480,246556164,1063165,254482809
2012-06,190588962,218958904,2763480,412311346
2012-07,419785370,227956164,5129018,652870552
2012-08,314752159,217254795,4373756,536380709
2012-09,16544298,216410959,1073866,234029123
2012-10,1134735,243413699,1103250,245651683
2012-11,77382,236712329,1161488,237951199
2012-12,32917,244496382,1172906,245702205
2013-01,11938,244233522,1063165,245308625
2013-02,2742,220317808,1063165,221383715
2013-03,32685,243583562,1063165,244679412
2013-04,8713,224383562,1063165,225455439
2013-05,14081,235600000,1063165,236677246
2013-06,49048508,222164384,1063165,272276057
2013-07,133455479,223709589,2476858,359641926
2013-08,118875061,217679452,2108660,338663174
2013-09,12346566,212547945,1123819,226018330
2013-10,249264,224813699,1063165,226126127
2013-11,439231,218630137,1063165,220132532
2013-12,520583,224983562,1063165,226567309
2014-01,6133,224049315,1063276,225118724
2014-02,7657,201753425,1063165,202824247
2014-03,1677,222690411,1063165,223755252
2014-04,1987,214767123,1063165,215832275
2014-05,3674078,221246575,1063165,225983818
2014-06,122770106,210246575,1730369,334747050
2014-07,171129280,211734247,2472401,385335928
2014-08,276847005,217254795,3205877,497307677
2014-09,31538781,223972603,1079883,256591266
2014-10,1995407,225493151,1064100,228552658
2014-11,2026386,232191781,1063165,235281332
2014-12,977549,241842466,1063165,243883179
2015-01,64091,246980822,1081116,248126029
2015-02,103,218400000,1075026,219475130
2015-03,46,244560274,1083174,245643494
2015-04,44,232817422,1077919,233895386
2015-05,96,235430137,1063165,236493398
2015-06,48315446,225740540,1119299,275175286
2015-07,168875363,231523288,2852346,403250997
2015-08,175357236,229442466,2782147,407581849
2015-09,50628608,234164384,1461373,286254364
2015-10,575742,233689041,1077584,235342367
2015-11,141385,223610483,1063165,224815032
2015-12,19893,228593151,1063165,229676208
2016-01,3130,221246575,1063214,222312920
