# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Mogens Heinesen Ss Sss, Mouginot region: SE, Mankoff discharge gate (2021): 311, closest NSIDC/MEASUREs ID: 228, distance to closest NSIDC/MEASUREs ID: 13038m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,2655,7332876,488853,7824385
2010-02,32312,6604195,488853,7125360
2010-03,0,7304110,502775,7806885
2010-04,0,7068493,488853,7557347
2010-05,23827722,7304110,847772,31979604
2010-06,91002593,7068493,2077124,100148210
2010-07,117965540,7304110,2454930,127724580
2010-08,121742727,7219178,4798118,133760022
2010-09,101837734,6986301,3763296,112587331
2010-10,15107221,7219178,753606,23080006
2010-11,6466,6986301,493037,7485804
2010-12,4773,7219178,488993,7712944
2011-01,18898,7219178,523056,7761132
2011-02,8188,6520548,489794,7018529
2011-03,1302,7219178,488867,7709347
2011-04,4699,6986301,488909,7479910
2011-05,44422,7134247,489303,7667972
2011-06,44828283,6904110,1304453,53036846
2011-07,126399915,7134247,3979119,137513281
2011-08,75134548,7134247,2851365,85120160
2011-09,21152083,6904110,982614,29038806
2011-10,30303,7134247,504705,7669254
2011-11,16234,6904110,528232,7448575
2011-12,1795,7134247,509475,7645517
2012-01,2150,7134247,488853,7625250
2012-02,2614,6632261,505844,7140719
2012-03,1082,7049315,493736,7544133
2012-04,803,6821918,492529,7315250
2012-05,15362982,7049315,662171,23074468
2012-06,74719828,6821918,2640198,84181943
2012-07,129544662,7049315,4975069,141569045
2012-08,105539430,7049315,4098702,116687447
2012-09,20843694,6821918,828434,28494046
2012-10,2301805,6964384,530335,9796524
2012-11,154203,6739726,522262,7416191
2012-12,653,7006790,527690,7535133
2013-01,8893,7089385,489361,7587639
2013-02,121,6443836,488856,6932813
2013-03,25,7134247,488863,7623135
2013-04,0,6986301,488854,7475155
2013-05,71197,7219178,488853,7779229
2013-06,36816619,7068493,1267921,45153032
2013-07,74123435,7304110,1982036,83409580
2013-08,66108901,7304110,1960802,75373813
2013-09,11309854,7150685,700285,19160824
2013-10,1183788,7389041,515580,9088409
2013-11,11000,7232877,488854,7732731
2013-12,16302,7473973,488853,7979128
2014-01,177,7473973,488880,7963029
2014-02,2535,6827397,488887,7318820
2014-03,903,7558904,488873,8048680
2014-04,0,7397260,488874,7886135
2014-05,13680323,7728767,742341,22151432
2014-06,81428970,7479452,1888142,90796563
2014-07,99010611,7813699,1901216,108725525
2014-08,112270449,7813699,3666666,123750813
2014-09,24032984,7602740,1012308,32648032
2014-10,6238,7898630,490359,8395226
2014-11,417864,7726027,488853,8632745
2014-12,244174,7983562,488853,8716589
2015-01,20,8068493,489062,8557576
2015-02,111,7632877,488853,8121841
2015-03,3,11041096,488853,11529952
2015-04,1,10192879,488853,10681733
2015-05,2179,9852055,488853,10343087
2015-06,34443480,9266315,1126167,44835962
2015-07,70839513,9257534,2706555,82803602
2015-08,73803157,8195890,3025091,85024139
2015-09,33627876,6904110,1357782,41889767
2015-10,65513,7304110,488853,7858476
2015-11,1230,7266780,488853,7756863
2015-12,285,7728767,490710,8219763
2016-01,571,7983562,488858,8472990
2016-02,3769,7642395,488853,8135017
2016-03,13936,8408219,488853,8911009
2016-04,4399,9402729,488853,9895981
2016-05,13487619,10786301,664058,24937979
2016-06,94396397,9175166,2270074,105841636
2016-07,97477928,8238356,3165582,108881866
2016-08,92633777,8535616,3431083,104600476
2016-09,26588487,7890411,1003377,35482275
2016-10,8675954,5826301,721731,15223986
2016-11,2010,6410959,560616,6973585
2016-12,1683,6505753,503143,7010579
2017-01,8385,7915616,488853,8412855
2017-02,5438,7421918,488853,7916209
2017-03,0,9193836,488853,9682689
2017-04,0,8788486,488853,9277339
2017-05,14474471,8974429,785944,24234845
2017-06,45741402,9205479,1331059,56277941
2017-07,100189881,8917808,3133717,112241406
2017-08,85902892,8068493,3454048,97425433
2017-09,32949274,8136986,1387519,42473779
2017-10,4965210,8408219,577076,13950505
2017-11,518,6657534,512463,7170515
2017-12,465,8471918,535726,9008108
2018-01,8054,8663014,493785,9164853
2018-02,20054,7594521,488853,8103428
2018-03,3170,8968767,488853,9460791
2018-04,3404,8342466,488853,8834723
2018-05,52152,7541918,488853,8082923
2018-06,39205370,6493151,1218626,46917147
2018-07,99117503,6200000,2089807,107407310
2018-08,95234194,7325342,3010169,105569706
2018-09,11537431,7178082,737298,19452811
2018-10,89517,8047260,533433,8670211
2018-11,81983,7534247,554686,8170916
2018-12,6880,8578082,489507,9074469
2019-01,209144,7558904,488853,8256902
2019-02,26304,6865753,488853,7380911
2019-03,94557,7332420,488853,7915830
2019-04,44078,7808219,488853,8341151
2019-05,18851950,6624658,932729,26409337
2019-06,62197337,7534247,1621774,71353357
2019-07,88060159,6327397,2411290,96798846
2019-08,70497323,6709589,1644053,78850965
2019-09,35841542,7931507,1252472,45025521
2019-10,7824671,6851142,639579,15315392
2019-11,141118,6945205,489680,7576004
2019-12,286787,8266667,489823,9043277
2020-01,127834,7219178,489654,7836665
2020-02,32215,7587671,493463,8113349
2020-03,45936,8436530,492480,8974947
2020-04,65512,8260274,488853,8814639
2020-05,15485765,8606393,817915,24910073
2020-06,69407125,7068493,1664959,78140577
2020-07,109122165,8068493,3824136,121014794
2020-08,110521869,6539726,4043076,121104672
2020-09,13246501,7095890,764542,21106933
2020-10,789751,6667123,493139,7950013
2020-11,6608,7698630,498803,8204042
2020-12,2882,8493151,488853,8984886
