# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Puisortoq N, Mouginot region: SE, Mankoff discharge gate (2021): 316, closest NSIDC/MEASUREs ID: 196, distance to closest NSIDC/MEASUREs ID: 11272m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,69593,339465411,1688525,341223529
2010-02,2077220,303969751,1698553,307745524
2010-03,0,332846575,1744298,334590874
2010-04,0,290794521,1659711,292454232
2010-05,69510470,336328767,2204116,408043353
2010-06,282372512,327041096,6643781,616057389
2010-07,482621542,372169863,10915553,865706957
2010-08,510363887,340490411,11546786,862401084
2010-09,387948684,323013699,8330046,719292428
2010-10,43088312,327326027,1966267,372380607
2010-11,2698026,309279344,1661048,313638418
2010-12,149843,311094983,1657483,312902308
2011-01,183655,302909841,1673310,304766806
2011-02,67924,268243491,1658888,269970304
2011-03,7454,294967123,1657667,296632244
2011-04,52043,312493151,1657917,314203111
2011-05,2616030,323334247,1676528,327626804
2011-06,137641749,318164384,3624550,459430683
2011-07,497239289,339810959,10633333,847683580
2011-08,325446224,322569863,7389345,655405432
2011-09,76596458,295726027,2434558,374757044
2011-10,782493,303035616,1668797,305486906
2011-11,360880,290707212,1677132,292745225
2011-12,21176,297844391,1667162,299532729
2012-01,1123,295221918,1657348,296880388
2012-02,155,273754588,1665250,275419994
2012-03,31798,290210959,1659619,291902376
2012-04,107,278301370,1678133,279979609
2012-05,39038966,285030137,1933549,326002652
2012-06,336414352,316273973,7656731,660345055
2012-07,641092929,330468493,12473750,984035172
2012-08,530965210,283841096,10415582,825221888
2012-09,60150743,285863014,2270507,348284263
2012-10,23732968,330638356,1793524,356164848
2012-11,937039,301315068,1665495,303917602
2012-12,201141,304447402,1664813,306313356
2013-01,3611,299912008,1659586,301575205
2013-02,1122401,266882192,1657360,269661953
2013-03,1100139,290805479,1657392,293563010
2013-04,113319,272219178,1657350,273989847
2013-05,1343482,292843836,1673198,295860515
2013-06,121926599,293671233,2809227,418407059
2013-07,305958868,308386301,6899056,621244225
2013-08,268166001,316879452,5978335,591023788
2013-09,40126888,290958904,2142312,333228103
2013-10,6513315,289191781,1682922,297388018
2013-11,253975,287671233,1657349,289582557
2013-12,2770,305158904,1657348,306819022
2014-01,56727,313397260,1657448,315111435
2014-02,173453,262663014,1657519,264493986
2014-03,61386,290380822,1657460,292099668
2014-04,18976,280520548,1657466,282196991
2014-05,30265573,289361644,1831808,321459024
2014-06,280576581,288904110,5623086,575103777
2014-07,383478622,318917808,8183961,710580391
2014-08,471197692,302780822,9755304,783733818
2014-09,81756627,296835616,2806567,381398811
2014-10,573554,289956164,1662757,292192476
2014-11,137448,304027397,1658816,305823661
2014-12,22265,303375342,1657904,305055511
2015-01,26146,297854795,1657445,299538386
2015-02,13342,273172603,1657348,274843292
2015-03,3813,308046575,1657348,309707737
2015-04,1666,296320069,1657348,297979083
2015-05,1599395,304436986,1668084,307704466
2015-06,136533618,299963945,3117073,439614636
2015-07,363003431,315223288,8010024,686236743
2015-08,322658522,305541096,7256530,635456149
2015-09,112104777,297534247,3567137,413206161
2015-10,1981867,297047945,1669099,300698911
2015-11,395400,292792207,1657348,294844955
2015-12,76802,307791781,1665539,309534122
2016-01,216627,294754795,1657348,296628769
2016-02,47909,272494455,1657348,274199712
2016-03,5828,289871233,1657348,291534409
2016-04,1382122,280012389,1657348,283051860
2016-05,28223717,289149315,1761339,319134371
2016-06,319397553,288537885,6962452,614897889
2016-07,423817154,306984932,9118924,739921009
2016-08,376374123,307282192,8806377,692462691
2016-09,88560042,279410959,2502349,370473350
2016-10,30376561,272494247,1839660,304710468
2016-11,122847,262397260,1696775,264216882
2016-12,435371,287306301,1663959,289405632
2017-01,355266,271746849,1657348,273759463
2017-02,382558,264810959,1657348,266850865
2017-03,0,291633562,1657348,293290910
2017-04,0,280748926,1657348,282406274
2017-05,38810079,287578082,1840827,328228989
2017-06,183195331,262479452,4272383,449947166
2017-07,394170837,308103196,8816176,711090210
2017-08,358386420,303545205,8739366,670670991
2017-09,115171789,301643836,3231916,420047541
2017-10,14634986,310552055,1807555,326994596
2017-11,59,280767123,1668326,282435509
2017-12,0,285093836,1679145,286772981
2018-01,143129,280528767,1659642,282331538
2018-02,16320,256717808,1657348,258391476
2018-03,75917,296224110,1657348,297957375
2018-04,858003,264945205,1657348,267460557
2018-05,2551001,287340274,1666707,291557982
2018-06,109158147,262315068,2750100,374223315
2018-07,372266535,288455708,8680052,669402295
2018-08,367548368,296389726,8165852,672103946
2018-09,38696206,262219178,1969533,302884918
2018-10,844108,289934932,1678083,292457122
2018-11,945810,275643836,1687968,278277614
2018-12,486172,276536986,1660233,278683391
2019-01,53989,273182192,1657348,274893528
2019-02,228129,263430137,1657348,265315614
2019-03,1004532,276565297,1657348,279227176
2019-04,528312,264767123,1657348,266952783
2019-05,45012709,262310959,1893993,309217661
2019-06,197998407,256082192,4521525,458602124
2019-07,343949658,280953425,10588236,635491318
2019-08,298213773,283699543,6031898,587945215
2019-09,108592120,267246575,2902639,378741334
2019-10,28858918,274696804,1786214,305341935
2019-11,958896,285616438,1665221,288240555
2019-12,836029,291824658,1661626,294322313
2020-01,68837,297288584,1659748,299017170
2020-02,27903,270097260,1677494,271802657
2020-03,17486,293240183,1673348,294931016
2020-04,139502,273493151,1657348,275290000
2020-05,29472209,245282192,1824205,276578606
2020-06,226745366,244356164,5351485,476453015
2020-07,402311530,283161644,10542912,696016086
2020-08,460103204,280273973,9805622,750182798
2020-09,49731936,263068493,2279419,315079848
2020-10,7562366,247702740,1698387,256963493
2020-11,560070,258630137,1659115,260849322
2020-12,128453,276409589,1657348,278195390
