# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Puisortoq S, Mouginot region: SE, Mankoff discharge gate (2021): 319, closest NSIDC/MEASUREs ID: 230, distance to closest NSIDC/MEASUREs ID: 4078m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6603265,54166,6657431
2010-02,0,6526327,54166,6580492
2010-03,0,7728767,54166,7782933
2010-04,0,7972603,54166,8026768
2010-05,0,8663014,119863,8782877
2010-06,0,8876712,248606,9125318
2010-07,0,8408219,290406,8698626
2010-08,0,7304110,278005,7582114
2010-09,0,5424658,272417,5697074
2010-10,0,6454795,81898,6536692
2010-11,0,7190980,54166,7245145
2010-12,0,8468499,54166,8522665
2011-01,0,9484689,54166,9538855
2011-02,0,9292818,54166,9346984
2011-03,0,10701370,54166,10755535
2011-04,0,10520548,54166,10574714
2011-05,0,11126027,54166,11180193
2011-06,0,10849315,154578,11003893
2011-07,0,11210959,281915,11492874
2011-08,0,8238356,240402,8478758
2011-09,0,6904110,111381,7015491
2011-10,0,6030137,54166,6084303
2011-11,0,6331582,54166,6385748
2011-12,0,7626218,54166,7680384
2012-01,0,8747945,54166,8802111
2012-02,0,9043397,54166,9097563
2012-03,0,10531507,54166,10585672
2012-04,0,11095890,54166,11150056
2012-05,0,12315068,86936,12402004
2012-06,0,9945205,210057,10155262
2012-07,0,9427397,302912,9730309
2012-08,0,6454795,291552,6746347
2012-09,0,7232877,111917,7344794
2012-10,0,7643836,78814,7722649
2012-11,0,8136986,54166,8191152
2012-12,0,8325481,54166,8379647
2013-01,0,8143837,54166,8198002
2013-02,0,7210959,54166,7265125
2013-03,0,7898630,54166,7952796
2013-04,0,8958904,54166,9013070
2013-05,0,8917808,54166,8971974
2013-06,0,8301370,174782,8476152
2013-07,0,8238356,227348,8465704
2013-08,0,7898630,183431,8082061
2013-09,0,6082192,79914,6162106
2013-10,0,6369863,56081,6425944
2013-11,0,5342466,54166,5396631
2013-12,0,6284932,54166,6339097
2014-01,0,5860274,54166,5914440
2014-02,0,4909589,54166,4963755
2014-03,0,6624658,54166,6678823
2014-04,0,7643836,54166,7698001
2014-05,0,9172603,72574,9245177
2014-06,0,9945205,239503,10184709
2014-07,0,8747945,243416,8991361
2014-08,0,8068493,268068,8336562
2014-09,0,6945205,126213,7071419
2014-10,0,6624658,54166,6678823
2014-11,0,5013699,54166,5067864
2014-12,0,8960274,54166,9014440
2015-01,0,9554795,54166,9608960
2015-02,0,8975342,54166,9029508
2015-03,0,8450685,54166,8504851
2015-04,0,7557057,54166,7611222
2015-05,0,7558904,54166,7613070
2015-06,0,7483494,164733,7648227
2015-07,0,7898630,244903,8143533
2015-08,0,7643836,237829,7881664
2015-09,0,7808219,142129,7950348
2015-10,0,6284932,54315,6339246
2015-11,0,6734840,54166,6789006
2015-12,0,7601370,54166,7655535
2016-01,0,6624658,54166,6678823
2016-02,0,5372088,54166,5426254
2016-03,0,5308219,54166,5362385
2016-04,0,5683247,54166,5737413
2016-05,0,6709589,70914,6780504
2016-06,0,7031026,271238,7302264
2016-07,0,7771233,244127,8015360
2016-08,0,8323288,246137,8569425
2016-09,0,7232877,138174,7371051
2016-10,0,5282740,79825,5362565
2016-11,0,5917808,54166,5971974
2016-12,0,7287123,54166,7341289
2017-01,0,6030137,54166,6084303
2017-02,0,7057534,54166,7111700
2017-03,0,8323288,54166,8377453
2017-04,0,8461914,54166,8516080
2017-05,0,8946119,94238,9040357
2017-06,0,6986301,182067,7168369
2017-07,0,7785388,275618,8061006
2017-08,0,7558904,228876,7787780
2017-09,0,7397260,143492,7540752
2017-10,0,7643836,67283,7711119
2017-11,0,4931507,54166,4985673
2017-12,0,6794521,54166,6848686
2018-01,0,6913425,54166,6967590
2018-02,0,5561644,54166,5615809
2018-03,0,7355068,54166,7409234
2018-04,0,6739726,54166,6793892
2018-05,0,5163836,54166,5218001
2018-06,0,4397260,152808,4550068
2018-07,0,4473059,233587,4706647
2018-08,0,5350685,232192,5582877
2018-09,0,5287671,81506,5369178
2018-10,0,4034247,54166,4088412
2018-11,0,5616438,54166,5670604
2018-12,0,7473973,54166,7528138
2019-01,0,4798630,54166,4852796
2019-02,0,5676712,54166,5730878
2019-03,0,5067580,54166,5121746
2019-04,0,4739726,54166,4793892
2019-05,0,5350685,82434,5433119
2019-06,0,5671233,202292,5873525
2019-07,0,5393151,248335,5641486
2019-08,0,5803653,192347,5996000
2019-09,0,7273973,145389,7419361
2019-10,0,6454795,73751,6528546
2019-11,0,6739726,54166,6793892
2019-12,0,6341553,54166,6395718
2020-01,0,5350685,54166,5404851
2020-02,0,6475342,54166,6529508
2020-03,0,5860274,54166,5914440
2020-04,0,4315068,54166,4369234
2020-05,0,4926027,80511,5006539
2020-06,0,5054795,233461,5288256
2020-07,0,6115068,251802,6366870
2020-08,0,6115068,289092,6404160
2020-09,0,5643836,95358,5739193
2020-10,0,6709589,54866,6764456
2020-11,0,5068493,54166,5122659
2020-12,0,5647945,54166,5702111
