# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Napasorsuaq N, Mouginot region: SE, Mankoff discharge gate (2021): 320, closest NSIDC/MEASUREs ID: 231, distance to closest NSIDC/MEASUREs ID: 4184m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,3351,53866930,465744,54336025
2010-02,5586,42850405,467501,43323491
2010-03,63463,42380822,485874,42930160
2010-04,3015,36328767,453977,36785759
2010-05,53730045,32868493,802918,87401456
2010-06,198768127,27123288,2328762,228220177
2010-07,320062290,41956164,4259297,366277751
2010-08,359236295,40852055,4156072,404244421
2010-09,192781676,24657534,2452399,219891608
2010-10,17000000,45523288,564320,63087608
2010-11,948191,43050142,453304,44451638
2010-12,4570,42120431,453058,42578059
2011-01,121987,39232805,453012,39807805
2011-02,23653,33302737,453443,33779834
2011-03,2146,36010959,453118,36466222
2011-04,2299,50712329,453144,51167772
2011-05,1142102,45778082,453127,47373311
2011-06,119946529,42739726,1491223,164177479
2011-07,306736467,41701370,3526537,351964374
2011-08,219975655,35416438,2706579,258098673
2011-09,35209387,44054795,741554,80005735
2011-10,237717,55375342,453085,56066145
2011-11,3180,53213195,453132,53669507
2011-12,2921,54170410,453104,54626434
2012-01,120,53336986,453012,53790118
2012-02,100,49280000,453012,49733113
2012-03,4,52063014,453012,52516030
2012-04,0,49726027,458384,50184411
2012-05,39599765,50704110,704531,91008406
2012-06,302506638,47342466,3093634,352942738
2012-07,452771894,41701370,5080936,499554200
2012-08,375088971,38219178,4300811,417608961
2012-09,41382266,32876712,775720,75034698
2012-10,11361081,57328767,524430,69214278
2012-11,1411380,36000000,453012,37864392
2012-12,5292,34503110,453012,34961415
2013-01,2367,33098032,453012,33553411
2013-02,9585,28690411,453012,29153008
2013-03,3744,30235616,453012,30692372
2013-04,2572,41424658,453012,41880242
2013-05,63347,40257534,453012,40773893
2013-06,87971141,34684932,1129466,123785539
2013-07,236550116,31509589,2744264,270803969
2013-08,189673949,33038356,2147378,224859684
2013-09,25666911,38465753,680068,64812733
2013-10,2792293,37030137,464927,40287357
2013-11,21447,35095890,453012,35570350
2013-12,15157,32528767,453012,32996936
2014-01,34964,36860274,453023,37348261
2014-02,7743,32986301,453022,33447067
2014-03,0,25734247,453023,26187270
2014-04,3172,30246575,453023,30702770
2014-05,22265417,36180822,575590,59021829
2014-06,187128433,30082192,2070026,219280650
2014-07,307922859,28791781,3529794,340244433
2014-08,343200145,32698630,3745187,379643962
2014-09,42223286,38794521,871804,81889611
2014-10,153087,35756164,453747,36362998
2014-11,14060,37150685,453612,37618356
2014-12,10896,31679452,453240,32143587
2015-01,106282,28069863,453012,28629157
2015-02,31575,35479452,453012,35964039
2015-03,13022,35076712,453012,35542746
2015-04,12090,34682067,453012,35147169
2015-05,1050694,36563014,453012,38066720
2015-06,107783514,34888141,1339640,144011295
2015-07,257627193,35289041,3130649,296046883
2015-08,219670910,34779452,2583616,257033978
2015-09,70939775,34931507,1170613,107041895
2015-10,146903,33293151,453012,33893066
2015-11,10918,33924485,453012,34388415
2015-12,119,36732877,453012,37186008
2016-01,11502,32528767,453012,32993282
2016-02,8596,26225545,453012,26687154
2016-03,4861,25691781,453012,26149654
2016-04,1003992,25897319,453012,27354324
2016-05,24898583,28536986,608224,54043794
2016-06,245730168,29263146,2670719,277664034
2016-07,313879987,31849315,3358586,349087887
2016-08,229898952,33208219,3022198,266129369
2016-09,44822998,34068493,839821,79731312
2016-10,11672115,29318356,566505,41556977
2016-11,33022,24041096,454921,24529039
2016-12,4225,30626301,453012,31083538
2017-01,1980,23526027,453012,23981020
2017-02,0,24068493,453012,24521505
2017-03,1267,21933562,453012,22387841
2017-04,108,20100983,453012,20554103
2017-05,35983486,19505936,703803,56193224
2017-06,148505115,8712329,1726292,158943736
2017-07,271587555,14466667,3209992,289264214
2017-08,269398482,34397260,3210942,307006685
2017-09,87902257,33041096,1231138,122174491
2017-10,16509973,35246575,598728,52355277
2017-11,6826,23835616,453016,24295459
2017-12,0,19831507,453012,20284519
2018-01,97639,25224658,453012,25775308
2018-02,10292,24854795,453012,25318099
2018-03,48485,28401096,453012,28902593
2018-04,107099,16890411,453012,17450522
2018-05,798959,15899178,453012,17151150
2018-06,101415563,6904110,1244100,109563773
2018-07,319879278,8634703,3567545,332081526
2018-08,231464605,17304795,2821637,251591036
2018-09,20758082,12931507,556888,34246477
2018-10,1823,22697945,453012,23152780
2018-11,97401,17506849,453012,18057262
2018-12,133477,21360274,453012,21946764
2019-01,17797,15202740,453012,15673549
2019-02,38134,11276712,453012,11767859
2019-03,308980,12371689,453012,13133682
2019-04,0,11643836,453012,12096848
2019-05,34129624,6794521,654050,41578195
2019-06,164221958,3452055,1865849,169539862
2019-07,285008370,10021918,3792037,298822325
2019-08,200128613,8634703,2244892,211008208
2019-09,61155413,7808219,953873,69917506
2019-10,11035340,16391781,516125,27943247
2019-11,121050,18657534,454612,19233196
2019-12,2390,18118721,453012,18574124
2020-01,1004,15995434,453013,16449451
2020-02,5470,15334247,453015,15792732
2020-03,3681,16589954,453012,17046648
2020-04,926,13191781,453012,13645719
2020-05,23900023,7049315,636998,31586337
2020-06,183443151,1849315,2365798,187658264
2020-07,345947380,2774429,4077152,352798961
2020-08,304524296,6242466,3557758,314324520
2020-09,32647643,7945205,739094,41331943
2020-10,4255715,10701370,458746,15415831
2020-11,185128,13479452,453012,14117592
2020-12,73982,11423288,453012,11950282
