# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Napasorsuaq C S, Mouginot region: SE, Mankoff discharge gate (2021): 325, closest NSIDC/MEASUREs ID: 198, distance to closest NSIDC/MEASUREs ID: 5370m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,623287,15554,638841
2010-02,66871,543921,15554,626347
2010-03,0,594521,15554,610075
2010-04,0,575342,15554,590897
2010-05,41808321,594521,167625,42570467
2010-06,124206313,575342,615900,125397556
2010-07,153488880,594521,719217,154802617
2010-08,169948884,594521,750360,171293764
2010-09,125098974,575342,573068,126247385
2010-10,13123559,594521,67697,13785776
2010-11,2049503,566372,15554,2631430
2010-12,997,564138,15554,580689
2011-01,0,538356,15554,553910
2011-02,0,467209,15554,482763
2011-03,0,509589,15554,525143
2011-04,0,493151,15554,508705
2011-05,257917,509589,15554,783060
2011-06,66860162,493151,307206,67660518
2011-07,159881982,509589,709694,161101265
2011-08,128599695,509589,632128,129741412
2011-09,26027918,493151,107919,26628987
2011-10,50833,509589,15554,575976
2011-11,4753,493151,15554,513458
2011-12,0,509589,15554,525143
2012-01,0,509589,15554,525143
2012-02,0,476712,15554,492267
2012-03,0,509589,15554,525143
2012-04,0,493151,15554,508705
2012-05,25916983,509589,77966,26504537
2012-06,116879019,493151,520787,117892957
2012-07,196199166,509589,784733,197493489
2012-08,175981879,424658,714226,177120762
2012-09,35388652,410959,136164,35935775
2012-10,11667099,424658,40759,12132515
2012-11,241599,410959,15554,668112
2012-12,0,424658,15554,440212
2013-01,0,424658,15554,440212
2013-02,0,383562,15554,399116
2013-03,0,424658,15554,440212
2013-04,0,410959,15554,426513
2013-05,161239,424658,15554,601451
2013-06,51617743,410959,243948,52272650
2013-07,116645516,424658,567250,117637423
2013-08,92161292,424658,358420,92944369
2013-09,18508000,410959,58371,18977330
2013-10,2206753,424658,15554,2646964
2013-11,0,410959,15554,426513
2013-12,0,339726,15554,355280
2014-01,0,339726,15554,355280
2014-02,0,306849,15554,322404
2014-03,0,339726,15554,355280
2014-04,1452,328767,15554,345773
2014-05,9947415,339726,25415,10312556
2014-06,118633644,328767,571359,119533771
2014-07,132348298,339726,619671,133307695
2014-08,142794985,339726,603867,143738578
2014-09,36070392,328767,198167,36597326
2014-10,4779,339726,15554,360060
2014-11,0,328767,15554,344321
2014-12,0,339726,15554,355280
2015-01,0,339726,15554,355280
2015-02,0,306849,15554,322404
2015-03,0,254795,15554,270349
2015-04,0,141182,15554,156736
2015-05,258,84932,15554,100744
2015-06,59926649,587468,319551,60833668
2015-07,117865007,1104110,631860,119600977
2015-08,113512640,1019178,583941,115115760
2015-09,47723159,1315068,274879,49313106
2015-10,489087,127397,15554,632039
2015-11,0,205858,15554,221412
2015-12,0,339726,15554,355280
2016-01,0,424658,15554,440212
2016-02,0,513954,15554,529508
2016-03,0,679452,15554,695006
2016-04,54558,783094,15554,853206
2016-05,17234903,934247,22957,18192107
2016-06,145735015,1036474,680835,147452325
2016-07,135796909,1189041,601858,137587809
2016-08,125193672,1273973,603296,127070941
2016-09,37566476,1027397,180286,38774159
2016-10,8251919,934247,21618,9207784
2016-11,0,1109589,15554,1125143
2016-12,23577,1121096,15554,1160227
2017-01,0,662466,15554,678020
2017-02,0,1150685,15554,1166239
2017-03,0,1061644,15554,1077198
2017-04,0,1118628,15554,1134182
2017-05,16449790,1245662,88219,17783672
2017-06,80064071,287671,438631,80790373
2017-07,141078791,1160731,639561,142879083
2017-08,126050257,1273973,616486,127940716
2017-09,48268796,1479452,211244,49959492
2017-10,7877259,1273973,58177,9209409
2017-11,996,904110,15554,920660
2017-12,0,1380137,15554,1395691
2018-01,0,1511781,15554,1527335
2018-02,0,1438356,15554,1453910
2018-03,0,1545753,15554,1561308
2018-04,37922,1520548,15554,1574024
2018-05,159755,1511781,15554,1687090
2018-06,61659334,616438,297663,62573436
2018-07,135345540,368037,590570,136304147
2018-08,115090514,700685,501017,116292216
2018-09,14287323,602740,45400,14935462
2018-10,490,934247,15554,950290
2018-11,0,1780822,15554,1796376
2018-12,0,1592466,15554,1608020
2019-01,0,1146575,15554,1162130
2019-02,0,652055,15554,667609
2019-03,0,651142,15554,666696
2019-04,52637,767123,15554,835315
2019-05,14260905,679452,29822,14970179
2019-06,97164413,493151,518982,98176546
2019-07,130434695,424658,643907,131503260
2019-08,104528793,736073,400222,105665088
2019-09,46431689,821918,188313,47441919
2019-10,8408936,934247,21871,9365053
2019-11,2926,1643836,15554,1662316
2019-12,286,1585388,15554,1601228
2020-01,0,1415525,15554,1431079
2020-02,0,1271233,15554,1286787
2020-03,0,1698630,15554,1714184
2020-04,0,1315068,15554,1330623
2020-05,12758191,651142,27636,13436969
2020-06,108904663,205479,581594,109691736
2020-07,142208743,254795,612545,143076082
2020-08,150565567,297260,749584,151612410
2020-09,28294888,904110,127739,29326737
2020-10,4966776,1231507,15554,6213837
2020-11,0,958904,15554,974458
2020-12,0,976712,15554,992267
