# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Anorituup Kangerlua, Mouginot region: SE, Mankoff discharge gate (2021): 329, closest NSIDC/MEASUREs ID: 199, distance to closest NSIDC/MEASUREs ID: 6041m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,77331908,801757,78133665
2010-02,0,70987168,801757,71788925
2010-03,0,79580822,801757,80382579
2010-04,0,77917808,801757,78719565
2010-05,2253473,81449315,1648851,85351640
2010-06,4621936,79808219,3659587,88089742
2010-07,5439427,72021918,10926144,88387489
2010-08,5476508,82213699,11757368,99447575
2010-09,4208457,83095890,4551431,91855778
2010-10,588363,89347945,973419,90909728
2010-11,1120,88773879,811016,89586015
2010-12,0,93839188,802470,94641658
2011-01,0,95614419,801757,96416176
2011-02,0,87419870,801757,88221627
2011-03,0,97161644,801757,97963401
2011-04,0,90904110,801757,91705867
2011-05,6334,87054795,801757,87862886
2011-06,2965257,91397260,2906475,97268993
2011-07,5964032,78476712,8893323,93334068
2011-08,3997998,97076712,7129706,108204416
2011-09,1035328,80547945,1124083,82707356
2011-10,7967,86969863,801757,87779587
2011-11,0,85302723,801757,86104480
2011-12,0,88825121,801757,89626878
2012-01,0,89517808,801757,90319565
2012-02,0,84512578,801757,85314335
2012-03,0,91131507,801757,91933264
2012-04,0,89095890,801757,89897647
2012-05,1136103,92830137,1370917,95337158
2012-06,4721681,88356164,8106726,101184571
2012-07,6095076,83742466,16117499,105955041
2012-08,5259493,87904110,12338685,105502288
2012-09,1684287,71506849,1510505,74701641
2012-10,352719,74230137,815094,75397949
2012-11,12197,77589041,838096,78439334
2012-12,0,80154139,801757,80955896
2013-01,0,80112842,801757,80914599
2013-02,0,72339726,801757,73141483
2013-03,0,80090411,801757,80892168
2013-04,0,76356164,801757,77157921
2013-05,159338,78646575,801757,79607670
2013-06,3408252,73232877,2157021,78798150
2013-07,4393216,82213699,7467460,94074374
2013-08,4192537,75249315,6001751,85443603
2013-09,1045985,79561644,1286856,81894484
2013-10,160010,86884932,803225,87848166
2013-11,0,81863014,801760,82664774
2013-12,0,81873973,801757,82675730
2014-01,0,82553425,801757,83355182
2014-02,0,75945205,801757,76746962
2014-03,0,83572603,801757,84374360
2014-04,0,78575342,801757,79377099
2014-05,1059317,86545205,1279360,88883883
2014-06,4185314,78164384,4796554,87146251
2014-07,5085334,78646575,10997771,94729681
2014-08,5648520,79495890,10915667,96060077
2014-09,1219710,78780822,1608534,81609066
2014-10,0,84421918,801757,85223675
2014-11,0,81616438,801757,82418195
2014-12,0,84931507,801757,85733264
2015-01,0,89305479,801757,90107236
2015-02,0,81123288,801757,81925045
2015-03,0,87819178,801757,88620935
2015-04,0,86165279,801757,86967036
2015-05,11016,90197260,808997,91017273
2015-06,2546587,85415520,2685586,90647693
2015-07,4779335,85271233,8978373,99028941
2015-08,4010296,83020548,6495498,93526342
2015-09,1967299,87863014,2721127,92551439
2015-10,0,81958904,801757,82760661
2015-11,0,78338902,801757,79140658
2015-12,0,80642466,801757,81444223
2016-01,0,80939726,801757,81741483
2016-02,0,74383037,801757,75184794
2016-03,0,78221918,801757,79023675
2016-04,50149,80351382,801757,81203288
2016-05,1292111,87606849,1148372,90047332
2016-06,5127531,79783145,5920177,90830853
2016-07,5478737,76056164,9879806,91414708
2016-08,3889223,73890411,6554271,84333904
2016-09,1547573,77054795,1338407,79940774
2016-10,426587,72667397,814508,73908492
2016-11,0,71301370,801757,72103127
2016-12,0,80192329,801757,80994086
2017-01,0,82417534,801757,83219291
2017-02,0,81046575,801757,81848332
2017-03,0,85292466,801757,86094223
2017-04,0,83920079,801757,84721836
2017-05,1216498,88073973,1405897,90696367
2017-06,3804190,72410959,3633124,79848273
2017-07,5958867,89772603,8427185,104158655
2017-08,4316402,93339726,9211666,106867794
2017-09,1893914,94520548,3158172,99572634
2017-10,412522,89432877,1086211,90931610
2017-11,13,76356164,802302,77158479
2017-12,0,91110274,801757,91912031
2018-01,0,88617534,801757,89419291
2018-02,0,79953425,801757,80755182
2018-03,0,89772603,801757,90574360
2018-04,0,77630137,801757,78431894
2018-05,0,90978630,801757,91780387
2018-06,2824937,74219178,2331904,79376020
2018-07,5267632,81081279,11164184,97513095
2018-08,3948077,81767808,6956744,92672629
2018-09,677185,65726027,916145,67319357
2018-10,0,84188356,801757,84990113
2018-11,0,79315068,801758,80116826
2018-12,0,86651370,801757,87453127
2019-01,0,89135616,801757,89937373
2019-02,0,80049315,801757,80851072
2019-03,0,91301370,801757,92103127
2019-04,0,88301370,801757,89103127
2019-05,1362721,87861644,1108433,90332798
2019-06,3703885,85479452,4456047,93639384
2019-07,4876037,77797260,10105560,92778857
2019-08,4073710,77712329,5626257,87412295
2019-09,2084667,76767123,1799951,80651741
2019-10,417194,83459361,808917,84685472
2019-11,20,88931507,801757,89733284
2019-12,3,95066667,801757,95868427
2020-01,0,107523288,801757,108325045
2020-02,0,112067123,801757,112868880
2020-03,0,117233790,801757,118035547
2020-04,0,110383562,801757,111185319
2020-05,1130849,114006393,1106833,116244075
2020-06,4917009,103602740,5241858,113761607
2020-07,5883948,103871233,12486982,122242163
2020-08,5547456,99454795,9802729,114804980
2020-09,1222225,98602740,1447943,101272908
2020-10,212961,110410959,812826,111436746
2020-11,0,109342466,801757,110144223
2020-12,0,112789041,801757,113590798
