# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Anorituup Kangerlua S, Mouginot region: SE, Mankoff discharge gate (2021): 331, closest NSIDC/MEASUREs ID: 233, distance to closest NSIDC/MEASUREs ID: 3656m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,7050,52326929,171719,52505698
2010-02,130814,47199218,171719,47501751
2010-03,354,52232877,171719,52404950
2010-04,181,50547945,171719,50719846
2010-05,95321278,52147945,1238502,148707726
2010-06,282440355,50383562,4045812,336869728
2010-07,397199066,51978082,9156263,458333411
2010-08,469457797,51893151,9624680,530975628
2010-09,257748734,50136986,4198370,312084090
2010-10,18939307,51723288,403789,71066383
2010-11,1138337,49982528,174122,51294988
2010-12,10738,51583094,171719,51765551
2011-01,79425,51517798,171719,51768942
2011-02,121597,46471246,171719,46764562
2011-03,15000,51383562,171719,51570281
2011-04,0,49643836,171719,49815555
2011-05,640918,51213699,171719,52026335
2011-06,158949138,49479452,2917358,211345948
2011-07,405331201,51043836,8131117,464506154
2011-08,297753788,51043836,6207770,355005394
2011-09,43679451,49315068,653330,93647850
2011-10,192467,50873973,171719,51238159
2011-11,132,49143037,171719,49314888
2011-12,113,50692008,171719,50863840
2012-01,36037,50619178,171725,50826940
2012-02,16099,47313294,171721,47501115
2012-03,0,50534247,171719,50705966
2012-04,24498,48821918,171719,49018135
2012-05,64173141,50364384,965663,115503187
2012-06,326053550,48657534,7081045,381792129
2012-07,566619411,50194521,12097968,628911899
2012-08,451556601,50109589,9459672,511125862
2012-09,73559208,48410959,1175194,123145361
2012-10,9325761,49939726,208210,59473697
2012-11,1358962,48246575,215960,49821497
2012-12,991,49865688,171719,50038399
2013-01,716,49895983,171719,50068418
2013-02,916,45106849,171719,45279485
2013-03,1310,50024658,171719,50197687
2013-04,129560,48410959,171719,48712238
2013-05,1575438,50024658,171719,51771815
2013-06,129569508,48493151,1989419,180052077
2013-07,314748386,50109589,6800035,371658009
2013-08,251535427,50109589,5056424,306701440
2013-09,46696964,48575342,813702,96086009
2013-10,5601830,50194521,180181,55976532
2013-11,25617,48575342,171722,48772682
2013-12,10325,50279452,171719,50461496
2014-01,4824,50279452,171719,50455996
2014-02,4356,45413699,171719,45589774
2014-03,4817,50279452,171719,50455989
2014-04,6563,48739726,171719,48918008
2014-05,41090362,50364384,844304,92299050
2014-06,272335409,48739726,5067289,326142424
2014-07,380968759,50364384,9100831,440433974
2014-08,428625256,50364384,9345270,488334909
2014-09,73732492,48904110,1282720,123919322
2014-10,32160,50958904,171719,51162783
2014-11,6538,49726027,171719,49904285
2014-12,5354,51808219,171719,51985292
2015-01,387470,44461644,171719,45020833
2015-02,48432,46794521,171719,47014671
2015-03,29330,52063014,171719,52264063
2015-04,3063,50652290,171719,50827072
2015-05,570341,52487671,185952,53243964
2015-06,144507481,44920684,2632226,192060391
2015-07,323433488,40639726,7856691,371929905
2015-08,304003132,42423288,6027321,352453740
2015-09,113377312,48410959,2196867,163985138
2015-10,205595,45905479,171719,46282794
2015-11,4956,44067469,171719,44244145
2015-12,425,45183562,171719,45355705
2016-01,0,41786301,171719,41958021
2016-02,0,41196846,171719,41368566
2016-03,0,46075342,171719,46247062
2016-04,383656,43231498,171719,43786874
2016-05,43406620,42380822,630455,86417896
2016-06,354088832,38573081,6173651,398835564
2016-07,366830348,38346575,8264806,413441729
2016-08,298054383,38304110,5898208,342256701
2016-09,59684450,44383562,923600,104991611
2016-10,11573381,46491507,215911,58280798
2016-11,455,45534247,171719,45706421
2016-12,275517,45506301,171719,45953538
2017-01,4498,48343014,171719,48519231
2017-02,582,44838356,171719,45010658
2017-03,476,48262329,171719,48434524
2017-04,4839,46215608,171719,46392166
2017-05,48065370,47136986,925563,96127920
2017-06,209495497,40356164,3755646,253607307
2017-07,373259035,44249315,7769139,425277488
2017-08,374125205,46967123,7582200,428674529
2017-09,124674682,47589041,2517738,174781461
2017-10,24537649,47391781,563970,72493400
2017-11,57866,39082192,171725,39311783
2017-12,49171,44843836,171719,45064726
2018-01,3,43315068,171719,43486791
2018-02,0,37147945,171719,37319664
2018-03,0,46797260,171719,46968980
2018-04,288806,42575342,171719,43035868
2018-05,246640,41650411,171719,42068770
2018-06,155544877,34684932,2259524,192489333
2018-07,396409053,32840183,9481662,438730897
2018-08,292362120,38643836,6008835,337014791
2018-09,22926958,37013699,350116,60290773
2018-10,43156,43527397,171719,43742273
2018-11,35200,42657534,171720,42864454
2018-12,187242,47200685,171719,47559646
2019-01,2647,38686301,171719,38860668
2019-02,4678,36975342,171719,37151740
2019-03,3340,40314155,171719,40489215
2019-04,426583,36821918,171719,37420220
2019-05,33168614,36010959,628981,69808554
2019-06,236930735,33643836,4553365,275127935
2019-07,358038027,36393151,8106730,402537908
2019-08,250112489,38021005,4862162,292995656
2019-09,93484558,39698630,1547432,134730620
2019-10,14279571,46089498,201839,60570908
2019-11,3726,44260274,171719,44435719
2019-12,4513,46684018,171719,46860250
2020-01,2422,52034703,171719,52208845
2020-02,199228,49856164,171719,50227112
2020-03,34171,43768037,171719,43973926
2020-04,3757,47589041,171719,47764518
2020-05,31554798,41871233,607375,74033406
2020-06,283036656,35506849,5455240,323998746
2020-07,451385577,36633790,10404660,498424027
2020-08,431188713,41064384,8463417,480716513
2020-09,68805430,40630137,1031442,110467008
2020-10,7650677,41021918,183948,48856543
2020-11,20260,42493151,171719,42685130
2020-12,436,44376712,171719,44548867
