# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Anorituup Kangerlua Ss, Mouginot region: SE, Mankoff discharge gate (2021): 334, closest NSIDC/MEASUREs ID: 233, distance to closest NSIDC/MEASUREs ID: 13902m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6030137,0,6030137
2010-02,988240,5446575,0,6434815
2010-03,1,6030137,0,6030138
2010-04,0,5835616,0,5835617
2010-05,17534664,6030137,123354,23688155
2010-06,75503212,5835616,315346,81654174
2010-07,86181341,6030137,421065,92632543
2010-08,86722506,6030137,377911,93130554
2010-09,62015247,5835616,302978,68153841
2010-10,8150260,6030137,35583,14215980
2010-11,1586832,5835616,3459,7425907
2010-12,3670,6030137,0,6033807
2011-01,0,6030137,0,6030137
2011-02,0,5446575,0,5446575
2011-03,0,6030137,0,6030137
2011-04,0,5835616,0,5835617
2011-05,1674871,6030137,0,7705008
2011-06,35146521,5835616,196130,41178268
2011-07,89812746,6030137,450326,96293208
2011-08,64944758,6030137,312836,71287731
2011-09,17665442,5835616,75677,23576735
2011-10,253571,6030137,0,6283708
2011-11,181,5835616,0,5835798
2011-12,0,6030137,0,6030137
2012-01,0,6030137,0,6030137
2012-02,0,5641096,0,5641096
2012-03,0,6030137,0,6030137
2012-04,225497,5835616,0,6061114
2012-05,11066339,6030137,68532,17165008
2012-06,62397665,5753425,270836,68421925
2012-07,107391673,5945205,460183,113797061
2012-08,80947089,5945205,411862,87304156
2012-09,15726179,5753425,116981,21596585
2012-10,4533044,5945205,26443,10504693
2012-11,276312,5753425,738,6030474
2012-12,0,5945205,0,5945206
2013-01,0,5945205,0,5945206
2013-02,0,5369863,0,5369863
2013-03,0,5945205,0,5945206
2013-04,0,5753425,0,5753425
2013-05,1790919,5945205,0,7736125
2013-06,23398461,5753425,197267,29349154
2013-07,76223178,5945205,288487,82456871
2013-08,51486912,5945205,274175,57706292
2013-09,10397033,5753425,63068,16213525
2013-10,3213751,5945205,4169,9163126
2013-11,0,5753425,0,5753425
2013-12,0,5945205,0,5945206
2014-01,0,5945205,0,5945206
2014-02,0,5369863,0,5369863
2014-03,0,5945205,0,5945206
2014-04,8106,5753425,0,5761531
2014-05,10662467,5945205,56190,16663863
2014-06,57788440,5753425,295729,63837594
2014-07,81899007,5945205,386817,88231029
2014-08,71286379,5945205,418503,77650087
2014-09,19699568,5753425,114126,25567119
2014-10,46150,5945205,0,5991356
2014-11,0,5753425,0,5753425
2014-12,0,5945205,0,5945206
2015-01,0,5945205,0,5945206
2015-02,0,5369863,0,5369863
2015-03,0,6921918,0,6921918
2015-04,0,7839935,0,7839935
2015-05,868771,8747945,1068,9617784
2015-06,35172657,8198680,193900,43565237
2015-07,74257620,8068493,379674,82705787
2015-08,56985391,7813699,311337,65110426
2015-09,26040532,5589041,142192,31771765
2015-10,684390,8323288,0,9007678
2015-11,4186,7316843,0,7321029
2015-12,0,6327397,0,6327397
2016-01,0,5265753,0,5265754
2016-02,0,4366947,0,4366947
2016-03,0,4416438,0,4416438
2016-04,199599,5347685,0,5547284
2016-05,8163578,6582192,56792,14802562
2016-06,70969302,5211938,340841,76522081
2016-07,82992479,4246575,374034,87613088
2016-08,61265557,6497260,333331,68096149
2016-09,15757653,5753425,117599,21628677
2016-10,6289085,4059726,24748,10373559
2016-11,275,3780822,0,3781097
2016-12,1539856,3210411,0,4750267
2017-01,0,3906849,0,3906849
2017-02,0,3106849,0,3106849
2017-03,0,4395205,0,4395206
2017-04,0,3407789,0,3407789
2017-05,9231644,2689498,77964,11999106
2017-06,47688029,3082192,226518,50996739
2017-07,79549090,4020091,432595,84001776
2017-08,62278470,6836986,307395,69422851
2017-09,22856638,5342466,134057,28333161
2017-10,3298140,6921918,24622,10244680
2017-11,110336,2630137,0,2740474
2017-12,303,3354795,0,3355097
2018-01,0,2564932,0,2564932
2018-02,0,3950685,0,3950685
2018-03,0,3329315,0,3329315
2018-04,1616668,3369863,0,4986531
2018-05,885346,3567123,0,4452469
2018-06,23903045,3205479,190539,27299063
2018-07,78921976,3736986,326998,82985960
2018-08,60956705,4692466,324136,65973307
2018-09,12541758,3150685,36188,15728631
2018-10,5802,3949315,0,3955117
2018-11,3594,3616438,0,3620032
2018-12,0,4713699,0,4713699
2019-01,0,2165753,0,2165754
2019-02,0,2838356,0,2838356
2019-03,0,2859361,0,2859361
2019-04,851640,4657534,0,5509174
2019-05,16070813,3609589,71759,19752161
2019-06,41549096,1616438,246696,43412231
2019-07,81324825,1571233,337001,83233059
2019-08,54718647,2321461,308126,57348235
2019-09,21807158,986301,164785,22958245
2019-10,8747610,3255708,16790,12020107
2019-11,0,3246575,0,3246575
2019-12,0,3963470,0,3963470
2020-01,0,3595434,0,3595434
2020-02,0,3773973,0,3773973
2020-03,0,3284018,0,3284018
2020-04,0,2506849,0,2506849
2020-05,10222988,2321461,63043,12607492
2020-06,56154893,3000000,317457,59472350
2020-07,78690149,2944292,413138,82047580
2020-08,80464801,4926027,390521,85781350
2020-09,14761452,3506849,77959,18346260
2020-10,4214083,1146575,4221,5364880
2020-11,72163,2082192,0,2154355
2020-12,0,3821918,0,3821918
