# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Herluf Trolle N, Mouginot region: SE, Mankoff discharge gate (2021): 336, closest NSIDC/MEASUREs ID: 201, distance to closest NSIDC/MEASUREs ID: 4842m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,33968,97954023,1443297,99431289
2010-02,249221,94815622,1443297,96508140
2010-03,12152,110495890,1443297,111951340
2010-04,11273,112027397,1443297,113481967
2010-05,91051247,120942466,1998997,213992709
2010-06,254974736,102410959,6029156,363414850
2010-07,373943769,91216438,8650717,473810925
2010-08,462497182,109052055,11040150,582589387
2010-09,234051531,97068493,5616755,336736779
2010-10,19407185,91810959,1588305,112806449
2010-11,2201151,89109312,1443297,92753761
2010-12,39377,92882228,1443298,94364903
2011-01,76196,94320596,1443297,95840089
2011-02,133476,87095409,1443297,88672182
2011-03,16457,98945205,1443297,100404959
2011-04,0,106767123,1443297,108210421
2011-05,2399085,93849315,1443297,97691698
2011-06,143050830,109479452,4290147,256820429
2011-07,388741381,106673973,8405327,503820681
2011-08,270164101,109221918,6732585,386118604
2011-09,41561696,92712329,1955065,136229090
2011-10,452054,96482192,1443297,98377543
2011-11,1637,94079022,1443297,95523956
2011-12,180,97940274,1443297,99383751
2012-01,116961,98690411,1443333,100250705
2012-02,1485,93018596,1443321,94463402
2012-03,0,100134247,1443297,101577544
2012-04,73322,97643836,1443297,99160455
2012-05,68659005,101663014,2239327,172561345
2012-06,321838368,99780822,7531921,429151110
2012-07,555887230,85695890,20000341,661583461
2012-08,475814142,97161644,16148839,589124625
2012-09,71900545,96904110,2361847,171166501
2012-10,10013591,88498630,1463801,99976022
2012-11,2743354,97561644,1443297,101748295
2012-12,162203,103289636,1443297,104895137
2013-01,807,104678398,1516452,106195658
2013-02,1594,95736986,1451334,97189915
2013-03,739,107438356,1455961,108895056
2013-04,142218,104054795,1445996,105643009
2013-05,2820115,101323288,1478410,105621812
2013-06,119990474,101013699,2738863,223743036
2013-07,297403227,103871233,7607233,408881693
2013-08,237136032,97841096,5440936,340418065
2013-09,45075869,97232877,2014145,144322891
2013-10,6432224,98435616,1464198,106332038
2013-11,75841,93945205,1443297,95464343
2013-12,23272,99369863,1443297,100836432
2014-01,505,107098630,1443297,108542433
2014-02,449,89600000,1443297,91043746
2014-03,523,96567123,1443297,98010943
2014-04,650,97726027,1443297,99169975
2014-05,48070620,95802740,2133154,146006514
2014-06,241251797,91479452,6074632,338805880
2014-07,373430518,93934247,8534264,475899028
2014-08,418874070,98860274,9147224,526881568
2014-09,65995020,93821918,2601987,162418925
2014-10,46922,97161644,1443297,98651863
2014-11,6259,96904110,1443297,98353666
2014-12,2178,100643836,1443297,102089311
2015-01,435269,100006849,1444146,101886264
2015-02,65758,87567123,1444667,89077548
2015-03,46163,98690411,1443301,100179874
