# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Herluf Trolle S, Mouginot region: SE, Mankoff discharge gate (2021): 341, closest NSIDC/MEASUREs ID: 234, distance to closest NSIDC/MEASUREs ID: 1884m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,10376,164064697,1573204,165648277
2010-02,65703,149099678,1573204,150738585
2010-03,10415,165871233,1573204,167454851
2010-04,10085,161260274,1573204,162843563
2010-05,53866809,167400000,2242421,223509230
2010-06,179818263,160109589,4733476,344661328
2010-07,313988264,163493151,8178781,485660195
2010-08,411688420,158482192,13534700,583705311
2010-09,185074715,156164384,5927536,347166635
2010-10,9978752,164087671,1698560,175764983
2010-11,1657712,161548092,1580718,164786522
2010-12,7574,169709055,1573208,171289837
2011-01,111,172584474,1573204,174157788
2011-02,136,158471194,1573204,160044534
2011-03,48,178016438,1573204,179589690
2011-04,57,174986301,1573204,176559562
2011-05,636525,183452055,1573204,185661784
2011-06,95510553,185342466,3355853,284208872
2011-07,291563261,174619178,5792518,471974956
2011-08,220156044,178441096,6436797,405033937
2011-09,23403314,176301370,1955661,201660345
2011-10,180742,180649315,1573204,182403261
2011-11,17633,173274057,1573204,174864895
2011-12,7148,177493358,1573204,179073710
2012-01,6314,175893151,1583851,177483315
2012-02,8747,163069437,1574354,164652538
2012-03,4049,172835616,1575887,174415552
2012-04,22761,165698630,1636430,167357821
2012-05,40072716,169693151,2176542,211942408
2012-06,259933030,170794521,6282402,437009952
2012-07,519630333,158227397,17961859,695819590
2012-08,404342917,161709589,14315037,580367544
2012-09,52047485,156246575,2509017,210803077
2012-10,3781007,177761644,1615335,183157986
2012-11,896394,168000000,1615566,170511961
2012-12,3688,176272590,1575975,177852253
2013-01,1455,182391926,1638236,184031618
2013-02,1308,170224658,1600973,171826939
2013-03,1448,192794521,1608435,194404403
2013-04,1684,179671233,1575837,181248754
2013-05,875569,166380822,1601567,168857958
2013-06,66105109,170136986,2659478,238901573
2013-07,226882200,177931507,5261328,410075035
2013-08,192569745,176827397,4324978,373722120
2013-09,30882148,167671233,1989251,200542632
2013-10,3025579,169778082,1588914,174392575
2013-11,5971,175315068,1573204,176894244
2013-12,4189,180564384,1573204,182141776
2014-01,961,179800000,1573204,181374165
2014-02,841,161786301,1573204,163360346
2014-03,1867,176402740,1573204,177977811
2014-04,932,167835616,1573204,169409753
2014-05,26058916,170457534,2102448,198618897
2014-06,181983784,166931507,4644653,353559944
2014-07,310970942,167569863,8839193,487379998
2014-08,374641280,165191781,9958119,549791180
2014-09,47668641,159986301,2537828,210192770
2014-10,36736,165956164,1598417,167591318
2014-11,5323,169808219,1603752,171417295
2014-12,21,173769863,1573204,175343088
2015-01,2804,173642466,1573953,175219222
2015-02,1056,147479452,1574299,149054807
2015-03,991,158100000,1573207,159674198
2015-04,1456,157021157,1573204,158595816
2015-05,686254,166210959,1577378,168474591
2015-06,90074985,157291328,3193731,250560044
2015-07,250794197,159034247,7002534,416830978
2015-08,237188114,160053425,7266106,404507645
2015-09,76937792,157643836,3446728,238028355
2015-10,350526,161454795,1574447,163379768
2015-11,6183,151500909,1573582,153080673
2015-12,0,152876712,1573595,154450307
2016-01,2232,153216438,1573737,154792408
2016-02,2083,143618435,1573275,145193793
2016-03,228,153810959,1573241,155384427
2016-04,216761,149109212,1573204,150899178
2016-05,26105056,154490411,1778510,182373977
2016-06,250025617,153339260,5565757,408930634
2016-07,300803244,161921918,7470226,470195387
2016-08,240921065,161242466,8063402,410226932
2016-09,32442664,162493151,2116713,197052528
2016-10,5398950,163068493,1628279,170095722
2016-11,16373,168493151,1573906,170083431
2016-12,397780,177540822,1573883,179512485
2017-01,0,183961644,1582545,185544188
2017-02,0,150758904,1653948,152412852
2017-03,0,172771918,1573262,174345179
2017-04,0,163903808,1573204,165477012
2017-05,26107387,166126027,1870209,194103624
2017-06,137776177,162452055,3839480,304067712
2017-07,265884137,166465753,6924826,439274717
2017-08,312749277,151305479,9303741,473358497
2017-09,91735686,145150685,4230667,241117037
2017-10,15045618,150158904,1892314,167096836
2017-11,12080,159369863,1574470,160956413
2017-12,9171,162728767,1576691,164314630
2018-01,3651,169421370,1573204,170998225
2018-02,2225,148630137,1573204,150205565
2018-03,2467,160265753,1573204,161841425
2018-04,345474,163150685,1573204,165069363
2018-05,343213,162372055,1573204,164288472
2018-06,99817028,154643836,3169877,257630740
2018-07,331244813,160662100,8469704,500376617
2018-08,238305840,158843151,7325442,404474432
2018-09,14320543,154657534,1722478,170700555
2018-10,8273,170606164,1602899,172217336
2018-11,3493,172410959,1609939,174024390
2018-12,2973,180479452,1577806,182060231
2019-01,75915,178313699,1573235,179962849
2019-02,68347,155495890,1573265,157137502
2019-03,118105,169353425,1573222,171044752
2019-04,64136,162739726,1573221,164377083
2019-05,16561087,168589041,1774757,186924885
2019-06,149563411,162602740,4243849,316409999
2019-07,292360827,166932877,8547813,467841517
2019-08,180655879,167569863,6121041,354346784
2019-09,55733077,160232877,2543491,218509445
2019-10,7244936,175355251,1620690,184220877
