# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Herluf Trolle-Kangerluluk-Danell, Mouginot region: SE, Mankoff discharge gate (2021): 345, closest NSIDC/MEASUREs ID: 202, distance to closest NSIDC/MEASUREs ID: 15693m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,1160275,505,1160779
2010-02,801,1067038,505,1068343
2010-03,0,1189041,505,1189546
2010-04,0,1150685,505,1151190
2010-05,23895560,1189041,96763,25181364
2010-06,64650831,1150685,1077862,66879378
2010-07,78747277,1189041,1299321,81235639
2010-08,93076999,1189041,1410691,95676731
2010-09,59507311,1150685,1030748,61688745
2010-10,3712802,1189041,44148,4945990
2010-11,283446,1150685,522,1434653
2010-12,202,1189041,505,1189748
2011-01,0,1189041,505,1189546
2011-02,0,1073973,505,1074477
2011-03,0,1189041,505,1189546
2011-04,0,1150685,505,1151190
2011-05,1285,1189041,505,1190831
2011-06,33308982,1150685,479054,34938721
2011-07,82152022,1189041,1305317,84646379
2011-08,62596189,1189041,934297,64719527
2011-09,9769691,1150685,82958,11003334
2011-10,884,1189041,505,1190430
2011-11,46,1150685,505,1151235
2011-12,7,1189041,505,1189553
2012-01,0,1189041,505,1189546
2012-02,6,1112329,505,1112839
2012-03,0,1189041,505,1189546
2012-04,2,1150685,505,1151191
2012-05,14526299,1189041,119442,15834782
2012-06,62029409,1150685,1025998,64206091
2012-07,115881814,1273973,1666994,118822781
2012-08,88319220,1273973,1632634,91225827
2012-09,26562591,1232877,280494,28075962
2012-10,2351043,1273973,2012,3627027
2012-11,465886,1232877,528,1699291
2012-12,0,1252769,505,1253274
2013-01,0,1211472,505,1211977
2013-02,0,1073973,505,1074477
2013-03,0,1189041,505,1189546
2013-04,0,1150685,505,1151190
2013-05,66659,1189041,505,1256205
2013-06,29810930,1150685,264455,31226069
2013-07,65295559,1104110,1168181,67567849
2013-08,51070887,1104110,750683,52925679
2013-09,11442461,1068493,103041,12613996
2013-10,1131451,1104110,534,2236094
2013-11,0,1068493,505,1068998
2013-12,0,1104110,505,1104614
2014-01,0,1104110,505,1104614
2014-02,0,920548,505,921053
2014-03,0,1019178,505,1019683
2014-04,0,986301,505,986806
2014-05,12166435,1019178,88124,13273737
2014-06,62133600,986301,991587,64111489
2014-07,78302309,1019178,1242726,80564213
2014-08,81815598,1019178,1291212,84125988
2014-09,20144996,904110,266805,21315910
2014-10,1,934247,505,934752
2014-11,0,904110,505,904614
2014-12,0,934247,505,934751
2015-01,0,934247,505,934751
2015-02,0,843836,505,844340
2015-03,0,934247,505,934751
2015-04,0,988322,505,988827
2015-05,30796,1104110,506,1135411
2015-06,29748101,857961,446439,31052502
2015-07,61826919,679452,1057884,63564255
2015-08,63725212,679452,1097887,65502551
2015-09,28957997,1315068,435121,30708187
2015-10,35158,552055,505,587717
2015-11,0,850044,505,850549
2015-12,0,1189041,505,1189546
2016-01,0,1189041,505,1189546
2016-02,0,1112329,505,1112834
2016-03,0,1189041,505,1189546
2016-04,2599,1125282,505,1128386
2016-05,11718576,1104110,1351,12824036
2016-06,77601120,883903,1254923,79739946
2016-07,71520505,764384,1165171,73450059
2016-08,61244292,849315,1028883,63122490
2016-09,14806879,1068493,156851,16032224
2016-10,1895172,1036164,609,2931946
2016-11,0,1027397,505,1027902
2016-12,859,883288,505,884651
2017-01,0,951233,505,951738
2017-02,0,1227397,505,1227902
2017-03,0,1040411,505,1040916
2017-04,0,1080535,505,1081040
2017-05,11403298,1189041,22734,12615073
2017-06,45329148,986301,721490,47036939
2017-07,80799786,764384,1131224,82695393
2017-08,75764799,509589,1199194,77473582
2017-09,26631478,1232877,512064,28376419
2017-10,3543236,1189041,79678,4811955
2017-11,196,904110,545,904850
2017-12,0,1061644,505,1062149
2018-01,0,781370,505,781875
2018-02,0,1150685,505,1151190
2018-03,0,1223014,505,1223519
2018-04,0,945205,505,945710
2018-05,1356,1104110,505,1105970
2018-06,38126885,1191781,397478,39716144
2018-07,69919540,1019178,1221866,72160584
2018-08,60339678,828082,889557,62057317
2018-09,5797243,904110,16762,6718115
2018-10,0,1061644,505,1062149
2018-11,0,1178082,505,1178587
2018-12,0,1189041,505,1189546
2019-01,0,509589,505,510094
2019-02,0,268493,505,268998
2019-03,0,962557,505,963062
2019-04,0,1342466,505,1342971
2019-05,8441894,1273973,859,9716726
2019-06,51303918,821918,738850,52864685
2019-07,63212000,594521,1127728,64934249
2019-08,53550630,905936,796064,55252629
2019-09,24830454,1150685,235479,26216617
2019-10,2286987,1019178,596,3306761
2019-11,0,986301,505,986806
2019-12,0,1273973,505,1274477
2020-01,0,1189041,505,1189546
2020-02,0,913699,505,914203
2020-03,0,1217352,505,1217856
2020-04,0,1397260,505,1397765
2020-05,7776401,1358904,822,9136127
2020-06,60102496,1150685,913850,62167031
2020-07,83914463,1019178,1411758,86345398
2020-08,91033758,934247,1394538,93362543
2020-09,19399279,1232877,271636,20903792
2020-10,1825412,1104110,532,2930053
2020-11,227,1095890,505,1096623
2020-12,0,1146575,505,1147080
