# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Kangerluluk, Mouginot region: SE, Mankoff discharge gate (2021): 347, closest NSIDC/MEASUREs ID: 202, distance to closest NSIDC/MEASUREs ID: 17194m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,2123288,0,2123288
2010-02,0,1917808,0,1917808
2010-03,0,2123288,0,2123288
2010-04,0,2054795,0,2054795
2010-05,0,2123288,6195,2129483
2010-06,0,2054795,56655,2111449
2010-07,0,2123288,68022,2191310
2010-08,0,2123288,75356,2198644
2010-09,0,2054795,55533,2110327
2010-10,0,2123288,2095,2125382
2010-11,0,2054795,0,2054795
2010-12,0,2123288,0,2123288
2011-01,0,2123288,0,2123288
2011-02,0,1917808,0,1917808
2011-03,0,2123288,0,2123288
2011-04,0,2054795,0,2054795
2011-05,0,2123288,0,2123288
2011-06,0,2054795,26471,2081266
2011-07,0,2123288,68565,2191853
2011-08,0,2038356,49592,2087948
2011-09,0,1972603,4237,1976840
2011-10,0,2038356,0,2038356
2011-11,0,1972603,0,1972603
2011-12,0,2038356,0,2038356
2012-01,0,2038356,0,2038356
2012-02,0,1906849,0,1906849
2012-03,0,2038356,0,2038356
2012-04,0,1972603,0,1972603
2012-05,0,2038356,7845,2046202
2012-06,0,1972603,56513,2029116
2012-07,0,2038356,89595,2127951
2012-08,0,2038356,89463,2127819
2012-09,0,1972603,15516,1988119
2012-10,0,2038356,57,2038413
2012-11,0,1972603,0,1972603
2012-12,0,2080763,0,2080763
2013-01,0,2163358,0,2163358
2013-02,0,1994521,0,1994521
2013-03,0,2208219,0,2208219
2013-04,0,2136986,0,2136986
2013-05,0,2293151,0,2293151
2013-06,0,2219178,15634,2234812
2013-07,0,2378082,62743,2440825
2013-08,0,2378082,40683,2418765
2013-09,0,2383562,5544,2389106
2013-10,0,2463014,0,2463014
2013-11,0,2465753,0,2465753
2013-12,0,2547945,0,2547945
2014-01,0,2547945,0,2547945
2014-02,0,2378082,0,2378082
2014-03,0,2632877,0,2632877
2014-04,0,2630137,0,2630137
2014-05,0,2717808,5769,2723577
2014-06,0,2712329,54400,2766729
2014-07,0,2802740,65256,2867996
2014-08,0,2802740,70007,2872747
2014-09,0,2753425,14332,2767756
2014-10,0,2717808,0,2717808
2014-11,0,2547945,0,2547945
2014-12,0,2463014,0,2463014
2015-01,0,2378082,0,2378082
2015-02,0,2800000,0,2800000
2015-03,0,1146575,0,1146575
2015-04,0,1210807,0,1210807
2015-05,0,1443836,0,1443836
2015-06,0,1694564,24831,1719395
2015-07,0,1953425,55332,2008757
2015-08,0,1741096,61359,1802455
2015-09,0,2876712,23421,2900133
2015-10,0,1995890,0,1995890
2015-11,0,2331517,0,2331517
2015-12,0,2802740,0,2802740
2016-01,0,1571233,0,1571233
2016-02,0,1889363,0,1889363
2016-03,0,2547945,0,2547945
2016-04,0,2694480,0,2694480
2016-05,0,2887671,0,2887671
2016-06,0,2668201,69154,2737355
2016-07,0,2632877,61322,2694199
2016-08,0,2717808,55128,2772936
2016-09,0,2835616,8656,2844272
2016-10,0,2055342,0,2055343
2016-11,0,3287671,0,3287671
2016-12,0,3040548,0,3040548
2017-01,0,3091507,0,3091507
2017-02,0,2800000,0,2800000
2017-03,0,2250685,0,2250685
2017-04,0,2535986,0,2535986
2017-05,0,2972603,1426,2974029
2017-06,0,2835616,39934,2875551
2017-07,0,2831050,58497,2889547
2017-08,0,2208219,65926,2274146
2017-09,0,2547945,29977,2577922
2017-10,0,1953425,4653,1958078
2017-11,0,2178082,0,2178082
2017-12,0,3248630,0,3248630
2018-01,0,2157260,0,2157260
2018-02,0,1821918,0,1821918
2018-03,0,2666849,0,2666849
2018-04,0,2547945,0,2547945
2018-05,0,2955616,0,2955616
2018-06,0,2753425,23328,2776752
2018-07,0,2632877,65856,2698733
2018-08,0,2165753,46409,2212163
2018-09,0,2246575,854,2247430
2018-10,0,3630822,0,3630822
2018-11,0,3150685,0,3150685
2018-12,0,2930137,0,2930137
2019-01,0,3184932,0,3184932
2019-02,0,2876712,0,2876712
2019-03,0,3652055,0,3652055
2019-04,0,3397260,0,3397260
2019-05,0,3397260,0,3397260
2019-06,0,3917808,40708,3958516
2019-07,0,3439726,58861,3498587
2019-08,0,2519635,41242,2560877
2019-09,0,2383562,12510,2396072
2019-10,0,3057534,0,3057534
2019-11,0,3493151,0,3493151
2019-12,0,3227397,0,3227397
2020-01,0,3821918,0,3821918
2020-02,0,4012329,0,4012329
2020-03,0,3736986,0,3736986
2020-04,0,3821918,0,3821918
2020-05,0,3935160,0,3935160
2020-06,0,3000000,50860,3050860
2020-07,0,3284018,75310,3359328
2020-08,0,2208219,74798,2283017
2020-09,0,2767123,15718,2782841
2020-10,0,2887671,0,2887671
2020-11,0,3013699,0,3013699
2020-12,0,2675342,0,2675343
