# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed Danell Fjord, Mouginot region: SE, Mankoff discharge gate (2021): 349, closest NSIDC/MEASUREs ID: 202, distance to closest NSIDC/MEASUREs ID: 5063m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,2798,41550812,846693,42400303
2010-02,375855,40014843,842938,41233636
2010-03,28,46457534,840680,47298242
2010-04,8,46931507,840757,47772272
2010-05,85205914,50534247,1019469,136759629
2010-06,223922971,43808219,2461775,270192965
2010-07,324412813,40087671,5634322,370134807
2010-08,432712464,33038356,11813176,477563997
2010-09,223481327,41095890,3578889,268156107
2010-10,18116645,51553425,905985,70576054
2010-11,2321770,49834474,845089,53001333
2010-12,197933,51357849,859355,52415137
2011-01,26781,51174913,854042,52055736
2011-02,2461,46060417,894399,46957278
2011-03,762,50873973,864526,51739260
2011-04,42950,49150685,841013,50034648
2011-05,257872,41361644,859646,42479161
2011-06,109688828,39698630,1832635,151220093
2011-07,307966576,36860274,6520680,351347530
2011-08,236967166,26413699,7203855,270584720
2011-09,36189483,26630137,1034459,63854078
2011-10,691471,28876712,843576,30411759
2011-11,95386,29326379,845055,30266820
2011-12,115350,31695198,842954,32653503
2012-01,33946,33123288,840676,33997909
2012-02,38460,32308534,840676,33187670
2012-03,20599,35841096,840676,36702370
2012-04,15983,36000000,840676,36856658
2012-05,60871252,46032877,1065080,107969208
2012-06,251155123,34849315,2457129,288461567
2012-07,542560633,26583562,14514395,583658589
2012-08,449889259,22591781,11208573,483689613
2012-09,93096202,24328767,1289625,118714594
2012-10,12379399,24460274,842930,37682603
2012-11,5056124,30410959,853775,36320858
2012-12,1586,31605737,841168,32448491
2013-01,20015,31689953,840676,32550643
2013-02,17203,28690411,840676,29548290
2013-03,21794,31849315,840676,32711785
2013-04,18423,45698630,840676,46557729
2013-05,1636283,43484932,840676,45961890
2013-06,101774622,36328767,1287869,139391258
2013-07,234827018,31764384,2635316,269226717
2013-08,207705016,29895890,5116229,242717136
2013-09,44452613,29424658,1035414,74912685
2013-10,10626339,45098630,896993,56621962
2013-11,268,34273973,848039,35122280
2013-12,61,40087671,847544,40935277
2014-01,21309,39408219,840676,40270204
2014-02,15955,42498630,851056,43365642
2014-03,11033,45268493,840676,46120202
2014-04,634,46849315,840676,47690624
2014-05,49336089,50449315,1005686,100791091
2014-06,201438959,42082192,2396691,245917842
2014-07,324872826,36945205,8580741,370398772
2014-08,374065168,31934247,10625483,416624898
2014-09,72033971,32178082,1352620,105564672
2014-10,158509,31764384,840676,32763568
2014-11,41464,36164384,845692,37051540
2014-12,81,40639726,841286,41481093
2015-01,0,40045205,840676,40885881
2015-02,0,39315068,841607,40156675
2015-03,0,35841096,841138,36682234
2015-04,2042,37779749,840761,38622551
2015-05,2533383,42083562,840678,45457622
2015-06,120270419,40569236,1550928,162390583
2015-07,237491188,41404110,3727450,282622747
2015-08,244389640,30872603,6205386,281467629
2015-09,102747155,42082192,2687737,147517083
2015-10,840632,37200000,922926,38963558
2015-11,0,34974681,854958,35829639
2015-12,0,35798630,849299,36647929
2016-01,1979,37369863,841802,38213644
2016-02,749,37078392,840676,37919817
2016-03,800,40936986,840676,41778462
2016-04,313900,38778467,840676,39933042
2016-05,39476957,38941096,840676,79258728
2016-06,256071418,37128380,2818693,296018491
2016-07,297595114,38049315,7130659,342775089
2016-08,245897582,37964384,6115903,289977869
2016-09,53216285,37726027,1092234,92034547
2016-10,10299259,35739178,849738,46888175
2016-11,273791,37027397,846801,38147989
2016-12,2430538,44504110,842232,47776880
2017-01,0,42788493,843163,43631657
2017-02,0,38931507,840747,39772254
2017-03,124,43824658,840755,44665537
2017-04,303561,44427217,840752,45571530
2017-05,44019586,47391781,881494,92292861
2017-06,158570569,45739726,1982931,206293226
2017-07,277466809,39153425,3316759,319936992
2017-08,306621416,29853425,8176286,344651126
2017-09,112948079,27780822,3239895,143968796
2017-10,29621213,33505479,982994,64109686
2017-11,108254,30164384,844707,31117344
2017-12,13964,34970548,840939,35825451
2018-01,0,35807123,845014,36652137
2018-02,0,31586301,844553,32430854
2018-03,0,39153425,863861,40017286
2018-04,1311,41835616,841528,42678456
2018-05,134492,41888219,841582,42864293
2018-06,130811989,42739726,1507927,175059642
2018-07,335405696,38898630,5840869,380145195
2018-08,251992534,29853425,6284819,288130778
2018-09,31736760,32739726,891563,65368049
2018-10,10230,35480137,840727,36331094
2018-11,2864,39863014,840714,40706592
2018-12,0,42847945,840676,43688621
2019-01,421,43442466,842516,44285403
2019-02,616,39276712,840676,40118004
2019-03,195858,44702283,840676,45738817
2019-04,60184,48630137,840676,49530997
2019-05,39917359,49557534,840676,90315569
2019-06,172386981,45863014,2005050,220255044
2019-07,249925011,37200000,5679409,292804420
2019-08,216453196,37200000,5135395,258788591
2019-09,90600499,34356164,1340049,126296712
2019-10,16733219,38049315,847755,55630289
2019-11,1847530,42739726,880495,45467751
2019-12,1088719,45438356,878802,47405878
2020-01,23494,46853881,840676,47718051
2020-02,7399,43500000,840676,44348074
2020-03,7876,49062100,840676,49910652
2020-04,7653,49273973,841565,50123190
2020-05,32615969,51157078,842440,84615487
2020-06,223826942,41383562,2338802,267549306
2020-07,390653432,35020091,11991248,437664771
2020-08,398816946,27263014,10310357,436390316
2020-09,78272996,28000000,1754642,108027638
2020-10,11727404,35798630,840976,48367009
2020-11,270046,37506849,840676,38617571
2020-12,502392,40087671,840676,41430739
