# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Unnamed South Danell Fjord, Mouginot region: SE, Mankoff discharge gate (2021): 350, closest NSIDC/MEASUREs ID: 235, distance to closest NSIDC/MEASUREs ID: 3100m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,5251,19578276,42043,19625569
2010-02,81683,18940306,38277,19060267
2010-03,9,22336986,38276,22375272
2010-04,0,23178082,38276,23216359
2010-05,18083873,25564384,125989,43774245
2010-06,56923951,23342466,942157,81208574
2010-07,94704645,22761644,1222375,118688663
2010-08,132520918,13758904,3694677,149974499
2010-09,56199649,15780822,1534060,73514532
2010-10,4349856,18854795,71415,23276065
2010-11,658604,18440934,38276,19137814
2010-12,65097,19130018,38276,19233392
2011-01,43541,19168700,40287,19252527
2011-02,3855,17392306,38644,17434805
2011-03,1061,19449315,38280,19488656
2011-04,22525,23095890,38276,23156692
2011-05,163366,24630137,38276,24831780
2011-06,25043186,27534247,513657,53091090
2011-07,85431196,21063014,1764940,108259150
2011-08,65154315,12060274,2104348,79318938
2011-09,8129230,10438356,130841,18698427
2011-10,353483,11720548,38276,12112307
2011-11,156222,12325369,38276,12519868
2011-12,188978,13744109,38276,13971363
2012-01,37230,14778082,38276,14853589
2012-02,27152,14769647,38276,14835076
2012-03,8002,16731507,38276,16777785
2012-04,2709,17178082,38276,17219068
2012-05,13279124,18769863,184956,32233942
2012-06,75349380,24082192,1015772,100447344
2012-07,152700254,12230137,4302156,169232547
2012-08,128837630,15287671,3654096,147779397
2012-09,24086763,9369863,374684,33831310
2012-10,3926035,11635616,59747,15621398
2012-11,1256346,12821918,39568,14117832
2012-12,305,15151194,38276,15189776
2013-01,320,17322119,38276,17360715
2013-02,23,17567123,38276,17605422
2013-03,328,21232877,38276,21271481
2013-04,19,20219178,38276,20257473
2013-05,548424,15202740,38276,15789440
2013-06,20276897,16931507,326192,37534595
2013-07,70082457,20043836,1118475,91244767
2013-08,62026508,14098630,1201168,77326306
2013-09,11948646,13890411,137382,25976439
2013-10,2716857,17326027,38276,20081161
2013-11,7193,17095890,38276,17141360
2013-12,429,15797260,38276,15835966
2014-01,132,13928767,38276,13967176
2014-02,642,7517808,38276,7556726
2014-03,61,12060274,38276,12098612
2014-04,12,14136986,38276,14175274
2014-05,10698434,17071233,144060,27913728
2014-06,53030364,13890411,916222,67836996
2014-07,93300888,15967123,2628922,111896933
2014-08,111525304,11805479,3227969,126558752
2014-09,19015471,12945205,328169,32288846
2014-10,15635,13504110,38276,13558021
2014-11,3479,12000000,38276,12041755
2014-12,369,13121918,38276,13160563
2015-01,214,14353425,38276,14391916
2015-02,194,9780822,38276,9819292
2015-03,214,12102740,38276,12141231
2015-04,151,12105428,38341,12143921
2015-05,569756,12654795,38276,13262827
2015-06,26743888,10751800,424811,37920499
2015-07,65617066,9639726,1465575,76722367
2015-08,67768540,12824658,2123371,82716569
2015-09,27702142,8219178,687120,36608440
2015-10,260494,11975342,38276,12274113
2015-11,234,10836764,38276,10875275
2015-12,241,10276712,38276,10315230
2016-01,6,10021918,38276,10060200
2016-02,0,8672981,38276,8711258
2016-03,0,8747945,38276,8786222
2016-04,397233,9118402,38276,9553911
2016-05,9825092,10064384,38276,19927752
2016-06,73137694,9655513,1165638,83958845
2016-07,80929900,9894521,2131961,92956382
2016-08,69898317,9894521,1964413,81757250
2016-09,11952834,9246575,214600,21414009
2016-10,2421252,8068493,38276,10528022
2016-11,252013,8630137,38276,8920426
2016-12,615883,9104658,38276,9758817
2017-01,0,10633425,38276,10671701
2017-02,0,9071233,38276,9109509
2017-03,3,9427397,38276,9465676
2017-04,21995,9151359,38276,9211630
2017-05,8596374,9484018,80125,18160517
2017-06,36580438,7479452,696104,44755995
2017-07,75076974,9455708,1108857,85641539
2017-08,90577776,9682192,2559841,102819808
2017-09,31778486,10438356,979208,43196051
2017-10,9110321,11295890,156192,20562403
2017-11,60208,7068493,39274,7167975
2017-12,953,8493151,38276,8532380
2018-01,68,8561096,38276,8599440
2018-02,61,7843836,38276,7882174
2018-03,68,8255342,38276,8293687
2018-04,39,6410959,38276,6449274
2018-05,91263,8561096,38276,8690636
2018-06,28241846,7027397,433294,35702537
2018-07,106951948,8464840,2152909,117569698
2018-08,73195626,9384932,2007983,84588540
2018-09,7772516,7397260,62702,15232478
2018-10,1546,9427397,38276,9467219
2018-11,0,7671233,38276,7709509
2018-12,0,9894521,38276,9932797
2019-01,5,9852055,38276,9890337
2019-02,37697,6558904,38276,6634878
2019-03,292,7643836,38276,7682405
2019-04,0,7232877,38276,7271153
2019-05,8541427,6752055,38276,15331759
2019-06,46230905,7890411,762066,54883382
2019-07,77399012,6752055,1073268,85224335
2019-08,57963238,7898630,1278166,67140034
2019-09,21949303,9328767,325982,31604052
2019-10,3877438,10191781,43609,14112827
2019-11,136393,8424658,68488,8629539
2019-12,81222,9399087,67201,9547510
2020-01,4886,9002740,38276,9045903
2020-02,2627,8183562,38276,8224465
2020-03,3003,8125114,38276,8166394
2020-04,2678,7972603,38952,8014233
2020-05,7464332,8238356,39286,15741975
2020-06,58166389,7438356,861101,66465846
2020-07,120905400,8719635,3896878,133521912
2020-08,114014044,9300000,3369802,126683846
2020-09,22123613,9205479,520614,31849706
2020-10,3275578,10361644,38350,13675572
2020-11,68947,9068493,38276,9175716
2020-12,81592,9936986,38276,10056855
