# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Southern Tip, Mouginot region: SE, Mankoff discharge gate (2021): 353, closest NSIDC/MEASUREs ID: 235, distance to closest NSIDC/MEASUREs ID: 21458m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,3368494,0,3368494
2010-02,195591,3061558,0,3257149
2010-03,0,3397260,0,3397260
2010-04,0,3287671,0,3287671
2010-05,44126452,3482192,239090,47847734
2010-06,141193437,3369863,1221835,145785135
2010-07,178127389,3482192,1609603,183219184
2010-08,209946027,3482192,1982380,215410599
2010-09,140438313,3452055,1391604,145281973
2010-10,12786246,3567123,99753,16453122
2010-11,2138925,3461025,33291,5633241
2010-12,212383,3597506,525,3810415
2011-01,4,3623288,0,3623292
2011-02,0,3291695,0,3291696
2011-03,0,3652055,0,3652055
2011-04,2,3534247,0,3534248
2011-05,629534,3652055,0,4281589
2011-06,76974867,3534247,623503,81132616
2011-07,173752051,3736986,1600643,179089680
2011-08,135381604,3736986,1343125,140461716
2011-09,27894685,3616438,202107,31713230
2011-10,520837,3736986,0,4257824
2011-11,13,3638145,0,3638158
2011-12,16,3799487,0,3799503
2012-01,360,3821918,0,3822278
2012-02,207,3575342,0,3575550
2012-03,36,3821918,0,3821954
2012-04,3671,3698630,0,3702301
2012-05,22980638,3906849,181661,27069149
2012-06,122379055,3780822,1126732,127286609
2012-07,230606982,3906849,2161829,236675660
2012-08,210987967,3906849,2182600,217077416
2012-09,70380731,3863014,552887,74796632
2012-10,10266360,3991781,61173,14319314
2012-11,1877967,3863014,904,5741885
2012-12,52,4012984,0,4013036
2013-01,0,4054282,0,4054282
2013-02,0,3682192,0,3682192
2013-03,0,4076712,0,4076712
2013-04,0,3945205,0,3945205
2013-05,2069814,4076712,0,6146526
2013-06,57005354,3945205,457868,61408428
2013-07,151737274,4161644,1320386,157219304
2013-08,117194042,4161644,1024189,122379874
2013-09,31076007,4027397,224742,35328146
2013-10,6079249,4161644,17693,10258586
2013-11,8065,4027397,0,4035462
2013-12,23,4246575,0,4246598
2014-01,0,4246575,0,4246575
2014-02,0,3835616,0,3835616
2014-03,0,4246575,0,4246575
2014-04,1,4109589,0,4109590
2014-05,23898043,4331507,125113,28354663
2014-06,142255388,4191781,1152462,147599630
2014-07,169885667,4331507,1471598,175688772
2014-08,167572952,4331507,1822484,173726942
2014-09,56607899,4191781,493341,61293021
2014-10,25879,4331507,0,4357385
2014-11,57,4191781,0,4191838
2014-12,26,4331507,0,4331532
2015-01,14,4331507,0,4331521
2015-02,12,3989041,0,3989054
2015-03,14,4586301,0,4586315
2015-04,10,4078190,0,4078200
2015-05,1417623,3821918,0,5239541
2015-06,69113380,3659135,523589,73296104
2015-07,132837227,3736986,1193610,137767823
2015-08,150234892,3312329,1446283,154993503
2015-09,67024471,2794521,565054,70384046
2015-10,762990,3057534,0,3820524
2015-11,14,2817034,0,2817048
2015-12,15,2717808,0,2717824
2016-01,0,2632877,0,2632877
2016-02,0,2186125,0,2186125
2016-03,0,2123288,0,2123288
2016-04,470735,3128507,0,3599241
2016-05,20960967,4289041,22810,25272818
2016-06,158228819,4096907,1389598,163715324
2016-07,157298194,4076712,1373656,162748562
2016-08,148569625,3100000,1467165,153136790
2016-09,39891593,2671233,355296,42918122
2016-10,5775856,2887671,28246,8691773
2016-11,30107,2630137,0,2660244
2016-12,1207871,3686027,0,4893898
2017-01,0,2666849,0,2666849
2017-02,0,2243836,0,2243836
2017-03,0,2717808,0,2717808
2017-04,0,2279251,0,2279251
2017-05,19090038,2010046,82552,21182635
2017-06,104985538,2876712,829420,108691671
2017-07,167894235,2491324,1437045,171822604
2017-08,173622441,2887671,1682438,178192549
2017-09,62878919,4356164,728814,67963897
2017-10,15782187,3991781,136164,19910132
2017-11,185441,2095890,703,2282034
2017-12,44,3588356,0,3588400
2018-01,4,3176438,0,3176443
2018-02,4,3643836,0,3643840
2018-03,4,4093699,0,4093703
2018-04,2008,3410959,0,3412967
2018-05,376633,3872877,0,4249510
2018-06,63387233,2917808,466904,66771945
2018-07,163569613,3708676,1484222,168762511
2018-08,131145476,2505479,1282375,134933331
2018-09,24520591,2575342,119863,27215796
2018-10,8973,3630822,0,3639795
2018-11,0,3095890,0,3095890
2018-12,0,3206164,0,3206164
2019-01,0,3482192,0,3482192
2019-02,2397,3221918,0,3224314
2019-03,17,3397260,0,3397277
2019-04,0,3315068,0,3315068
2019-05,15725815,2930137,28214,18684167
2019-06,112779134,2438356,959485,116176975
2019-07,146683999,2165753,1305158,150154910
2019-08,114701359,2179909,1049707,117930975
2019-09,56849208,3000000,488492,60337701
2019-10,9882905,3029224,23412,12935540
2019-11,129,2178082,0,2178211
2019-12,94,3906849,0,3906943
2020-01,47,3793607,0,3793654
2020-02,32,2741096,0,2741127
2020-03,47,2321461,0,2321508
2020-04,31,2383562,0,2383592
2020-05,13940455,2831050,22843,16794348
2020-06,144627913,3410959,1081645,149120517
2020-07,179476043,3199087,1667575,184342705
2020-08,197305050,2845205,1971783,202122038
2020-09,50097290,3452055,505773,54055118
2020-10,11392997,2972603,66634,14432234
2020-11,172350,3342466,0,3514815
2020-12,401,2930137,0,2930538
