# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Eqalorutsit Killiit Sermiat, Mouginot region: SW, Mankoff discharge gate (2021): 337, closest NSIDC/MEASUREs ID: 203, distance to closest NSIDC/MEASUREs ID: 16925m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,18525623,1131551,19657174
2010-02,525308,16758586,1131086,18414981
2010-03,328999,18600000,1131140,20060139
2010-04,1228874,18082192,1131100,20442165
2010-05,69334241,18769863,2194793,90298897
2010-06,85672110,18164384,3378513,107215007
2010-07,98149939,18854795,6703152,123707885
2010-08,112591025,18939726,8800437,140331188
2010-09,40742147,8136986,2278049,51157183
2010-10,6293629,12230137,1151088,19674854
2010-11,1360805,13372662,1131094,15864561
2010-12,1392537,14893649,1131479,17417665
2011-01,21081,15733634,1130970,16885685
2011-02,10,14910075,1130970,16041054
2011-03,146296,17326027,1130970,18603294
2011-04,10,17753425,1130970,18884405
2011-05,1717964,19364384,1130970,22213318
2011-06,46141934,19808219,2385249,68335402
2011-07,94490767,21487671,5529452,121507890
2011-08,72785235,18769863,4764242,96319340
2011-09,12666783,18493151,1247244,32407178
2011-10,125670,24035616,1133036,25294322
2011-11,6,23121253,1130966,24252225
2011-12,6,23587674,1130966,24718646
2012-01,0,23271233,1130965,24402197
2012-02,0,21523037,1131695,22654731
2012-03,470020,22761644,1135490,24367154
2012-04,13562518,21780822,1373723,36717063
2012-05,28364527,22252055,1585609,52202191
2012-06,75223607,21287671,5614563,102125841
2012-07,143468618,19958904,13866051,177293573
2012-08,76377842,17071233,6413189,99862264
2012-09,34996001,21534247,1636406,58166653
2012-10,17644343,21402740,1418696,40465779
2012-11,2294929,19972603,1144249,23411781
2012-12,112269,19566682,1130988,20809938
2013-01,0,18227979,1131399,19359378
2013-02,0,15265753,1131357,16397110
2013-03,0,15797260,1131399,16928659
2013-04,742637,14136986,1131385,16011008
2013-05,5201194,13504110,1144113,19849416
2013-06,46192170,16273973,1880815,64346957
2013-07,75618022,14438356,3821721,93878099
2013-08,57096729,23610959,4053849,84761537
2013-09,14283573,15369863,1460339,31113775
2013-10,1348166,24375342,1138587,26862096
2013-11,133704,18986301,1139420,20259425
2013-12,18,14863014,1137046,16000077
2014-01,0,19704110,1130965,20835074
2014-02,0,15112329,1130965,16243293
2014-03,0,13419178,1130965,14550143
2014-04,0,14958904,1130965,16089869
2014-05,16303929,12739726,1216264,30259920
2014-06,67937500,20794521,2758510,91490531
2014-07,82294139,20298630,6013476,108606245
2014-08,73225933,20893151,6472820,100591904
2014-09,31938446,21123288,1718946,54780679
2014-10,444119,19364384,1131091,20939594
2014-11,0,16931507,1131087,18062593
2014-12,0,16858904,1131070,17989974
2015-01,0,14098630,1140620,15239250
2015-02,0,11967123,1131002,13098125
2015-03,0,13121918,1130965,14252882
2015-04,0,13406853,1130965,14537818
2015-05,882603,15245205,1130965,17258773
2015-06,34475342,17128908,1850364,53454613
2015-07,62304076,19364384,3864976,85533436
2015-08,60086537,19194521,3409640,82690697
2015-09,41528374,19232877,3137637,63898887
2015-10,3940948,18600000,1160697,23701645
2015-11,7,16874730,1130965,18005702
2015-12,5,16052055,1130965,17183024
2016-01,8,13291781,1132469,14424258
2016-02,5,12466839,1135341,13602185
2016-03,3,13419178,1141320,14560501
2016-04,3307388,15774301,1134946,20216636
2016-05,24477959,18982192,1330596,44790747
2016-06,84960131,16201386,4217862,105379379
2016-07,91251486,14608219,6014396,111874102
2016-08,75595037,17453425,5954634,99003096
2016-09,10045081,14630137,1293760,25968978
2016-10,2200079,11873425,1138189,15211693
2016-11,1879275,10273973,1137423,13290670
2016-12,252278,12094247,1130965,13477489
2017-01,5,13164384,1131098,14295487
2017-02,4,13558904,1131085,14689994
2017-03,5,13334247,1131098,14465350
2017-04,5,12344169,1131094,13475268
2017-05,28904903,12031963,1682642,42619508
2017-06,57744893,3164384,2594126,63503403
2017-07,82890353,12711416,4200771,99802539
2017-08,75789368,15160274,5324349,96273991
2017-09,37826200,17260274,4215799,59302274
2017-10,783928,18302740,1270140,20356807
2017-11,109310,5589041,1159295,6857646
2017-12,10,10467808,1131232,11599050
2018-01,0,11109041,1130973,12240014
2018-02,0,7441096,1130965,8572060
2018-03,0,8730959,1130965,9861923
2018-04,1105544,5342466,1130965,7578975
2018-05,1304109,4552329,1130965,6987403
2018-06,51264813,2794521,2144997,56204331
2018-07,90365132,2434703,6168754,98968589
2018-08,63770164,4628767,3610354,72009285
2018-09,14480864,3260274,1239811,18980948
2018-10,13669,8089726,1132037,9235432
2018-11,0,7369863,1130965,8500828
2018-12,17747,9278767,1131879,10428393
2019-01,0,4076712,1131035,5207748
2019-02,0,5139726,1131000,6270726
2019-03,2,5860274,1131006,6991282
2019-04,1,3424658,1131002,4555660
2019-05,29594882,1613699,1255866,32464447
2019-06,77913539,3123288,3194702,84231529
2019-07,85885795,3567123,6929872,96382790
2019-08,66133367,5577169,4222397,75932933
2019-09,20670441,2917808,1503416,25091665
2019-10,3420998,6822831,1139399,11383228
2019-11,2,8465753,1131002,9596758
2019-12,2,8521461,1131004,9652467
2020-01,0,9172603,1130965,10303567
2020-02,0,7746575,1130965,8877540
2020-03,645150,4671233,1130965,6447348
2020-04,570671,3534247,1130965,5235882
2020-05,18019805,3765297,1206296,22991398
2020-06,58550576,2917808,2383097,63851481
2020-07,90719991,2179909,7264472,100164372
2020-08,71506473,3609589,5881838,80997901
2020-09,25177105,6000000,1595651,32772755
2020-10,5352167,5732877,1157764,12242807
2020-11,274358,9178082,1131134,10583574
2020-12,164413,7856164,1131417,9151994
