# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Kiattuut-Qooqqup, Mouginot region: SW, Mankoff discharge gate (2021): 340, closest NSIDC/MEASUREs ID: 236, distance to closest NSIDC/MEASUREs ID: 2349m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,10672,83797757,2012426,85820855
2010-02,75930,76037910,2012426,78126266
2010-03,10709,84591781,2012426,86614915
2010-04,3084188,82356164,2012426,87452778
2010-05,183724156,85610959,2012426,271347541
2010-06,351560396,78657534,3347156,433565086
2010-07,537611397,82978082,10854696,631444175
2010-08,652849032,85101370,14904690,752855091
2010-09,206962527,80712329,4215919,291890775
2010-10,10948310,81704110,2012426,94664845
2010-11,1105623,79100743,2012426,82218791
2010-12,289078,81821675,2039174,84149927
2011-01,199893,81944575,2012426,84156894
2011-02,40791,74141969,2019247,76202006
2011-03,163902,82213699,2014045,84391646
2011-04,143086,79726027,2013993,81883106
2011-05,207664,87309589,2014045,89531299
2011-06,215256247,90246575,4524347,310027169
2011-07,490550251,72446575,7609302,570606129
2011-08,481532509,81449315,8857625,571839450
2011-09,41474891,84493151,2142930,128110973
2011-10,324823,86884932,2012426,89222180
2011-11,87136,83744584,2012426,85844145
2011-12,72819,86238448,2012426,88323692
2012-01,24457,85950685,2012426,87987568
2012-02,55247,80153327,2012426,82221000
2012-03,5872257,85441096,2012426,93325779
2012-04,27920216,82438356,2014548,112373120
2012-05,132872054,84931507,2150588,219954150
2012-06,458199683,68794521,8228729,535222933
2012-07,961572442,76523288,19473539,1057569268
2012-08,539231201,75928767,16314446,631474414
2012-09,83518912,76191781,2177184,161887877
2012-10,24306251,82128767,2012426,108447443
2012-11,3351386,74301370,2012465,79665220
2012-12,40876,75908788,2012426,77962089
2013-01,1933,75441888,2123973,77567794
2013-02,929,67736986,2012762,69750677
2013-03,6420,74484932,2043466,76534818
2013-04,147650,71095890,2027799,73271340
2013-05,8653204,75419178,2013798,86086180
2013-06,129834546,73232877,2012457,205079881
2013-07,314462007,82808219,6506463,403776689
2013-08,272474945,77627397,5967511,356069853
2013-09,38524142,74465753,2099606,115089502
2013-10,11634773,75928767,2012458,89575999
2013-11,4946,77753425,2012457,79770828
2013-12,13703,76353425,2012458,78379586
2014-01,114858,77712329,2012426,79839613
2014-02,22797,67046575,2012426,69081798
2014-03,25250,79410959,2012426,81448635
2014-04,174130,69698630,2012426,71885186
2014-05,24938071,75843836,2012426,102794332
2014-06,276906736,76849315,4022281,357778332
2014-07,470709134,78306849,9544678,558560661
