# Official name: Uukkaasorsuaq, Foreign name: Sermilik Brae, Mouginot/Mankoff name: Ukaasorsuaq, Mouginot region: SW, Mankoff discharge gate (2021): 317, closest NSIDC/MEASUREs ID: 205, distance to closest NSIDC/MEASUREs ID: 3524m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,1660797,222345687,7117435,231123919
2010-02,169521,215228440,7117435,222515397
2010-03,0,244093151,7117435,251210586
2010-04,2075179,214520548,7121266,223716992
2010-05,488975837,207997260,8433795,705406893
2010-06,938932569,199561644,12210777,1150704990
2010-07,2033510344,204515068,23844418,2261869831
2010-08,2051570784,173005479,27145052,2251721316
2010-09,364093421,165534247,9560687,539188354
2010-10,51758633,186254795,7170452,245183879
2010-11,29132805,191158270,7141640,227432714
2010-12,2030640,207750188,7117435,216898264
2011-01,55587,216526734,7117435,223699756
2011-02,0,200880205,7117435,207997640
2011-03,586120,224304110,7117435,232007665
2011-04,1,209342466,7117435,216459902
2011-05,1542931,221246575,7117435,229906942
2011-06,818393634,191671233,11932585,1021997451
2011-07,1618529179,186339726,18413387,1823282292
2011-08,1129851864,192369863,15725230,1337946957
2011-09,75522953,184109589,7252822,266885364
2011-10,164854,188208219,7117481,195490555
2011-11,887,184876054,7117435,191994377
2011-12,917,197027913,7117435,204146265
2012-01,0,203241096,7117435,210358531
2012-02,2220502,196124000,7117435,205461937
2012-03,12317608,213178082,7124898,232620588
2012-04,59465683,200794521,7177736,267437939
2012-05,254470967,202221918,7821962,464514847
2012-06,1536358934,191506849,22835265,1750701048
2012-07,3505705139,190161644,62608448,3758475231
2012-08,1504451557,172580822,26971154,1704003532
2012-09,182205929,169726027,7341453,359273410
2012-10,74780752,187273973,7311598,269366323
2012-11,21356327,191178082,7154164,219688573
2012-12,2075,201102349,7117440,208221864
2013-01,0,203455155,7117435,210572590
2013-02,0,185183562,7117435,192300997
2013-03,31975,205958904,7117435,213108314
2013-04,1449596,190684932,7117435,199251963
2013-05,13870926,220567123,7120377,241558427
2013-06,348046783,197753425,8115892,553916100
2013-07,955223928,204430137,12234702,1171888766
2013-08,817600417,180564384,12499974,1010664775
2013-09,103702955,194465753,7351636,305520345
2013-10,10424621,190841096,7119869,208385586
2013-11,166528,190273973,7117435,197557936
2013-12,1235,202306849,7117435,209425520
2014-01,383,208082192,7117435,215200010
2014-02,346,193161644,7117435,200279425
2014-03,383,213263014,7117435,220380831
2014-04,370,203095890,7117435,210213696
2014-05,64237337,211139726,7291813,282668876
2014-06,814526677,223726027,11076058,1049328763
2014-07,1406538046,176317808,17748120,1600603974
