# Official name: Vestfjord Gletsjer, Foreign name: Vestfjord Gletsjer, Mouginot/Mankoff name: Vestfjord, Mouginot region: CE, Mankoff discharge gate (2021): 154, closest NSIDC/MEASUREs ID: 124, distance to closest NSIDC/MEASUREs ID: 4881m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,218312692,3827278,222139970
2010-02,0,196480540,3827278,200307818
2010-03,0,216915068,3827278,220742347
2010-04,0,209342466,3827278,213169744
2010-05,25039629,220567123,3837303,249444055
2010-06,433794387,214109589,6239995,654143972
2010-07,711984503,201882192,10269206,924135901
2010-08,365845292,195002740,6442170,567290201
2010-09,89305506,197589041,4604762,291499309
2010-10,0,204090411,3827278,207917690
2010-11,0,197361395,3827278,201188673
2010-12,0,203742940,3827278,207570218
2011-01,4642,203536945,3827278,207368865
2011-02,1805,183698680,3827278,187527763
2011-03,45,203326027,3827278,207153350
2011-04,0,204000000,3827278,207827278
2011-05,0,210715068,3827278,214542347
2011-06,128759514,198821918,4350303,331931735
2011-07,516984355,214112329,8155807,739252491
2011-08,274553511,202901370,5148701,482603582
2011-09,9822442,197506849,3832381,211161673
2011-10,0,206298630,3827278,210125909
2011-11,0,201853376,3827278,205680654
2011-12,0,210794229,3827278,214621508
2012-01,2426,213093151,3827278,216922855
2012-02,0,201510454,3827278,205337732
2012-03,0,217594521,3827278,221421799
2012-04,0,212876712,3827278,216703991
2012-05,12909572,216320548,3832799,233062918
2012-06,460330297,214109589,8019230,682459115
2012-07,803362660,214452055,11957801,1029772515
2012-08,487484706,203156164,9024905,699665776
2012-09,93586,195945205,3827304,199866096
2012-10,8940,204854795,3827278,208691013
2012-11,8989,200219178,3827278,204055445
2012-12,8957,208795752,3827278,212631987
2013-01,0,210716327,3827278,214543605
2013-02,0,192010959,3827278,195838237
2013-03,0,214197260,3827278,218024539
2013-04,0,209095890,3827278,212923169
2013-05,0,211989041,3827278,215816320
2013-06,196217742,215342466,4279050,415839257
2013-07,525567534,207402740,8688562,741658836
2013-08,188434677,212923288,5749184,407107149
2013-09,2949787,197671233,3830574,204451594
2013-10,2,203495890,3827278,207323170
2013-11,0,196191781,3827278,200019059
2013-12,0,201967123,3827278,205794402
2014-01,140,201202740,3827278,205030158
2014-02,2,180964384,3827278,184791664
2014-03,0,202986301,3827278,206813580
2014-04,0,205232877,3827278,209060155
2014-05,0,202901370,3827278,206728648
2014-06,194559406,215178082,5742843,415480331
2014-07,416789302,215216438,6930425,638936166
2014-08,254815099,208931507,4994060,468740666
2014-09,7000415,202191781,3830403,213022599
2014-10,7288,215386301,3827278,219220867
2014-11,7048,206136986,3827278,209971312
2014-12,7283,210672603,3827278,214507164
2015-01,177,208379452,3827278,212206907
2015-02,47,187369863,3827278,191197189
2015-03,1013,212413699,3827278,216241990
2015-04,1710,207074858,3827278,210903846
2015-05,997,214536986,3827278,218365261
2015-06,174846225,206302795,4981537,386130557
2015-07,577963077,209950685,8975850,796889611
2015-08,209148743,200820548,4931825,414901117
2015-09,37728117,195534247,3838824,237101187
2015-10,30279,206086301,3829100,209945681
2015-11,3784,199087964,3827278,202919026
2015-12,3794,204727397,3827278,208558470
2016-01,0,199334247,3827278,203161525
2016-02,0,190207160,3827278,194034439
2016-03,0,206935616,3827278,210762895
2016-04,409,200057865,3827278,203885552
2016-05,1046513,206256164,3827278,211129956
2016-06,338275597,198643588,7197691,544116876
2016-07,694958345,203453425,10696279,909108049
2016-08,221649665,198782192,4404530,424836387
2016-09,4041321,195123288,3831086,202995694
2016-10,9,198230137,3827951,202058097
2016-11,0,194178082,3827391,198005473
2016-12,0,197669589,3827279,201496868
2017-01,0,203631781,3827278,207459059
2017-02,0,179832877,3827278,183660155
2017-03,0,202901370,3827278,206728648
2017-04,0,197388350,3827278,201215629
2017-05,24017355,204458447,3828056,232303858
2017-06,188590157,198082192,4204557,390876906
2017-07,364420138,203948858,6543032,574912029
2017-08,225090962,202519178,4734847,432344987
2017-09,20846913,197753425,3898207,222498544
2017-10,17042,206043836,3827278,209888156
