# Official name: Waltershausen Gletsjer, Foreign name: Waltershausen Gletsjer, Mouginot/Mankoff name: Waltershausen, Mouginot region: NE, Mankoff discharge gate (2021): 114, closest NSIDC/MEASUREs ID: 112, distance to closest NSIDC/MEASUREs ID: 1467m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,26857468,6070695,32928163
2010-02,0,22277395,6070695,28348090
2010-03,0,23865753,6070695,29936448
2010-04,0,32054795,6070695,38125489
2010-05,16261236,11465753,6082040,33809029
2010-06,544942031,18575342,13346753,576864126
2010-07,1267046847,25734247,23355581,1316136674
2010-08,440243351,28961644,10682719,479887713
2010-09,13963085,25808219,6108309,45879612
2010-10,0,24375342,6070695,30446037
2010-11,0,20959942,6070695,27030637
2010-12,0,18691940,6070695,24762634
2011-01,0,15840798,6070695,21911493
2011-02,0,12446500,6070695,18517195
2011-03,0,13079452,6070695,19150147
2011-04,0,14794521,6070695,20865215
2011-05,2173373,24800000,6070695,33044068
2011-06,480677262,19479452,9739051,509895765
2011-07,1033601677,15372603,19525832,1068500112
2011-08,431553243,21912329,11092036,464557607
2011-09,5834174,13726027,6078169,25638370
2011-10,0,15457534,6070695,21528229
2011-11,0,16184976,6070695,22255671
2011-12,0,17929471,6070695,24000166
2012-01,0,19194521,6070695,25265215
2012-02,0,19489252,6070695,25559947
2012-03,0,21742466,6070695,27813160
2012-04,0,12986301,6070695,19056996
2012-05,4536440,12484932,6070695,23092066
2012-06,907948185,13397260,15517633,936863078
2012-07,1360421029,26073973,27321709,1413816710
2012-08,624529276,24715068,13899762,663144107
2012-09,101263,12821918,6070701,18993882
2012-10,0,16221918,6070695,22292613
2012-11,0,11589041,6070695,17659736
2012-12,0,13282987,6070695,19353681
2013-01,0,16265405,6070695,22336100
2013-02,0,17336986,6070695,23407681
2013-03,0,21232877,6070695,27303571
2013-04,0,22767123,6070695,28837818
2013-05,674597,22846575,6070695,29591867
2013-06,682013811,18082192,11665614,711761616
2013-07,1002180314,24120548,20353762,1046654624
2013-08,356822266,26073973,9809634,392705872
