# Official name: Zachariae Isstroem, Foreign name: Zachariae Isstroem, Mouginot/Mankoff name: Zachariae Isstroem, Mouginot region: NE, Mankoff discharge gate (2021): 31, closest NSIDC/MEASUREs ID: 107, distance to closest NSIDC/MEASUREs ID: 5425m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,1006860877,21972328,1028833205
2010-02,0,910612905,21972328,932585232
2010-03,0,1009410959,21972328,1031383287
2010-04,0,978246575,21972328,1000218903
2010-05,0,1012213699,21972328,1034186026
2010-06,317551769,980958904,22836030,1321346702
2010-07,3384423506,1002191781,34378615,4420993901
2010-08,1004565167,1011704110,24898933,2041168210
2010-09,17,988356164,21972328,1010328509
2010-10,0,1030558904,21972328,1052531232
2010-11,0,1006486006,21972328,1028458334
2010-12,0,1049164203,21972328,1071136531
2011-01,0,1058557341,21972328,1080529669
2011-02,0,964567437,21972328,986539765
2011-03,0,1076336986,21972328,1098309314
2011-04,0,1050575342,21972328,1072547670
2011-05,0,1094597260,21972328,1116569588
2011-06,774161332,1068164384,26403443,1868729158
2011-07,2749834008,1117868493,34018679,3901721180
2011-08,1454243296,1060200000,28327537,2542770832
2011-09,1636,1036438356,21972328,1058412320
2011-10,0,1081432877,21972328,1103405204
2011-11,0,1056988432,21972328,1078960760
2011-12,0,1102670464,21972328,1124642791
2012-01,0,1113536986,21972328,1135509314
2012-02,0,1051975868,21972328,1073948195
2012-03,0,1134854795,21972328,1156827122
2012-04,0,1108931507,21972328,1130903834
2012-05,0,1156512329,21972328,1178484656
2012-06,1585488027,1129890411,28587255,2743965693
2012-07,5797716556,1138591781,44371666,6980680003
2012-08,2882327767,1002871233,33685792,3918884791
2012-09,14583649,996986301,21972328,1033542279
2012-10,0,1056717808,21972328,1078690136
2012-11,0,1044821918,21972328,1066794245
2012-12,0,1078922853,21972328,1100895180
2013-01,0,1077270110,21972328,1099242437
2013-02,0,971561644,21972328,993533971
2013-03,0,1074553425,21972328,1096525752
2013-04,0,1038739726,21972328,1060712054
2013-05,0,1130608219,21972328,1152580547
2013-06,691554986,1118876712,23779359,1834211057
2013-07,2990920944,1151246575,37817176,4179984695
2013-08,650352307,1054509589,25336146,1730198042
2013-09,15392520,1054602740,21973568,1091968828
2013-10,1793,1101901370,21972328,1123875490
2013-11,0,1078438356,21972328,1100410684
